basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	lifeStage	preparations	sex	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon glabrum</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173417	sm_id_1992	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	8	-60.52	-45.9	1966-02-08	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Scotia Sea	55	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_1992	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1992	Nymphon glabrum	Child, 1995	urn:lsid:marinespecies.org:taxname:173417	glabrum	holotype	1966	2596d9ec-d8ce-476f-b5a0-b2cac456e7db	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	55	-122947200000.0	-122947200000.0	-122947200000.0	1966.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon glabrum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173417	173417	Nymphon glabrum	[]	10	492	-0.93	33.84										
HumanObservation		22941	Pycnogonida	SOMBASE Pycnogonids			-60.5166015625	-45.8950004578		Nymphonidae	Nymphon	BAS	Animalia		55					Pantopoda	Arthropoda		Nymphon glabrum		urn:lsid:marinespecies.org:taxname:173417				553b46b0-92f3-4c4a-98dd-36789d037935	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon glabrum		2	1065	1274	1302	1358	379601	379609	1566	134591	173417	173417	Nymphon glabrum	[]	19	921	-0.93	33.84	55.0									
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234672.286931	Pycnogonida	Invertebrate Zoology: Crustacea		8	-60.5149993896	-45.8891716003	1966-02-08T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia	South Orkney Islands	55		2			Pantopoda	Arthropoda		Nymphon glabrum	Child	urn:lsid:marinespecies.org:taxname:173417		Paratype	1966	9d151ec5-e8b0-4327-ac81-7c91a6f904cf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55	-122947200000.0	-122947200000.0	-122947200000.0	1966.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon glabrum		2	1065	1274	1302	1358	379601	379609	1566	134591	173417	173417	Nymphon glabrum	[]	25	1284	-0.93	33.84	55.0	National Museum of Natural History, Smithsonian Institution	Antarctica	observedindividualcount=64;	Child, C. Allan	64.0	ovigerous;;; juvenile	Alcohol (Ethanol)	male; male; female;;	Antarctic Ocean
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234671.286930	Pycnogonida	Invertebrate Zoology: Crustacea		8	-60.5149993896	-45.8891716003	1966-02-08T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia	South Orkney Islands	55		2			Pantopoda	Arthropoda		Nymphon glabrum	Child	urn:lsid:marinespecies.org:taxname:173417		Holotype	1966	f143da42-8d7b-436e-bb18-3f840c80bd1f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55	-122947200000.0	-122947200000.0	-122947200000.0	1966.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon glabrum		2	1065	1274	1302	1358	379601	379609	1566	134591	173417	173417	Nymphon glabrum	[]	25	1284	-0.93	33.84	55.0	National Museum of Natural History, Smithsonian Institution	Antarctica	observedindividualcount=1;	Child, C. Allan	1.0		Alcohol (Ethanol)	male	Antarctic Ocean
