associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228537.180698	Invertebrate Zoology: Crustacea	Philippines	6	20.4027805328	121.963890076	observedindividualcount=1;	1985-06-06T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	Batan Islands, Batan Island, Mananioy Bay, Rock Pinnacle And Tide Pools	1.5	6	Alcohol (Ethanol)	C. Child	Ammothella rotundata	Child	urn:lsid:marinespecies.org:taxname:240092	Batanes	Holotype	North Pacific Ocean	1985	9f2ea5f7-5221-4b38-8946-56d5f2f262bd	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	486864000000	486864000000	486864000000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rotundata	2	1065	1274	1302	1358	379601	379608	1562	134570	240092	240092	Ammothella rotundata	[]	-20	172	27.76	34.37									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothella rotundata</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240092	sm_id_697	WoRMS type localities		6	20.4	121.96		1985-06-06			WoRMS Editorial Board		Pacific Ocean	1.5	6			Ammothella rotundata	Child, 1988	urn:lsid:marinespecies.org:taxname:240092		holotype		1985	c51dbcab-2b5d-4125-9441-0bd277cdb42a	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	0.75	486864000000	486864000000	486864000000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella rotundata	2	1065	1274	1302	1358	379601	379608	1562	134570	240092	240092	Ammothella rotundata	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-110	-337	27.76	34.37	https://marineinfo.org/id/dataset/5184	0.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_697	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=697	rotundata	Biota	1.0
