basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	waterBody	year	date_start	date_mid	date_end	date_year	continent	coordinateUncertaintyInMeters	datasetName	footprintWKT	geodeticDatum	language	locationID	modified	occurrenceID	occurrenceStatus	samplingProtocol	sex	specificEpithet	datasetID	associatedMedia	associatedOccurrences	countryCode	eventID	institutionID	organismQuantity	organismQuantityType	taxonRank	type	verbatimEventDate	superdomain	superdomainid
HumanObservation	37361	SOMBASE Pycnogonids	-67.0950012207	77.0333023071	BAS	280.0	280.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	05a009a1-feae-4172-b910-5b4495309c91	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	280.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	294	146195	-1.6	33.88																																														
HumanObservation	23465	SOMBASE Pycnogonids	-67.0	163.550003052	BAS	1444.0	1442.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	06cde8b2-a2fb-4abe-be09-e009d5e9d691	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1443.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	['DEPTH_EXCEEDS_BATH']	1215	13187	-1.67	33.91																																														
HumanObservation	39732	SOMBASE Pycnogonids	-62.8284988403	-60.4095001221	BAS	600.0	600.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	0c028ad3-d879-4058-bda8-bfecb509c941	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	600.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	596	8456	-0.45	33.94																																														
PreservedSpecimen	1123292.943405	Invertebrate Zoology	-64.8649978638	-63.6624984741	USNM	300.0	280.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	158b5657-0fbf-421e-bb6b-d29d1340b258	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	290.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	294	1568	-0.64	33.16	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	19	observedindividualcount=1;	1973-02-19T12:00:00Z	USARP/HE/731/1812/UME	Child, C. Allan	1.0	Antarctic Peninsula, Palmer Archipelago, Anvers Island, Neumayer Channel	2	Alcohol (Ethanol)	University of Maine	Calman	Antarctic Ocean	1973	98928000000.0	98928000000.0	98928000000.0	1973.0																										
PreservedSpecimen	5026	NIWA	-75.2833333	172.3333333	NIWA Invertebrate Collection	535.0	520.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	171252e8-d9db-4d34-bf99-5023cb6cbb1e	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	527.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	534	138083	-1.46	34.26			Ross Dependency	16		16/01/1959					1	Specimen(s), Unknown = 2	NZOI	Calman, 1915		1959					Antarctica	500	NIWA Invertebrate Collection	POINT (172.3333333 -75.2833333)	WGS84	en	A459_Grab	8/04/2022	5f9b527a-fa36-11e2-96b3-aa6f927c92a3	present	Grab, Twin Hayward, Orange Peel	female	drakei													
HumanObservation	1248	Weddell Sea macrozoobenthos EASIZ I	-71.525	-12.425	AWI	504.0	504.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	207b10e8-7c4d-4f1a-97a2-426199387c2a	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	512	4469	-1.76	33.77				28						Kapp Norvegia area	2					1996												2010-05-11T18:09Z	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:1248					IMIS:dasid:2432												
HumanObservation	39733	SOMBASE Pycnogonids	-62.0234985352	-60.4805984497	BAS	1019.0	1019.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	26302585-705c-4659-b91f-4cc87a933cb2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1019.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	1066	47075	-0.34	33.71																																														
HumanObservation	1247	Weddell Sea macrozoobenthos EASIZ I	-71.05166667	-11.425	AWI	462.0	462.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	2a28a8bb-db3f-4812-aafb-57c764bb7ac9	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	464	5904	-1.72	33.76				5						Kapp Norvegia area	2					1996												2010-05-11T18:09Z	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:1247					IMIS:dasid:2432												
PreservedSpecimen	PS77_233-3.1.2		-65.5528	-61.6199	BAS	324.2	277.2	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	2ec4ea27-acda-427d-bc86-f1d7447c7afe	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	300.7	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	293	3905						1		2011-03-01	PS77_PS77/233-3	Jana Domel			3	96% ethanol		Calman, 1915		2011	1298937600000.0	1298937600000.0	1298937600000.0	2011.0		544		LINESTRING (-61.6215 -65.55767, -61.61833333 -65.548)	EPSG:4326	en			PS77_233-3.1.2	Present	Agassiz trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf		drakei		http://v3.boldsystems.org/pics/DSPYC/_DSC1936+1318519212.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1937+1318519306.JPG	"""same as"":""https://v3.boldsystems.org/index.php/API_Public/combined?ids=DSPYC026-11"""	AQ	PS77	https://ror.org/01rhff309	1	individuals	species	PhysicalObject	1/3/2011	Biota	1.0
HumanObservation	23471	SOMBASE Pycnogonids	-76.0350036621	-179.949996948	BAS	358.0	347.0	Colossendeis drakei	urn:lsid:marinespecies.org:taxname:173171	33a01810-4ddb-4db6-9071-aaad67140743	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	352.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis drakei	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173171	173171	Colossendeis drakei	[]	396	189156	-1.57	34.14																																														
