basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	habitat	identificationRemarks	identificationVerificationStatus	individualCount	institutionCode	occurrenceRemarks	references	scientificNameAuthorship	verbatimIdentification	bibliographicCitation	typeStatus
HumanObservation	30690	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Boillot sledge small_1973101_DR-BOILp-425_NA	00:00:00+00:00	Austrodecidae	DR-BOILp-425	EPSG:4326	Pantopipetta	STOCK Jan	Animalia	en	Golfe de Gascogne	700.0	700	2022-01-18 09:29:51	10	Ifremer_bio_dba_30690	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge small	Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	3cdd6f09-0f8c-4d83-ba23-c732f10c2b61	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	700.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	[]	2662.4	279564	14.24	35.61											
HumanObservation	30809	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Boillot sledge small_1973101_DR-BOILp-422_NA	00:00:00+00:00	Austrodecidae	DR-BOILp-422	EPSG:4326	Pantopipetta	STOCK Jan	Animalia	en	Golfe de Gascogne	1175.0	1175	2022-01-18 09:29:51	10	Ifremer_bio_dba_30809	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge small	Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	4066ac86-e8b9-4a0e-892e-dcde2f8fb086	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1175.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	[]	2662.4	279564	14.24	35.61											
PreservedSpecimen	24246	Pycnogonida	SeamountsOnline					42.66	-11.59	1987-10-19	SCSD_SeamountsOnline_Galicia_Bank_537853		Austrodecidae	Station DW111		Pantopipetta	Jan H. Stock	Animalia		Galicia Bank	685.0	675			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24246	present	Pantopoda	Arthropoda			Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638			6a4fdfb7-7973-4821-a828-d8ffd61b564e	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	680.0	561600000000	561600000000	561600000000	1987	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	[]	708.0	189219	16.05	35.84	benthic/near bottom	WoRMS Match Type: exact	Validated	1	SCSD	NA | NA	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Stock, 1978	Pantopipetta armoricana Stock, 1978		
HumanObservation	31064	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-8.0	1973-10-01T00:00:00+00:00	Boillot sledge small_1973101_DR-BOILp-415_NA	00:00:00+00:00	Austrodecidae	DR-BOILp-415	EPSG:4326	Pantopipetta	STOCK Jan	Animalia	en	Golfe de Gascogne	380.0	380	2022-01-18 09:29:51	10	Ifremer_bio_dba_31064	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge small	Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	83b10835-3d2f-43c6-b4c3-496d781080bc	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	380.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	['DEPTH_EXCEEDS_BATH']	258.4	216784	14.1	35.58											
HumanObservation	30139	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Boillot sledge small_1973101_DR-BOILp-435_NA	00:00:00+00:00	Austrodecidae	DR-BOILp-435	EPSG:4326	Pantopipetta	STOCK Jan	Animalia	en	Golfe de Gascogne	1050.0	1050	2022-01-18 09:29:51	10	Ifremer_bio_dba_30139	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge small	Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	88095c38-ad07-41ef-87df-51200d301e73	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1050.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	[]	2662.4	279564	14.24	35.61											
HumanObservation	30057	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Boillot sledge small_1973101_DR-BOILp-436_NA	00:00:00+00:00	Austrodecidae	DR-BOILp-436	EPSG:4326	Pantopipetta	STOCK Jan	Animalia	en	Golfe de Gascogne	1210.0	1210	2022-01-18 09:29:51	10	Ifremer_bio_dba_30057	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge small	Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	952c7453-0776-42b5-82db-74ad8495cbac	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1210.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	[]	2662.4	279564	14.24	35.61											
HumanObservation	31198	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-8.0	1973-10-01T00:00:00+00:00	Boillot sledge small_1973101_DR-BOILp-413_NA	00:00:00+00:00	Austrodecidae	DR-BOILp-413	EPSG:4326	Pantopipetta	STOCK Jan	Animalia	en	Golfe de Gascogne	805.0	805	2022-01-18 09:29:51	10	Ifremer_bio_dba_31198	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge small	Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	98b02e07-61eb-4624-a99f-5acca7f8ca33	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	805.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	['DEPTH_EXCEEDS_BATH']	258.4	216784	14.1	35.58											
PreservedSpecimen	24245	Pycnogonida	SeamountsOnline					36.45	-11.58	1987-09-23	SCSD_SeamountsOnline_Gorringe_Ridge_537790		Austrodecidae	Station DE10		Pantopipetta	Jan H. Stock	Animalia		Gorringe Ridge	545.0	500			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134638_24245	present	Pantopoda	Arthropoda			Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638			9c0d6c95-5144-40b5-9552-ccae4156c0c8	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	522.5	559353600000	559353600000	559353600000	1987	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	[]	655.0	238754	18.97	36.32	benthic/near bottom	WoRMS Match Type: exact	Validated	1	SCSD	NA | NA	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Stock, 1978	Pantopipetta armoricana Stock, 1978		
HumanObservation	30955	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Boillot sledge small_1973101_DR-BOILp-417_NA	00:00:00+00:00	Austrodecidae	DR-BOILp-417	EPSG:4326	Pantopipetta	STOCK Jan	Animalia	en	Golfe de Gascogne	865.0	865	2022-01-18 09:29:51	10	Ifremer_bio_dba_30955	present	Pantopoda	Arthropoda	CABIOCH Louis	Boillot sledge small	Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	9e2ba446-83e8-4e8a-9f7a-c4ff2534edfa	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	865.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	[]	2662.4	279564	14.24	35.61											
PreservedSpecimen	sm_id_2146	Pycnogonida	WoRMS type localities		https://marineinfo.org/id/dataset/5184		24	48.37	-9.55	1973-10-24			Austrodecidae			Pantopipetta		Animalia		English Channel		950	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_2146	present	Pantopoda	Arthropoda			Pantopipetta armoricana	urn:lsid:marinespecies.org:taxname:134638	armoricana	1973	a741c740-4657-4f18-916e-3ac23637ce9c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	950.0	120268800000	120268800000	120268800000	1973	False	False	True	False	Biota	Chelicerata	Stiripasterida	Pantopipetta armoricana	1	2	1065	1274	1302	1358	379600	22616	134580	134638	134638	Pantopipetta armoricana	['DEPTH_EXCEEDS_BATH']	800.0	280952	13.97	35.58					WoRMS Editorial Board		http://www.marinespecies.org/aphia.php?p=specdetails&id=2146	Stock, 1978		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pantopipetta armoricana</i> Stock, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134638	holotype
