basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	waterBody	day	eventDate	month	typeStatus	verbatimLocality	year	date_start	date_mid	date_end	date_year
Occurrence	Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	45354	NewCaledonia	Fidji	https://marineinfo.org/id/dataset/3128	-18.1599998474121	178.729995727539	IRD-MNHN	Bordau 1, DW1463	400.0	300.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:45354:0x2672170001000600	present	Colossendeis fijigrypos	urn:lsid:marinespecies.org:taxname:239800	12222162-7a9b-48f0-9f03-15a7dc559d65	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	350.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fijigrypos	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239800	239800	Colossendeis fijigrypos	[]	828	10912	27.12	34.75																							
PreservedSpecimen		2011-3409	IU			-5.036667	154.489334	MNHN	Au large de Bougainville			2015-08-25T14:39Z	462401322		Colossendeis fijigrypos	urn:lsid:marinespecies.org:taxname:239800	70eda7fa-0d31-4f72-a88d-e411083c3812	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fijigrypos		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239800	239800	Colossendeis fijigrypos Bamber, 2004	['NO_DEPTH']	666	7426	29.69	34.61	PG	BIOPAPUA/DW3754	POINT  (154.489334 -5.036667)	WGS84	Bamber R.	1	CC_BY_4_0	Samadi & Corbari	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-3409	Bamber, 2004	fijigrypos	SPECIES	Pacific Ocean										
PreservedSpecimen		2007-4657	IU			-18.168333	-178.738998	MNHN	Ride de Lau			2015-06-19T21:23Z	440016507		Colossendeis fijigrypos	urn:lsid:marinespecies.org:taxname:239800	d310a226-3bde-4c91-9169-fee44468e9ce	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis fijigrypos		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239800	239800	Colossendeis fijigrypos Bamber, 2004	['NO_DEPTH']	107	2676	27.25	34.87	FJ	BORDAU 1/DW1463	POINT  (-178.738998 -18.168333)	WGS84	Bamber	1	CC_BY_4_0	Bouchet, Warén & Richer-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4657	Bamber, 2004	fijigrypos	SPECIES	Pacific Ocean	6	1999-03-06T01:00Z	3	HOLOTYPE	Lakeba	1999	920678400000.0	920678400000.0	920678400000.0	1999.0
