basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificNameAuthorship	sex	stateProvince	waterBody	year	depth	date_start	date_mid	date_end	date_year
HumanObservation	37247	SOMBASE Pycnogonids	-35.4500007629	23.4899997711	BAS	Ammothella setacea	urn:lsid:marinespecies.org:taxname:239705	404a598a-1508-494c-a516-09024b3b784c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella setacea	2	1065	1274	1302	1358	379601	379608	1562	134570	239705	239705	Ammothella setacea	['NO_DEPTH']	1798	149036	21.47	35.43																							
PreservedSpecimen	216758.170683	Invertebrate Zoology: Crustacea	-32.4766693115	28.9799995422	USNM	Ammothella setacea	urn:lsid:marinespecies.org:taxname:239705	73043b0a-7697-42f7-a82f-3611b63fc212	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella setacea	2	1065	1274	1302	1358	379601	379608	1562	134570	239705	239705	Ammothella setacea	[]	714	22520	23.07	35.35	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	South Africa	24	observedindividualcount=4;	1979-06-24T12:00:00Z	Child, C. Allan	4.0	NE Of East London	775.0	710.0	6	Alcohol (Ethanol)	(Helfer)	male; female	Natal	Indian Ocean	1979	742.5	299030400000.0	299030400000.0	299030400000.0	1979.0
