accessRights	basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	disposition	endDayOfYear	eventDate	family	footprintWKT	genus	geodeticDatum	institutionCode	island	kingdom	language	license	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	originalNameUsage	otherCatalogNumbers	ownerInstitutionCode	phylum	rightsHolder	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	type	verbatimCoordinates	verbatimDepth	verbatimEventDate	verbatimLocality	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	sex	taxonRank	bibliographicCitation	datasetID	superdomain	superdomainid	associatedReferences	dynamicProperties	identifiedBy	individualCount	preparations	recordedBy	verbatimLatitude	verbatimLongitude	countryCode	fieldNumber	references
http://www.vertnet.org/resources/norms.html	PreservedSpecimen	12780	Pycnogonida	S	100	Hawaiian Islands	Bishop Museum Marine Invertebrates Specimens	6	21.3218	-158.12	in collection	218	1998-08-06	Ammotheidae	POINT (-158.12000 21.32180)	Achelia	WGS84	BPBM	Oahu	Animalia	en	http://creativecommons.org/publicdomain/zero/1.0	Barbers Point Harbor; coal pier	3.0	0.0	2/07/2002 0:00:00	8	83c37b2d-7686-459d-b1ef-1ac2e33c18fc	present	Pantopoda	Achelia nana	HH-2375	BPBM	Arthropoda	Bernice Pauahi Bishop Museum	Hand grab	Achelia nana	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:239483	nana	218	PhysicalObject	(21.3218°, 158.1198°)	0.00-3.00	1998-08-06	Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Barbers Point Harbor; coal pier  (21.3218°, 158.1198°)	Pacific Ocean	1998	1a21468d-097c-4101-83a0-b50198386322	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1.5	902361600000.0	902361600000.0	902361600000.0	1998.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	['ON_LAND']	-1	-128	25.56	35.04																		
	PreservedSpecimen	P.73426	Pycnogonida	co113	10000				-20.00666	117.00333			1983-02-22	Ammotheidae	POINT (117.00333 -20.00666)	Achelia		AM		Animalia			North West Shelf			2017-03-02T12:40:55		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73426	present	Pantopoda				Arthropoda			Achelia nana		urn:lsid:marinespecies.org:taxname:239483	nana									2123e918-1dff-446f-9596-e8a59750b2c3	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		414720000000.0	414720000000.0	414720000000.0	1983.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	['NO_DEPTH']	58	42044	26.63	34.76	0.0896	Male	species															
	Occurrence	43740	Pycnogonida	NewCaledonia		Nouvelle Caledonie			-22.2999992370605	166.339996337891				Ammotheidae		Achelia		IRD-MNHN		Animalia			Recif Senez	7.0	7.0	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:43740:0x098C170001000300	present	Pantopoda				Arthropoda			Achelia nana		urn:lsid:marinespecies.org:taxname:239483										2662d071-352b-46d0-92ee-5a2c05aa9c96	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	7.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	[]	15	3559	24.56	35.26				Stock JH (1997). Musorstom 18(176): 271-335.	https://marineinfo.org/id/dataset/3128	Biota	1.0											
	PreservedSpecimen	234371.186119	Pycnogonida	Invertebrate Zoology: Crustacea		Seychelles		20	-9.35000038147	46.4329986572			1985-03-20T12:00:00Z	Ammotheidae		Achelia		USNM		Animalia			Aldabra Atoll, Malabar Island, East Channel, Middle Camp Reef At Passe Houareau	0.3	0.3		3			Pantopoda				Arthropoda			Achelia nana	(Loman)	urn:lsid:marinespecies.org:taxname:239483								Indian Ocean	1985	34e8f2be-3db9-4fbd-8f8a-2b6a52901a53	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.3	480124800000.0	480124800000.0	480124800000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	[]	14	2557	27.11	35.08		female		Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010				National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Bowman, Thomas E.	1.0	Alcohol (Ethanol)	B. Kensley					
http://www.vertnet.org/resources/norms.html	PreservedSpecimen	12933	Pycnogonida	S	100	Northwestern Hawaiian Islands	Bishop Museum Marine Invertebrates Specimens	14	23.7684	-166.261	in collection	258	2000-09-14	Ammotheidae	POINT (-166.26100 23.76840)	Achelia	WGS84	BPBM	French Frigate Shoals	Animalia	en	http://creativecommons.org/publicdomain/zero/1.0	French Frigate Shoals	7.0	3.0	24/01/2012 0:00:00	9	c93c038d-89d6-4f2b-9e6f-95ed1f517683	present	Pantopoda	Achelia nana		BPBM	Arthropoda	Bernice Pauahi Bishop Museum		Achelia nana	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:239483	nana	258	PhysicalObject	"(23° 46' 6.42"" N, 166° 15' 41.34"" W)"	3.00-7.00	2000-09-14	"Pacific Ocean; North Subtropical Oceania; Northwestern Hawaiian Islands; French Frigate Shoals (23° 46' 6.42"" N, 166° 15' 41.34"" W)"	Pacific Ocean	2000	4a9fbe1d-530c-4b26-8bcf-b94a8bdcc4f1	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	5.0	968889600000.0	968889600000.0	968889600000.0	2000.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	[]	19	112	25.43	35.34										C. A. Child	2	2 alcoholic		"23°46'6.42""N"	"166°15'41.34""W"			
http://www.vertnet.org/resources/norms.html	PreservedSpecimen	12934	Pycnogonida	S	100	Northwestern Hawaiian Islands	Bishop Museum Marine Invertebrates Specimens	14	23.7326	-166.173	in collection	258	2000-09-14	Ammotheidae	POINT (-166.17300 23.73260)	Achelia	WGS84	BPBM	French Frigate Shoals	Animalia	en	http://creativecommons.org/publicdomain/zero/1.0	French Frigate Shoals	10.0	3.0	24/01/2012 0:00:00	9	d1eba6bf-0c6a-4f2a-91a9-4e48f95fc80f	present	Pantopoda	Achelia nana		BPBM	Arthropoda	Bernice Pauahi Bishop Museum		Achelia nana	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:239483	nana	258	PhysicalObject	"(23° 43' 57.42"" N, 166° 10' 22.5"" W)"	3.00-10.00	2000-09-14	"Pacific Ocean; North Subtropical Oceania; Northwestern Hawaiian Islands; French Frigate Shoals (23° 43' 57.42"" N, 166° 10' 22.5"" W)"	Pacific Ocean	2000	4baa4d8c-3f33-4170-a746-eff437f072f0	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	6.5	968889600000.0	968889600000.0	968889600000.0	2000.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	[]	8	769	25.46	35.34										C. A. Child	1	1 alcoholic		"23°43'57.42""N"	"166°10'22.5""W"			
	Occurrence	21567	Pycnogonida	NewCaledonia		Nouvelle Caledonie			-20.5699996948242	166.889999389648				Ammotheidae		Achelia		IRD-MNHN		Animalia			Biocal, DW8	435.0	435.0	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21567:0x7A0A900001000100	present	Pantopoda				Arthropoda			Achelia nana		urn:lsid:marinespecies.org:taxname:239483										686d4bcc-b91c-4f46-a292-71cdf81a6063	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	435.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	[]	564	23785	25.89	35.04				Stock JH (1991). Musorstom 8(151): 213-228.	https://marineinfo.org/id/dataset/3128	Biota	1.0											
	PreservedSpecimen	234366.186113	Pycnogonida	Invertebrate Zoology: Crustacea		Seychelles		17	-9.35000038147	46.283000946			1985-03-17T12:00:00Z	Ammotheidae		Achelia		USNM		Animalia			Aldabra Atoll, Ile Polymnie, Passe Gionnet, Mouth	15.0	15.0		3			Pantopoda				Arthropoda			Achelia nana	(Loman)	urn:lsid:marinespecies.org:taxname:239483								Indian Ocean	1985	78fbe1b9-78c0-45c0-b4df-f7941615ee1f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	479865600000.0	479865600000.0	479865600000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	[]	2	2158	27.12	35.08		female		Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010				National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Bowman, Thomas E.	1.0	Alcohol (Ethanol)	B. Kensley					
	PreservedSpecimen	2008-20616	Pycnogonida	IU					-20.584867	166.900848				Ammotheidae	POINT  (166.900848 -20.584867)	Achelia	WGS84	MNHN		Animalia		CC_BY_4_0	Entre Ouvéa et Lifou			2015-06-19T21:23Z		462426654		Pantopoda				Arthropoda			Achelia nana	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:239483	nana							Pacific Ocean		8aff7097-837b-4a37-b866-56a11b32dfd2	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana (Loman, J.C.C., 1908)	['NO_DEPTH']	493	21799	25.88	35.05			SPECIES								1		Bouchet, Métivier & Richer de Forges-IRD coll.			NC	BIOCAL/DW08	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20616
http://www.vertnet.org/resources/norms.html	PreservedSpecimen	12931	Pycnogonida	S	100	Northwestern Hawaiian Islands	Bishop Museum Marine Invertebrates Specimens	12	23.8817	-166.252	in collection	256	2000-09-12	Ammotheidae	POINT (-166.25200 23.88170)	Achelia	WGS84	BPBM	French Frigate Shoals	Animalia	en	http://creativecommons.org/publicdomain/zero/1.0	French Frigate Shoals	15.0	10.0	11/05/2011 0:00:00	9	bf11b1d1-200e-4767-adcc-a1f076f5a774	present	Pantopoda	Achelia nana		BPBM	Arthropoda	Bernice Pauahi Bishop Museum		Achelia nana	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:239483	nana	256	PhysicalObject	"(23° 52' 54"" N, 166° 15' 6"" W)"	10.00-15.00	2000-09-12	"Pacific Ocean; North Subtropical Oceania; Northwestern Hawaiian Islands; French Frigate Shoals (23° 52' 54"" N, 166° 15' 6"" W)"	Pacific Ocean	2000	9da905ce-e14e-41b3-a7db-c1befda6fc87	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	12.5	968716800000.0	968716800000.0	968716800000.0	2000.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia nana	2	1065	1274	1302	1358	379601	379608	1562	134568	239483	239483	Achelia nana	[]	4	657	25.4	35.35										C. A. Child	1	1 alcoholic		"23°52'54""N"	"166°15'6""W"			
