basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	coordinateUncertaintyInMeters	country	footprintWKT	sex	taxonRank
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus concavicollis</i> Arango, 2003. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240026	sm_id_1586	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	27	-18.6	146.48	1998-07-27	Phoxichilidiidae	Anoplodactylus	WoRMS Editorial Board	Animalia	Coral Sea	2007-06-20 15:52:33	7	WoRMS Editorial Board:WoRMS type localities:sm_id_1586	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1586	Anoplodactylus concavicollis	Arango, 2003	urn:lsid:marinespecies.org:taxname:240026	concavicollis	holotype	1998	592ce85d-38f6-48a5-ba79-8471cb50f062	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	901497600000.0	901497600000.0	901497600000.0	1998.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus concavicollis	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	240026	240026	Anoplodactylus concavicollis	['NO_DEPTH']	24.63	893	25.74	35.23						
PreservedSpecimen		P.73283	Pycnogonida	co113			-33.84833	151.26916		Phoxichilidiidae	Anoplodactylus	AM	Animalia	Port Jackson, Bottle and Glass Rocks	2017-03-02T12:40:29		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73283	present	Pantopoda	Arthropoda		Anoplodactylus concavicollis		urn:lsid:marinespecies.org:taxname:240026	concavicollis			f35385b6-7e8d-435f-9d68-05a89e7d84a8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus concavicollis		2	1065	1274	1302	1358	379601	379610	14469	134592	240026	240026	Anoplodactylus concavicollis	['NO_DEPTH', 'ON_LAND']	4.0	-1544	20.41	35.54	0.0009	100	Australia	POINT (151.26916 -33.84833)	Male	species
