basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year	associatedReferences	bibliographicCitation	dynamicProperties	identifiedBy	individualCount	locality	waterBody	date_start	date_mid	date_end	date_year	typeStatus
HumanObservation	34071	SOMBASE Pycnogonids	-44.5015983582	174.313293457	BAS	760	760.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	0accef2a-4727-4695-9fdc-a0a24d00fda7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	760	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	[]	756	121846	10.99	34.38																																	
PreservedSpecimen	4953	NIWA	-44.6833	174.3483	NIWA Invertebrate Collection	859		Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:266341	0cb4103f-0f23-4627-93ad-471b504d9c56	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	859	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	[]	881	136825	10.81	34.37	Oceania	500	New Zealand	NIWA Invertebrate Collection	25	25/10/1979	POINT (174.3483 -44.6833)	WGS84	en	S148	8/04/2022	10	5eacba7a-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), Unknown = 3	NZOI	Trawl, Agassiz medium	Child, 1994	mixed	fryi	1979												
PreservedSpecimen	234607.186358	Invertebrate Zoology: Crustacea	-49.6669998169	178.882995605	USNM	540	476.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	0fae471b-48ef-4150-88f1-09353af176f2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	508	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus (microdecus) fryi	['DEPTH_EXCEEDS_BATH']	112	4803	7.77	34.19			New Zealand		3	1967-01-03T12:00:00Z						1			Alcohol (Ethanol)			Child	female		1967	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=4;	Bowman, Thomas E.	4.0	New Zealand Plateau, Off Antipodes Islands	South Pacific Ocean	-94521600000.0	-94521600000.0	-94521600000.0	1967.0	
HumanObservation	22608	SOMBASE Pycnogonids	-44.6833000183	174.348297119	BAS	859	859.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	11111b3e-403c-418d-9814-3c7723da62fe	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	859	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	[]	881	136825	10.81	34.37																																	
HumanObservation	22604	SOMBASE Pycnogonids	-54.5	158.983306885	BAS	124	112.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	21a9c6f7-c909-4102-9954-e8bb5b590b2f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	[]	152	2429	5.23	33.91																																	
PreservedSpecimen	4954	NIWA	-44.5017	174.3133	NIWA Invertebrate Collection	760		Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:266341	4fd76ec6-9502-421b-a353-2cd00eed1939	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	760	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	[]	756	121853	10.99	34.38	Oceania	500	New Zealand	NIWA Invertebrate Collection	25	25/10/1979	POINT (174.3133 -44.5017)	WGS84	en	S147	8/04/2022	10	5ef4b9d8-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), Unknown = 11	NZOI	Trawl, Agassiz medium	Child, 1994	mixed	fryi	1979												
HumanObservation	22602	SOMBASE Pycnogonids	-49.6665992737	178.883300781	BAS	540	476.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	5207a9ac-ab99-4064-bf8d-5af12039b896	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	508	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	['DEPTH_EXCEEDS_BATH']	157	4806	7.79	34.2																																	
PreservedSpecimen	234606.186357	Invertebrate Zoology: Crustacea	-49.6669998169	178.882995605	USNM	540	476.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	878f6b3a-e4e8-47bf-ab78-60ed66ffcc19	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	508	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus (microdecus) fryi	['DEPTH_EXCEEDS_BATH']	112	4803	7.77	34.19			New Zealand		3	1967-01-03T12:00:00Z						1			Alcohol (Ethanol)			Child	male		1967	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	Bowman, Thomas E.	1.0	New Zealand Plateau, Off Antipodes Islands	South Pacific Ocean	-94521600000.0	-94521600000.0	-94521600000.0	1967.0	Holotype
HumanObservation	22606	SOMBASE Pycnogonids	-44.5900001526	174.826599121	BAS	785	785.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	8bf615cd-0935-478a-99c1-ebe9654c11b5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	785	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	[]	781	161115	11.0	34.38																																	
HumanObservation	34072	SOMBASE Pycnogonids	-44.6833000183	174.348297119	BAS	859	859.0	Austrodecus (Microdecus) fryi	urn:lsid:marinespecies.org:taxname:236473	a63d69d3-b1eb-43d7-b245-6462a06d7002	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	859	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus (Microdecus)	Austrodecus (Microdecus) fryi	2	1065	1274	1302	1358	379600	22616	134579	236471	236473	236473	Austrodecus fryi	[]	881	136825	10.81	34.37																																	
