basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	datasetName	dateIdentified	eventDate	fieldNumber	identifiedBy	lifeStage	month	otherCatalogNumbers	preparations	sex	typeStatus	year	date_start	date_mid	date_end	date_year
Occurrence	Giltay, L. (1929). Quelques Pycnogonides des environs de Banyuls (France) [On some pycnogonids from Banyuls (France)]. <i>Ann. Bull. Soc. Entomol. Belg. 69</i>: 172-176	410521	Pycnogonida	Tisbe	965359.0	https://marineinfo.org/id/dataset/82	45.958523973682	-1.731034726156	Phoxichilidiidae	Anoplodactylus	VLIZ	Animalia	French Exclusive Economic Zone	2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:410521	AphiaID: 134726	present	Pantopoda	Arthropoda	Anoplodactylus robustus	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134726	robustus	7c10dd89-704d-4866-a601-ba5b216e0e4d	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus robustus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134726	134726	Anoplodactylus robustus	['NO_DEPTH']	43.0	26013	15.15	34.01																	
PreservedSpecimen		INV.69219	Pycnogonida	urn:catalog:RBINS:Pycnogonida	2000.0	be_rbins_invertebrates_cheliceratamarine	42.4861816328	3.1388854997	Phoxichilidiidae	Anoplodactylus	RBINS-Scientific Heritage	Animalia		2013-02-27 09:28:05	http://collections.naturalsciences.be/specimen/444945		present	Pantopoda	Arthropoda	Anoplodactylus robustus	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134726	robustus	91b668be-4225-4aa3-9318-1cedfe1486a8	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus robustus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134726	134726	Anoplodactylus robustus (Dohrn, 1881)	['NO_DEPTH']	16.4	432	16.95	37.67	France	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1929-01	1929-10	9187/Banyuls Grotte de Troque	Giltay L.B. (Dr.)	unknown	10	urn:catalog:RBINS:IG:9187	container type: vial; preservation method: alcohol	unknown	specimen	1929	-1270252800000.0	-1268956800000.0	-1267660800000.0	1929.0
PreservedSpecimen		INV.69023	Pycnogonida	urn:catalog:RBINS:Pycnogonida	2000.0	be_rbins_invertebrates_cheliceratamarine	42.4861816328	3.1388854997	Phoxichilidiidae	Anoplodactylus	RBINS-Scientific Heritage	Animalia		2017-10-16 14:51:17	http://collections.naturalsciences.be/specimen/444946		present	Pantopoda	Arthropoda	Anoplodactylus robustus	(Dohrn, 1881)	urn:lsid:marinespecies.org:taxname:134726	robustus	98a1a826-f15e-4f41-a793-daa5574d30ad	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus robustus	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134726	134726	Anoplodactylus robustus (Dohrn, 1881)	['NO_DEPTH']	16.4	432	16.95	37.67	France	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1929-01	1929-10	9187/Banyuls Grotte de Troque	Giltay L.B. (Dr.)	unknown	10	urn:catalog:RBINS:IG:9187	container type: tray; preservation method: dry	unknown	specimen	1929	-1270252800000.0	-1268956800000.0	-1267660800000.0	1929.0
