basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	individualCount	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	phylum	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	samplingProtocol	bibliographicCitation	associatedReferences	dynamicProperties	lifeStage	preparations	waterBody
PreservedSpecimen	Gal-II-261	Pycnogonida	Galathea II	1750.0	https://marineinfo.org/id/dataset/2037	24	-36.516602	-178.632996	1952-02-24	Nymphonidae	Nymphon	1.0	ZMUC	Animalia	Kermadec Trench	4410.0	4410	2007-10-29 18:31:08	2	urn:catalog:ZMUC:Galathea II:Gal-II-261	. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_159-166.pdf	present	Arthropoda	Galathea II Danish Deep Sea Expedition 1950-52	Nymphon inerme	Fage	urn:lsid:marinespecies.org:taxname:134692	F	inerme	55	1952	0d29cb55-652d-4f93-ab8c-522ff061789f	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4410.0	-563414400000	-563414400000	-563414400000	1952	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon inerme	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134692	134692	Nymphon inerme	[]	4414.0	279578	17.37	35.4														
HumanObservation	34688	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	1	36.0	-27.0	1969-08-01T00:00:00+00:00	Nymphonidae	Nymphon			Animalia	Atlantique nord	3663.0	3663	2022-01-18 09:29:51	8	Ifremer_bio_dba_34688		present	Arthropoda	LE PICHON Xavier	Nymphon inerme		urn:lsid:marinespecies.org:taxname:134692		inerme		1969	208fb528-8a6e-4d71-b0fb-ea980b9a3fab	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3663.0	-13219200000	-13219200000	-13219200000	1969	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon inerme	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134692	134692	Nymphon inerme	[]	3829.5	193919	20.28	36.43	Bigood	Sanders epibenthic sledge_196981_DS/E-8_NA	00:00:00+00:00	DS/E-8	EPSG:4326	STOCK Jan	en	Sanders epibenthic sledge						
HumanObservation	17737	Pycnogonida	bio_dba		https://marineinfo.org/id/dataset/490	1	-32.0	13.0	1978-12-01T00:00:00+00:00	Nymphonidae	Nymphon			Animalia	Ride Walvis	3550.0	3550	2022-01-18 09:29:51	12	Ifremer_bio_dba_17737		present	Arthropoda	SIBUET Myriam	Nymphon inerme		urn:lsid:marinespecies.org:taxname:134692		inerme		1978	2a4c2597-2882-4961-a4fa-b5ea1f2258ff	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3550.0	281318400000	281318400000	281318400000	1978	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon inerme	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134692	134692	Nymphon inerme	[]	3673.0	446598	18.32	35.53	Bigood	Beam trawl_1978121_CP / CPH-13_NA	00:00:00+00:00	CP / CPH-13	EPSG:4326	STOCK Jan	en	Beam trawl						
HumanObservation	Deepsea_Pycnogonida_8946	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida		https://marineinfo.org/id/dataset/5146		58.78	-52.93	1969/1969	Nymphonidae	Nymphon		P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Animalia	NORATLANTE, St. 42		3610	2016-03-24 10:26:12		Deepsea_Pycnogonida_8946		present	Arthropoda		Nymphon inerme	Fage, 1956	urn:lsid:marinespecies.org:taxname:134692				1969	2dfd7e16-79d2-4e66-83fb-b8c20a7a45e5	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3610.0	-31536000000	-15811200000	-86400000	1969	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon inerme	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134692	134692	Nymphon inerme	[]	3377.0	331847	5.13	34.57									Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247					
PreservedSpecimen	181086.137039	Pycnogonida	Invertebrate Zoology: Crustacea			14	-37.6133308411	-52.3933296204	1971-03-14T12:00:00Z	Nymphonidae	Nymphon	9.0	USNM	Animalia	Argentine Basin, Off Rio De La Plata	3822.0	3815		3				Arthropoda		Nymphon inerme	Fage	urn:lsid:marinespecies.org:taxname:134692	male; female;;			1971	3712440c-ab9f-44a5-a9e2-9ce564c26a87	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3818.5	37756800000	37756800000	37756800000	1971	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon inerme		2	1065	1274	1302	1358	379601	379609	1566	134591	134692	134692	Nymphon inerme	[]	3907.0	363044	18.98	35.65						Child, C. Allan			Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	National Museum of Natural History, Smithsonian Institution	observedindividualcount=9;	;; juvenile	Alcohol (Ethanol)	South Atlantic Ocean
HumanObservation	17636	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	1	-33.0	2.0	1978-12-01T00:00:00+00:00	Nymphonidae	Nymphon			Animalia	Ride Walvis	4585.0	4585	2022-01-18 09:29:51	12	Ifremer_bio_dba_17636		present	Arthropoda	SIBUET Myriam	Nymphon inerme		urn:lsid:marinespecies.org:taxname:134692		inerme		1978	9cdeb3d2-c27e-4fa9-84ab-78981d9c6ed6	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4585.0	281318400000	281318400000	281318400000	1978	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon inerme	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134692	134692	Nymphon inerme	['DEPTH_EXCEEDS_BATH']	2879.0	1333936	18.7	35.68	Bigood	Sanders epibenthic sledge_1978121_DS/E-6_NA	00:00:00+00:00	DS/E-6	EPSG:4326	STOCK Jan	en	Sanders epibenthic sledge						
HumanObservation	34699	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	1	58.0	-52.0	1969-08-01T00:00:00+00:00	Nymphonidae	Nymphon			Animalia	Atlantique nord	3610.0	3610	2022-01-18 09:29:51	8	Ifremer_bio_dba_34699		present	Arthropoda	LE PICHON Xavier	Nymphon inerme		urn:lsid:marinespecies.org:taxname:134692		inerme		1969	ac355409-cfb9-4c6c-bb4c-dec19301e571	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3610.0	-13219200000	-13219200000	-13219200000	1969	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon inerme	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	134692	134692	Nymphon inerme	[]	3523.0	364222	5.31	34.58	Bigood	Sanders epibenthic sledge_196981_DS/E-6_NA	00:00:00+00:00	DS/E-6	EPSG:4326	STOCK Jan	en	Sanders epibenthic sledge						
