associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	datasetID	modified	occurrenceID	occurrenceStatus	superdomain	superdomainid	datasetName	eventID	eventTime	fieldNumber	footprintSRS	language	recordedBy	samplingProtocol	specificEpithet	coordinateUncertaintyInMeters	footprintWKT	occurrenceRemarks	organismQuantity	organismQuantityType	sampleSizeUnit
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10963.81458	Invertebrate Zoology: Crustacea	15	40.2750015259	-67.4375	observedindividualcount=13;	1888-07-15T12:00:00Z	Smith, S. I.	13.0	USNM	SE Of Georges Bank	1514	1514	7	Alcohol (Ethanol)	Colossendeis colossea	Wilson	urn:lsid:marinespecies.org:taxname:134663	North Atlantic Ocean	1888	000593a2-4dad-4738-9e42-ac58fe017c68	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1514.0	-2570745600000.0	-2570745600000.0	-2570745600000.0	1888.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	1493.0	239143	15.54	34.21																						
	Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21655	NewCaledonia		-22.6700000762939	166.460006713867					IRD-MNHN	Biogeocal, CP205	1380	1350			Colossendeis colossea		urn:lsid:marinespecies.org:taxname:134663			008d7919-468f-4e87-9bb5-146807ae8272	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1365.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	1453.0	18606	24.5	35.31	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21655:0xF524900001000500	present	Biota	1.0															
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	40930.256091	Invertebrate Zoology: Crustacea	21	-13.1916704178	-78.3000030518	observedindividualcount=1;	1904-11-21T12:00:00Z	Cole, L. J.	1.0	USNM	Off Peru	5203	5203	11	Alcohol (Ethanol)	Colossendeis colossea	Wilson	urn:lsid:marinespecies.org:taxname:134663	Pacific Ocean	1904	00de3837-c2ce-4705-b609-6986f08c9beb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5203.0	-2054764800000.0	-2054764800000.0	-2054764800000.0	1904.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	5190.0	165049	19.8	35.09																						
	HumanObservation		34963	SOMBASE Pycnogonids		-33.7000007629	-78.2165985107					BAS		2514	2514			Colossendeis colossea		urn:lsid:marinespecies.org:taxname:134663			019404fd-2c25-43ef-bdb7-b596255eb0df	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2514.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	4191.0	51281	16.57	34.31																						
	HumanObservation		59746	bio_dba	25	48.0	-16.0		1997-07-25T14:00:00+00:00	CHILD Allan			Plaine abyssale de Porcupine	4849	4849	7		Colossendeis colossea		urn:lsid:marinespecies.org:taxname:134663		1997	02059700-c72e-464d-9057-edf2b04d412a	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	4849.0	869788800000.0	869788800000.0	869788800000.0	1997.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	4842.4	571304	14.54	35.67		https://marineinfo.org/id/dataset/490	2022-01-18 09:29:51	Ifremer_bio_dba_59746	present	Biota	1.0	Bigood	Beam trawl_1997725_CP / CPH-93_14:00:00+00:00	14:00:00+00:00	CP / CPH-93	EPSG:4326	en	BETT Brian	Beam trawl	colossea						
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	141977.285522	Invertebrate Zoology: Crustacea	1	-69.0670013428	179.524993896	observedindividualcount=1;	1967-02-01T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		3596	3519	2	Alcohol (Ethanol)	Colossendeis colossea	Wilson	urn:lsid:marinespecies.org:taxname:134663	Antarctic Ocean	1967	0217647e-bcd4-44cc-903f-b08ed0a3f450	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3557.5	-92016000000.0	-92016000000.0	-92016000000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	3597.0	186482	-1.6	33.99	Antarctica																					
	HumanObservation			CMAR_NORFANZ_2003		-32.052	159.86592		2003-05-23T12:30:00Z		1	CSIRO, Australia	Predetermined	1934	1920			Colossendeis colossea	Wilson, 1881	urn:lsid:marinespecies.org:taxname:134663			0229b0e5-595f-4971-a464-6be8e9b2350d	4fd95328-42c6-44cb-9347-64282f4946d5	['2a57cd59-6799-4579-955e-27c9af97aea4']	1927.0	1053648000000.0	1053648000000.0	1053648000000.0	2003.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea Wilson, 1881	[]	1901.0	62539	21.19	35.63			2022-08-23T22:57:48	CC-TAN0308-71-263524-33014019	present	Biota	1.0		TAN0308:71		TAN0308:71					colossea	500	LINE (159.8800  -32.0663, 159.8518  -32.0377)	Occurrence Type: Catch composition Catch method: Trawl	1	individuals	TAN0308
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	141975.105850	Invertebrate Zoology: Crustacea	7	-39.8499984741	-96.9250030518	observedindividualcount=2;	1965-12-07T12:00:00Z	Hedgpeth, J. W.	2.0	USNM	Chile Rise	3621	3603	12	Alcohol (Ethanol)	Colossendeis colossea	Wilson	urn:lsid:marinespecies.org:taxname:134663	South Pacific Ocean	1965	03dbdb5a-21f8-4bbd-a10a-a2a41139e688	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3612.0	-128390400000.0	-128390400000.0	-128390400000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	3671.0	1580575	13.85	33.96																						
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	14171.105656	Invertebrate Zoology: Crustacea	2	41.8829994202	-65.5830001831	observedindividualcount=1;	1883-09-02T12:00:00Z	Smith, S. I.	1.0	USNM	Off Georges Bank	1569	1569	9	Alcohol (Ethanol)	Colossendeis colossea	Wilson	urn:lsid:marinespecies.org:taxname:134663	North Atlantic Ocean	1883	053eb077-7b4f-40fe-be95-e2645af7586d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1569.0	-2724364800000.0	-2724364800000.0	-2724364800000.0	1883.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	['DEPTH_EXCEEDS_BATH']	1167.0	167567	11.61	32.19	Canada																					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	141978.105851	Invertebrate Zoology: Crustacea	26	-45.5250015259	147.216995239	observedindividualcount=1;	1967-02-26T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	South Tasman Rise	3001	2840	2	Alcohol (Ethanol)	Colossendeis colossea	Wilson	urn:lsid:marinespecies.org:taxname:134663	South Pacific Ocean	1967	092417ab-af31-4378-b570-7f7caa1f1393	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2920.5	-89856000000.0	-89856000000.0	-89856000000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis colossea	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134663	134663	Colossendeis colossea	[]	2881.0	186025	12.75	34.98	Australia																					
