associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	countryCode	eventID	occurrenceID	occurrenceStatus	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	continent	higherGeography	locationID	modified	specificEpithet	sex	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	273343.216969	Invertebrate Zoology: Crustacea	United States	5	26.2805595398	-83.3969421387	observedindividualcount=2;	1980-11-05T12:00:00Z	1/III-09-TDS-A	Child, C. Allan	2.0	USNM	Off Florida	55.5	55.5	11	Alcohol (Ethanol)	Continental Shelf Associates For Minerals Management Service BLM/ MMS	Pallenopsis schmitti	Hedgpeth	urn:lsid:marinespecies.org:taxname:240258	North Atlantic Ocean	1980	05bb447e-beec-460e-b5f3-e0029c828d83	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55.5	342230400000.0	342230400000.0	342230400000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	57	121224	25.75	36.05																	
	PreservedSpecimen		16348	FSBC I			27.616667	-83.966667		1966-02-08						55.0	55.0				Pallenopsis schmitti		urn:lsid:marinespecies.org:taxname:240258			096a0d44-72b5-4d29-99fa-0e1806d60c08	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	55.0	-122947200000.0	-122947200000.0	-122947200000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	57	113283	25.13	35.87	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	5fe4fc50-2b91-4886-8e4c-7242cbac4f1b	aab543ab-0cd1-44a2-8f13-e42bc595ede6	Present												
	PreservedSpecimen		16363	FSBC I			27.616667	-83.966667		1966-12-14						55.0	55.0				Pallenopsis schmitti		urn:lsid:marinespecies.org:taxname:240258			0985965e-042f-42ec-8603-ba23b47cce89	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	55.0	-96249600000.0	-96249600000.0	-96249600000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	57	113283	25.13	35.87	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	30876884-48b8-4f65-b558-6502ff70b790	8e1ad190-7c56-4fdd-80e3-1e6432a48f74	Present												
	PreservedSpecimen		16372	FSBC I			26.4	-83.716667		1967-03-09						73.0	73.0				Pallenopsis schmitti		urn:lsid:marinespecies.org:taxname:240258			09da8867-77cc-4e30-9790-ac1ee5a5f9c6	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	-88905600000.0	-88905600000.0	-88905600000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	77	145997	25.92	36.03	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	02cb1ec0-5274-45b9-a13f-f503142f1475	7b967c82-1eeb-408a-8770-7df2aac8c5cb	Present												
	PreservedSpecimen		16386	FSBC I			27.616667	-83.966667		1967-07-12						55.0	55.0				Pallenopsis schmitti		urn:lsid:marinespecies.org:taxname:240258			0ac2e19e-8eb2-46be-b745-d66a2dfc0b2f	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	55.0	-78105600000.0	-78105600000.0	-78105600000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	57	113283	25.13	35.87	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	58400945-6969-4b2c-a967-fbb703c39746	ac83c874-b8ba-4a9b-b894-daad1b0b6fb2	Present												
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-033_C2	B89PII			24.7805652618	-82.3406906128				Child, C. A.		HRI	ESE  Gulf of Mexico	248.0	15.0				Pallenopsis schmitti	Hedgpeth,	urn:lsid:marinespecies.org:taxname:240258	Gulf of Mexico		0b97b816-782e-4db6-9d07-b39d8d294777	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	131.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis (pallenopsis) schmitti	['DEPTH_EXCEEDS_BATH']	26	28843	26.37	36.14						195770.0	Database description and disclaimer at: http://gulfbase.org/	15-248	Biota	1.0							
	PreservedSpecimen		92389	FSBC I			26.879168	-84.058866		2010-07-09						89.5699996948	87.7399978638				Pallenopsis schmitti		urn:lsid:marinespecies.org:taxname:240258			0cd3f843-0b71-4144-a456-9608c2a8ee62	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	88.6549987793	1278633600000.0	1278633600000.0	1278633600000.0	2010.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	92	148877	25.78	35.97	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	e4d58860-2d77-4440-9eb9-cfc5bb0add77	9d1f0fb8-a1b9-4ba7-bfbd-bfa9e9a9e71b	Present												
	PreservedSpecimen		70254-Arthropoda	Invertebrate Zoology	USA		32.42854	-79.4982		1978-09-25				UF	Outer Continental Shelf lease block James Island-0463				75% ethanol - 2		Pallenopsis schmitti					0d57bbb3-3a9c-4a70-a47a-18ad7c265035	c5687a17-e454-40f9-9a4b-d04b2c812d74	['b7c47783-a020-4173-b390-7b57c4fa1426']		275529600000.0	275529600000.0	275529600000.0	1978.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	['NO_DEPTH']	22	46127	23.34	35.99				0725f921-f7c1-4715-aec0-e125e8ad065d					Biota	1.0	North America	USA	b63d3418-2a70-43b8-8d79-ee7cc1eaa670	2022-10-06 12:14:39	schmitti		
	PreservedSpecimen		16369	FSBC I			26.4	-83.716667		1967-02-16						73.0	73.0				Pallenopsis schmitti		urn:lsid:marinespecies.org:taxname:240258			0d91abd1-3c6a-4d19-b47f-864c65629413	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	-90720000000.0	-90720000000.0	-90720000000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	77	145997	25.92	36.03	56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	ee66b5cc-289d-4311-899e-8d64abbe993b	00ddc965-1cb7-42f9-8896-f5d71806243d	Present												
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149262.112778	Invertebrate Zoology: Crustacea	United States	18	24.5416698456	-83.2916717529	observedindividualcount=1;	1966-10-18T12:00:00Z		Child, C. Allan	1.0	USNM	Off Dry Tortugas	60.0	60.0	10	Alcohol (Ethanol)		Pallenopsis schmitti	Hedgpeth	urn:lsid:marinespecies.org:taxname:240258	North Atlantic Ocean	1966	0e290ec4-80ae-4f0d-9536-581e17f244c4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	60.0	-101174400000.0	-101174400000.0	-101174400000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis schmitti	2	1065	1274	1302	1358	379601	379609	236317	134593	240258	240258	Pallenopsis schmitti	[]	64	38154	26.75	36.03																female	Florida
