basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	eventRemarks	family	fieldNumber	genus	habitat	higherClassification	higherGeography	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationID	modified	month	nomenclaturalCode	occurrenceID	occurrenceRemarks	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventTime	minimumDepthInMeters	otherCatalogNumbers	depth	dynamicProperties	geodeticDatum	county	associatedReferences	bibliographicCitation	individualCount	scientificNameID	sex	waterBody	georeferenceSources
PreservedSpecimen	10255	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Mexico	1979-11	29	28.88333	-113.06667	1966-04-29	Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	Pycnogonidae	160825	Pycnogonum	low intertidal	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, Mexico, Gulf of California	C.A. Child	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Isla Partida (N of Isla Raza)	09b00849-c138-4913-972d-cdd0947a54fc	2024-03-08 17:12:27	4	ICZN	urn:catalog:CAS:IZ:10255	1 female specimen. Host ascidian not present when loan returned from C. Child. CAS Sea of Cortez Expedition.	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	D.D. Chivers	Pycnogonum stearnsi	Ives, 1883	stearnsi	119	Baja California State	species	Physical Object	29 Apr 1966	28° 53' N	113° 4' W	1966	1128b73e-e397-477e-aec5-0e46a985e245	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	-116035200000	-116035200000	-116035200000	1966	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH']	261	1969	22.16	35.31														
PreservedSpecimen	218744	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	2016-07-29	29	48.5542216667	-122.985205	2016-07-29		Pycnogonidae	086597	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, Salish Sea, United States	K. Markello	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	San Juan Islands, Between Shaw and San Juan Island.	06defde2-2598-11ed-aace-005056be1b7a		7	ICZN	urn:catalog:CAS:IZ:218744		Pantopoda	Arthropoda	Fluid-95% EtOH(1)	Marine Biodiversity class aboard R/V Centennial.	Pycnogonum stearnsi	Ives, 1883	stearnsi	211	Washington	species	Physical Object	29 Jul 2016	48° 33.2533' N	122° 59.1123' W	2016	3af31530-afcd-458e-89a1-e3b15f77b9fc	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	1469750400000	1469750400000	1469750400000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['DEPTH_EXCEEDS_BATH']	-2	196	9.72	25.45	1358-1407	80.0	754	80.0										
PreservedSpecimen	218851	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	2016-08	29	48.5542216667	-122.985205	2016-07-29		Pycnogonidae	086597	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, Salish Sea, United States	K. Markello	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	San Juan Islands, Between Shaw and San Juan Island.	06defde2-2598-11ed-aace-005056be1b7a		7	ICZN	urn:catalog:CAS:IZ:218851	Removed from Metridium senile.	Pantopoda	Arthropoda	Fluid-95% EtOH(1)	Marine Biodiversity class aboard R/V Centennial.	Pycnogonum stearnsi	Ives, 1883	stearnsi	211	Washington	species	Physical Object	29 Jul 2016	48° 33.2533' N	122° 59.1123' W	2016	3b41941a-12a1-4c6d-bb9f-566f70797202	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	1469750400000	1469750400000	1469750400000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['DEPTH_EXCEEDS_BATH']	-2	196	9.72	25.45	1358-1407	80.0	0754	80.0										
PreservedSpecimen	49563-Arthropoda	Pycnogonida	Invertebrate Zoology		North America	Canada			51.6671875	-128.1343658	2017-08-02		Pycnogonidae	BHAK-2262	Pycnogonum			Canada, British Columbia		UF		Animalia			Calvert Island, Crazy Town	28522518-f4ae-426c-a087-6758921440eb	2021-04-27 19:24:06			f802137a-cc1c-410b-bb2f-64d0e82883ef		Pantopoda	Arthropoda	75% ethanol - 1	Paulay, Gustav	Pycnogonum stearnsi		stearnsi		British Columbia							41335453-2a3b-4e8a-b35f-3ad7c2d76aab	c5687a17-e454-40f9-9a4b-d04b2c812d74	['b7c47783-a020-4173-b390-7b57c4fa1426']	1501632000000	1501632000000	1501632000000	2017	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH']	20	57	10.04	30.95					project=DigIn	WGS84								
PreservedSpecimen	134190	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States		13	37.6866666667	-122.3213333333	1988-01-13		Pycnogonidae	059447	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	SRH	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	E of Sierra Point (Brisbane)	065e5bce-2598-11ed-aace-005056be1b7a		1	ICZN	urn:catalog:CAS:IZ:134190		Pantopoda	Arthropoda	Fluid-75% EtOH(1)	U.S.G.S.	Pycnogonum stearnsi	Ives, 1883	stearnsi	13	California	species	Physical Object	13 Jan 1988	37° 41.2' N	122° 19.28' W	1988	449f980d-99de-43ba-8dae-dc9978f42059	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	569030400000	569030400000	569030400000	1988	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH']	7	4895	12.55	31.91							San Mateo County							
PreservedSpecimen	234876	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States		2	33.90883003	-120.0869107	2002-12-02		Pycnogonidae	095724	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States	John Pearse	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Channel Islands, Santa Rosa Island, Johnson's Lee	06f9dc04-2598-11ed-aace-005056be1b7a		12	ICZN	urn:catalog:CAS:IZ:234876	on Anthropleura sola	Pantopoda	Arthropoda	Dry-dry(1)	Clara Svedlund	Pycnogonum stearnsi	Ives, 1883	stearnsi	336	California	species	Physical Object	02 Dec 2002	33.90883003° N	120.0869107° W	2002	8d878919-7aae-40f9-b7ef-f45c1b93e95e	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	1038787200000	1038787200000	1038787200000	2002	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH']	-62	5	14.82	33.43														
PreservedSpecimen	69480.268233	Pycnogonida	Invertebrate Zoology: Crustacea			United States		17	37.0	-119.0	1927-03-17T12:00:00Z		Pycnogonidae		Pycnogonum				Schmitt, Waldo L.	USNM		Animalia						3				Pantopoda	Arthropoda	Alcohol (Ethanol)		Pycnogonum stearnsi	Ives			California						1927	92cafaca-31b5-46ba-9b87-f02d550e8196	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1350518400000	-1350518400000	-1350518400000	1927	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi		2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH', 'ON_LAND']	-2088	-242824							observedindividualcount=1;			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1.0	urn:lsid:marinespecies.org:taxname:240277	female		
PreservedSpecimen	80965.273689	Pycnogonida	Invertebrate Zoology: Crustacea			United States		13	36.6170005798	-121.900001526	1896-07-13T12:00:00Z		Pycnogonidae		Pycnogonum				Cole, L. J.	USNM		Animalia			Monterey Bay, Pacific Grove			7				Pantopoda	Arthropoda	Alcohol (Ethanol)	University of California	Pycnogonum stearnsi	Ives			California						1896	aa555132-e5c5-496b-a64e-cecf6955664b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2318457600000	-2318457600000	-2318457600000	1896	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi		2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH']	-4	7	12.9	32.93					observedindividualcount=1;			National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1.0	urn:lsid:marinespecies.org:taxname:240277	female	North Pacific Ocean	
PreservedSpecimen	149671	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	2002-12-10	20	37.7375	-122.3416666667	1973-09-20		Pycnogonidae	026255	Pycnogonum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Pycnogonoidea, Pycnogonidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	J.M. Gillespie	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	San Francisco, Hunter's Point, Forbidden Anchorage zone S of Explosives Archorage 12.	05de74c0-2598-11ed-aace-005056be1b7a		9	ICZN	urn:catalog:CAS:IZ:149671	ID tentative.	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	Stanford Research Institute	Pycnogonum stearnsi	Ives, 1883	stearnsi	263	California	species	Physical Object	20 Sep 1973	"37° 44' 15"" N"	"122° 20' 30"" W"	1973	b8627e91-10bd-4aa9-8019-0eb498ddf18e	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	117331200000	117331200000	117331200000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH']	16	1666	12.55	31.94							San Francisco County							
PreservedSpecimen	50635-Arthropoda	Pycnogonida	Invertebrate Zoology		North America	USA			48.5542217	-122.985205	2016-07-29		Pycnogonidae	BMBM-0754	Pycnogonum			USA, Washington, San Juan County		UF		Animalia			Shaw Island, off Pt George	c44f5e3d-1466-471a-ab18-b26d2bad746f	2019-03-21 11:09:44			56c25077-7de3-4117-9e29-c81e29ff7d20		Pantopoda	Arthropoda	DNA subsample - 1	Marine Biodiversity Class	Pycnogonum stearnsi		stearnsi		Washington							d9cf066d-ad64-4627-bcd9-46dc21816287	c5687a17-e454-40f9-9a4b-d04b2c812d74	['b7c47783-a020-4173-b390-7b57c4fa1426']	1469750400000	1469750400000	1469750400000	2016	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum stearnsi	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	240277	240277	Pycnogonum stearnsi	['NO_DEPTH']	-2	196	9.72	25.45					project=DigIn	WGS84	San Juan County							GPS
