basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	sex	bibliographicCitation	datasetID	maximumDepthInMeters	minimumDepthInMeters	references	scientificNameAuthorship	typeStatus	depth	superdomain	superdomainid
PreservedSpecimen	P.43167	Pycnogonida	co113	10000	Australia	-35.616	137.2	1978-03-04	Ammotheidae	POINT (137.20000 -35.61600)	Nymphopsis	AM	Animalia	Kangaroo Island, Stokes Bay	2017-03-02T16:19:21	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43167	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	005ccd02-147e-4625-b2a5-96b7bcfb7caa	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	257817600000.0	257817600000.0	257817600000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	22.0	892	17.16	35.95												
PreservedSpecimen	P.42917	Pycnogonida	co113	10000	Australia	-27.42016	153.55466	1993-06-03	Ammotheidae	POINT (153.55466 -27.42016)	Nymphopsis	AM	Animalia	North Stradbroke Island, Boat Rock	2017-03-02T15:58:04	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42917	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	2d99c95a-7599-40c0-ba30-d490bc2fad3f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739065600000.0	739065600000.0	739065600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	34.41	1250	23.53	35.4												
PreservedSpecimen	P.43112	Pycnogonida	co113	100	Australia	-28.19416	153.57715	1993-06-09	Ammotheidae	POINT (153.57715 -28.19416)	Nymphopsis	AM	Animalia	Cook Island, South Ledge	2017-03-02T16:19:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43112	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	3640c6f0-e803-4944-b8cd-bbad274f1fcd	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739584000000.0	739584000000.0	739584000000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	0.43	95	23.41	35.4	0.0009	Female										
PreservedSpecimen	P.43151	Pycnogonida	co113	10000	Australia	-37.15	139.75	1978-02-28	Ammotheidae	POINT (139.75000 -37.15000)	Nymphopsis	AM	Animalia	Karatta Beach, Cape Dombey, Robe	2017-03-02T16:19:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43151	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	3eaa5993-6759-4d5c-829e-f6f0629e47a4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	257472000000.0	257472000000.0	257472000000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	2.0	654	15.55	35.67		Male										
PreservedSpecimen	P.78375	Pycnogonida	co113	1000		-37.00166	150.04833	1994-09-03	Ammotheidae	POINT (150.04833 -37.00166)	Nymphopsis	AM	Animalia	north-east of Eden	2017-03-02T13:00:44	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78375	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinata	species	400dd744-a469-4e8f-adc5-57a77c24e592	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778550400000.0	778550400000.0	778550400000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	72.0	9102	18.15	35.56	0.009											
PreservedSpecimen	P.42966	Pycnogonida	co113	1000	Australia	-38.783	143.67499	1988-04-25	Ammotheidae	POINT (143.67499 -38.78300)	Nymphopsis	AM	Animalia	Apollo Bay, Henty Reef	2017-03-02T15:58:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42966	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	45abe0c5-b355-48aa-b057-fbf47dfad354	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	577929600000.0	577929600000.0	577929600000.0	1988.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	6.0	873	15.73	35.6	0.009	Male										
PreservedSpecimen	P.43152	Pycnogonida	co113	10000	Australia	-35.716	137.933	1978-03-09	Ammotheidae	POINT (137.93300 -35.71600)	Nymphopsis	AM	Animalia	Penneshaw, north east Kangaroo Island	2017-03-02T16:19:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43152	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	55f28142-0fa8-463c-8a3f-8355bdfd9525	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	258249600000.0	258249600000.0	258249600000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	9.0	149	16.88	35.87												
PreservedSpecimen	P.43166	Pycnogonida	co113	10000	Australia	-35.616	137.2	1978-03-04	Ammotheidae	POINT (137.20000 -35.61600)	Nymphopsis	AM	Animalia	Stokes Bay, north coast of Kangaroo Island	2017-03-02T16:19:20	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43166	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	66deae90-3fd1-41f9-ad1c-a7a364f5c68e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	257817600000.0	257817600000.0	257817600000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	22.0	892	17.16	35.95		Female										
PreservedSpecimen	sm_id_1171	Pycnogonida	WoRMS type localities			-23.92	151.35		Ammotheidae		Nymphopsis	WoRMS Editorial Board	Animalia	Coral Sea	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1171	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus		7c0d472a-f9cd-4b68-9f4b-2dca9db0fd7e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	[]	0.92	310	23.5	35.37			Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphopsis acinacispinatus</i> Williams, 1933. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239591	https://marineinfo.org/id/dataset/5184	15.0	9.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=1171	Williams, 1933	holotype	12.0	Biota	1.0
PreservedSpecimen	P.42965	Pycnogonida	co113	1000	Australia	-38.783	143.67499	1988-05-03	Ammotheidae	POINT (143.67499 -38.78300)	Nymphopsis	AM	Animalia	Mounts Bay, north-west side of Henty Reef	2017-03-02T15:58:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42965	present	Arthropoda	Nymphopsis acinacispinatus	urn:lsid:marinespecies.org:taxname:239591	acinacispinatus	species	820e6d79-275e-4cfa-b73f-1ca12109bf87	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	578620800000.0	578620800000.0	578620800000.0	1988.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Nymphopsis acinacispinatus	2	1065	1274	1302	1358	379601	379608	1562	236282	239591	239591	Nymphopsis acinacispinatus	['NO_DEPTH']	6.0	873	15.73	35.6	0.009	Male										
