associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81500.274050	Invertebrate Zoology: Crustacea	United States	31	52.6329994202	-174.817001343	observedindividualcount=1;	1906-05-31T12:00:00Z	Hilton, W. A.	1.0	USNM	Alaska Peninsula, Shumagin Islands, Koniuji Island	3248	3248	5	Alcohol (Ethanol)	Nymphon profundum	Hilton	urn:lsid:marinespecies.org:taxname:240222	female	Alaska	Holotype	North Pacific Ocean	1906	04e2a44f-a000-4220-bf71-ac9d009d73ac	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3248	-2006726400000	-2006726400000	-2006726400000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon profundum	2	1065	1274	1302	1358	379601	379609	1566	134591	240222	240222	Nymphon profundum	[]	3249	42458	5.58	32.8	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81501.274051	Invertebrate Zoology: Crustacea	United States	29	55.3330001831	-136.332992554	observedindividualcount=1;	1888-08-29T12:00:00Z	Hilton, W. A.	1.0	USNM	Off Alexander Archipelago	2869	2869	8	Alcohol (Ethanol)	Nymphon profundum	Hilton	urn:lsid:marinespecies.org:taxname:379093	female	Alaska	Holotype	North Pacific Ocean	1888	492d1914-e1e3-452e-bdc8-eaf4b65fff8a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2869	-2566857600000	-2566857600000	-2566857600000	1888	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon profundum	2	1065	1274	1302	1358	379601	379609	1566	134591	240222	240222	Nymphon noctum	[]	2855	124068	9.07	32.22	ovigerous
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	81502.274052	Invertebrate Zoology: Crustacea	United States	29	55.3330001831	-136.332992554	observedindividualcount=41;	1888-08-29T12:00:00Z	Hilton, W. A.	41.0	USNM	Off Alexander Archipelago	2869	2869	8	Alcohol (Ethanol)	Nymphon profundum	Hilton	urn:lsid:marinespecies.org:taxname:379093		Alaska	Paratype	North Pacific Ocean	1888	91a53ce5-beec-4825-898a-f78d15bc60bd	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2869	-2566857600000	-2566857600000	-2566857600000	1888	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon profundum	2	1065	1274	1302	1358	379601	379609	1566	134591	240222	240222	Nymphon noctum	[]	2855	124068	9.07	32.22	
