associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234492.186247	Invertebrate Zoology: Crustacea	Japan	1	33.4766693115	135.481674194	observedindividualcount=5;	1984-09-01T12:00:00Z	Bowman, Thomas E.	5.0	USNM	; juvenile	Honshu Island, Kii Strait	354	353	9	Alcohol (Ethanol)	Nymphon infundibulum	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239959	male;;	Paratype	North Pacific Ocean	1984	10fb9c89-2463-4996-bd28-e46328230acf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	353.5	462844800000	462844800000	462844800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon infundibulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239959	239959	Nymphon infundibulum	[]	347	5383	22.68	34.22
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234491.186246	Invertebrate Zoology: Crustacea	Japan	1	33.4766693115	135.481674194	observedindividualcount=1;	1984-09-01T12:00:00Z	Bowman, Thomas E.	1.0	USNM	ovigerous	Honshu Island, Kii Strait	354	353	9	Alcohol (Ethanol)	Nymphon infundibulum	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239959	female	Holotype	North Pacific Ocean	1984	3209e170-def3-4e9a-9b7b-98cfb3c598aa	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	353.5	462844800000	462844800000	462844800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon infundibulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239959	239959	Nymphon infundibulum	[]	347	5383	22.68	34.22
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234493.186248	Invertebrate Zoology: Crustacea	Japan	1	33.4683303833	135.475006104	observedindividualcount=2;	1984-09-01T12:00:00Z	Bowman, Thomas E.	2.0	USNM	juvenile	Honshu Island, Kii Strait	492	455	9	Alcohol (Ethanol)	Nymphon infundibulum	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239959		Paratype	North Pacific Ocean	1984	b0ef3e8f-cbcb-4955-8e4c-23bcf6413ab7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	473.5	462844800000	462844800000	462844800000	1984	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon infundibulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239959	239959	Nymphon infundibulum	[]	448	6497	22.68	34.22
