basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	datasetID	datasetName	dateIdentified	decimalLatitude	decimalLongitude	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	locality	locationID	modified	occurrenceID	occurrenceStatus	order	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	individualCount	maximumDepthInMeters	minimumDepthInMeters	month	stateProvince	waterBody	year	depth	date_start	date_mid	date_end	date_year	occurrenceRemarks	recordedBy	materialSampleID	ownerInstitutionCode	samplingProtocol	taxonRank	taxonRemarks	type	coordinatePrecision	verbatimDepth
PreservedSpecimen	INV.69026	Pycnogonida	urn:catalog:RBINS:Pycnogonida	North Atlantic Ocean	15000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1934-01	32.3097685045	-64.7582244244	Phoxichilidiidae	0/Bermudes	Anoplodactylus	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	ovigerous	Bermuda	http://www.geonames.org/3573345	2017-10-16 14:53:02	http://collections.naturalsciences.be/specimen/752874	present	Pantopoda	Arthropoda	container type: tray; preservation method: dry	Anoplodactylus maritimus	Giltay, 1934	urn:lsid:marinespecies.org:taxname:379290	undefined	parvus	specimen	0b3529c9-9b2f-4b69-8675-6159bb70d33e	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus parvus Giltay, 1934	['NO_DEPTH', 'ON_LAND']	-13	-240	23.42	36.53																												
PreservedSpecimen	INV.69027	Pycnogonida	urn:catalog:RBINS:Pycnogonida	North Atlantic Ocean	15000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1934-01	32.3097685045	-64.7582244244	Phoxichilidiidae	0/Bermudes	Anoplodactylus	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	adult	Bermuda	http://www.geonames.org/3573345	2017-10-16 14:53:37	http://collections.naturalsciences.be/specimen/752877	present	Pantopoda	Arthropoda	container type: tray; preservation method: dry	Anoplodactylus maritimus	Giltay, 1934	urn:lsid:marinespecies.org:taxname:379290	male	parvus	type	22e9ed39-254a-4a2f-a1f0-e96c66a1d460	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus parvus Giltay, 1934	['NO_DEPTH', 'ON_LAND']	-13	-240	23.42	36.53																												
PreservedSpecimen	155180.118578	Pycnogonida	Invertebrate Zoology: Crustacea						27.4750003815	-80.0733337402	Phoxichilidiidae		Anoplodactylus	Child, C. Allan	USNM	Animalia	juvenile	E Of Fort Pierce					Pantopoda	Arthropoda	Alcohol (Ethanol)	Anoplodactylus maritimus	Hodgson	urn:lsid:marinespecies.org:taxname:134719				23709ac3-42b8-40f0-b108-b104f438ac7c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus		2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus maritimus	[]	26	20515	26.08	36.07	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	28	observedindividualcount=1;	1974-02-28T12:00:00Z	1.0	24.0	24.0	2	Florida	North Atlantic Ocean	1974	24.0	131241600000.0	131241600000.0	131241600000.0	1974.0										
HumanObservation	55010600080109W41201060102	Pycnogonida	BENTHIC HADDOCK SURVEY						40.5830001831	-67.983001709	Phoxichilidiidae	55010600080109	Anoplodactylus		NOAA, NMFS, Northeast Fisheries Science Center	Animalia		H_Stratum014					Pantopoda	Arthropoda		Anoplodactylus maritimus		urn:lsid:marinespecies.org:taxname:379290				245acfed-b2f4-4f5a-a517-04055e8f7964	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus		2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus parvus	[]	93	182566	13.28	33.19		Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	United States	17	observedweight=0;observedindividualcount=1;	1955-11-17T12:00:00Z		84.0	84.0	11		North Atlantic Ocean	1955	84.0	-445737600000.0	-445737600000.0	-445737600000.0	1955.0	Gear Type: DIGBY DRAG									
PreservedSpecimen	221033.175019	Pycnogonida	Invertebrate Zoology: Crustacea						33.5383300781	-77.4166717529	Phoxichilidiidae	818085	Anoplodactylus	Ustach, J. F.	USNM	Animalia		Off North Carolina					Pantopoda	Arthropoda	Alcohol (Ethanol)	Anoplodactylus maritimus	Giltay	urn:lsid:marinespecies.org:taxname:379290	male			27df3ffb-e367-4133-9e05-3d213f0d189b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus		2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus parvus	[]	30	60383	23.43	36.16	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	5	observedindividualcount=1;	1981-05-05T12:00:00Z	1.0	33.0	33.0	5		North Atlantic Ocean	1981	33.0	357868800000.0	357868800000.0	357868800000.0	1981.0		Duke University For Minerals Management Service/Bureau of Land Management BLM/ MMS								
MaterialSample		Pycnogonida				NOAA NBI	NOAA National Benthic Inventory		24.54147	-81.37138	Phoxichilidiidae		Anoplodactylus			Animalia		Florida Keys National Marine Sanctuary			NOAA:NCCOS:NBI:FK15_009_1:254551	present	Pantopoda	Arthropoda		Anoplodactylus maritimus		urn:lsid:marinespecies.org:taxname:134719				2cb80a3a-5824-44f7-b841-5edb2ea5adfa	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus		2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus maritimus	[]	51	9144	26.88	36.03						2015-06-08	1	42.9	42.9					42.9	1433721600000.0	1433721600000.0	1433721600000.0	2015.0			FK15_009_1:254551	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Anoplodactylus maritimus'	Dataset		
PreservedSpecimen	INV.69028	Pycnogonida	urn:catalog:RBINS:Pycnogonida	North Atlantic Ocean	15000.0	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1934-01	32.3097685045	-64.7582244244	Phoxichilidiidae	0/Bermudes	Anoplodactylus	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	adult	Bermuda	http://www.geonames.org/3573345	2017-10-16 14:54:10	http://collections.naturalsciences.be/specimen/344910	present	Pantopoda	Arthropoda	container type: tray; preservation method: dry	Anoplodactylus maritimus	Giltay, 1934	urn:lsid:marinespecies.org:taxname:379290	female	parvus	type	307ae488-a996-4005-b788-db2b889528ae	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus parvus Giltay, 1934	['NO_DEPTH', 'ON_LAND']	-13	-240	23.42	36.53																												
PreservedSpecimen	155181.118579	Pycnogonida	Invertebrate Zoology: Crustacea						27.8583297729	-80.1583328247	Phoxichilidiidae		Anoplodactylus	Child, C. Allan	USNM	Animalia	juvenile	E Of Fort Pierce					Pantopoda	Arthropoda	Alcohol (Ethanol)	Anoplodactylus maritimus	Hodgson	urn:lsid:marinespecies.org:taxname:134719				32ffe3aa-ee0a-452b-91e3-2e2690fb757b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus		2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus maritimus	[]	28	25636	25.66	36.17	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	28	observedindividualcount=1;	1974-02-28T12:00:00Z	1.0	25.0	25.0	2	Florida	North Atlantic Ocean	1974	25.0	131241600000.0	131241600000.0	131241600000.0	1974.0										
HumanObservation	Spp-43-049_B1	Pycnogonida	B89PII						27.4702758789	-82.6907272339	Phoxichilidiidae		Anoplodactylus	Child, C. A.	HRI	Animalia		ENE Gulf of Mexico					Pantopoda	Arthropoda		Anoplodactylus maritimus	Hodgson,	urn:lsid:marinespecies.org:taxname:134719				33e76174-8496-4ccb-b3c1-91975134dbcb	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus maritimus	['DEPTH_EXCEEDS_BATH']	-4	42	24.73	36.0	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/						183.0	0.0			Gulf of Mexico		91.5					Database description and disclaimer at: http://gulfbase.org/								349800.0	0-183
PreservedSpecimen	282166.225516	Pycnogonida	Invertebrate Zoology: Crustacea						25.2966709137	-81.6633300781	Phoxichilidiidae	3/II-52	Anoplodactylus		USNM	Animalia		Off Florida					Pantopoda	Arthropoda	Alcohol (Ethanol)	Anoplodactylus maritimus	Giltay	urn:lsid:marinespecies.org:taxname:379290				35cb9524-9292-483e-9439-3dafb395ddda	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus maritimus		2	1065	1274	1302	1358	379601	379610	14469	134592	134719	134719	Anoplodactylus parvus	[]	11	49881	26.13	36.18	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	9	observedindividualcount=1;	1982-12-09T12:00:00Z	1.0	14.0	14.0	12		North Atlantic Ocean	1982	14.0	408240000000.0	408240000000.0	408240000000.0	1982.0		Continental Shelf Associates For BLM/ MMS								
