basisOfRecord	catalogNumber	decimalLatitude	decimalLongitude	locality	scientificName	scientificNameID	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	collectionCode	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificNameAuthorship	sex	waterBody	year	depth	date_start	date_mid	date_end	date_year	occurrenceID	occurrenceStatus	ownerInstitutionCode	references	datasetID	modified	specificEpithet
HumanObservation	122655	-9.39999961853	46.5	Aldabra Islands	Nymphon tanypalpes	urn:lsid:marinespecies.org:taxname:239496	Accepted	07b59865-1122-495d-8095-797f97046561	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tanypalpes	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239496	239496	Nymphon tanypalpes	['NO_DEPTH', 'ON_LAND']	-5	-1275	27.11	35.08																																
PreservedSpecimen	233796.185703	-9.41699981689	46.3330001831	Aldabra Atoll, Picard Island	Nymphon tanypalpes	urn:lsid:marinespecies.org:taxname:239496	Paratype	1b6883b3-afae-4d3a-86e8-a2efe8920937	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tanypalpes		2	1065	1274	1302	1358	379601	379609	1566	134591	239496	239496	Nymphon tanypalpes	[]	1240	3779	27.11	35.07	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea	Seychelles	12	observedindividualcount=4;	1987-04-12T12:00:00Z	Child, C. Allan	4.0	USNM	; juvenile	20.0	20.0	4	Alcohol (Ethanol)	B. Kensley	Child	female;;	Indian Ocean	1987	20.0	545184000000.0	545184000000.0	545184000000.0	1987.0							
HumanObservation	122655	-9.4	46.5	Aldabra Islands	Nymphon tanypalpes	urn:lsid:marinespecies.org:taxname:239496		8c2df021-cf44-4362-8224-5ac12a264726	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tanypalpes		2	1065	1274	1302	1358	379601	379609	1566	134591	239496	239496	Nymphon tanypalpes	['NO_DEPTH', 'ON_LAND']	-6	-1275	27.11	35.08							1988			CMLRE												567993600000.0	583718400000.0	599529600000.0	1988.0	11520	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar			
PreservedSpecimen	233795.185702	-9.41699981689	46.3330001831	Aldabra Atoll, Picard Island	Nymphon tanypalpes	urn:lsid:marinespecies.org:taxname:239496	Holotype	f2121502-439e-4964-9dc6-ba24154fce1a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tanypalpes		2	1065	1274	1302	1358	379601	379609	1566	134591	239496	239496	Nymphon tanypalpes	[]	1240	3779	27.11	35.07	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea	Seychelles	12	observedindividualcount=1;	1987-04-12T12:00:00Z	Child, C. Allan	1.0	USNM		20.0	20.0	4	Alcohol (Ethanol)	B. Kensley	Child	male	Indian Ocean	1987	20.0	545184000000.0	545184000000.0	545184000000.0	1987.0							
PreservedSpecimen	sm_id_2080	-9.38	46.2	Indian Ocean	Nymphon tanypalpes	urn:lsid:marinespecies.org:taxname:239496	holotype	f79dbac5-7a80-4c1e-907a-a67d51c46381	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tanypalpes	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239496	239496	Nymphon tanypalpes	[]	323	853	27.13	35.08		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon tanypalpes</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239496	WoRMS type localities		13		1987-04-13			WoRMS Editorial Board			20.0	4			Child, 1988			1987	20.0	545270400000.0	545270400000.0	545270400000.0	1987.0	WoRMS Editorial Board:WoRMS type localities:sm_id_2080	present		http://www.marinespecies.org/aphia.php?p=specdetails&id=2080	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	tanypalpes
