basisOfRecord	catalogNumber	class	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	individualCount	institutionCode	institutionID	kingdom	language	license	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	order	phylum	rightsHolder	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonID	taxonRank	type	verbatimIdentification	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	eventID	eventTime	footprintWKT	modified	occurrenceStatus	samplingProtocol	coordinateUncertaintyInMeters	country	dateIdentified	identifiedBy	lifeStage	otherCatalogNumbers	preparations	sex	typeStatus	associatedReferences	countryCode	identificationRemarks	infraspecificEpithet	recordedBy	verbatimLatitude	verbatimLongitude	bibliographicCitation	dynamicProperties	stateProvince	waterBody	locationAccordingTo	locationID
PreservedSpecimen	6590	Pycnogonida	MuseumCollection	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	30	63.66666667	-68.45	1968-04-30	Ascorhynchidae	SAB 68-5A	Eurycyde	2	IML	https://edmo.seadatanet.org/report/4160	Animalia	en	http://creativecommons.org/licenses/by/4.0/legalcode	Cairn Island	26.0	26.0	4	DFO_MLI_MuseumCollection_6590	Pantopoda	Arthropoda	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	Eurycyde hispida	(Kröyer, 1844)	urn:lsid:marinespecies.org:taxname:134630	hispida	083_00801	phylum	PhysicalObject	Eurycyde hispida	1968	03184607-9c72-41d3-b008-1be6e3d9554f	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	26.0	-52790400000	-52790400000	-52790400000	1968	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida	1.0	2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	10.0	495	-0.44	31.62																													
Occurrence	203910014001003	Pycnogonida	IMRMarbunnBenthos	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	21	79.003998	8.919509	2019-10-21T18:31:00+00:00/2019-10-21T18:36:00+00:00	Ascorhynchidae	catchId: 3	Eurycyde		IMR		Animalia			MAREANO Reference Station: 2039	210.46	208.25	10	203910014001003	Pantopoda	Arthropoda		Eurycyde hispida	(Krøyer, 1844)	urn:lsid:marinespecies.org:taxname:134630						2019	090c660d-6a18-4dd0-ae7d-4305c722c60b	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	209.35500000000002	1571616000000	1571616000000	1571616000000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida	1.0	2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	206.0	35483	2.87	34.88	Norwegian Sea	Cruise: 58GS-2019115 Sample: 14	18:31:00+00:00/18:36:00+00:00	LINESTRING(8.919509 79.003998,8.916821 79.005873)	2024-05-23 10:35:05	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0																						
Occurrence	1779	Pycnogonida	White Sea Benthos	https://marineinfo.org/id/dataset/2769		1	64.8	35.65	1981-09-01	Ascorhynchidae		Eurycyde		RAS-WSBS		Animalia					35.0	9	urn:catalog:RAS-WSBS:White Sea Benthos:1779	Pantopoda	Arthropoda		Eurycyde hispida		urn:lsid:marinespecies.org:taxname:134630						1981	0f54aa85-599e-469f-923d-dc36ef6bcb94	843d3c1f-d82a-4ebd-b5f9-299706f04789	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	35.0	368150400000	368150400000	368150400000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida	1.0	2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	4.22	3204	4.12	24.72	White Sea				2011-01-13 16:31:07	present																							
PreservedSpecimen	INV.69065	Pycnogonida	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	24	66.766667	-79.25	1927-08-24	Ascorhynchidae	12147	Eurycyde		RBINS-Scientific Heritage		Animalia						8	http://collections.naturalsciences.be/specimen/521856	Pantopoda	Arthropoda		Eurycyde hispida	(Kroyer, 1844)	urn:lsid:marinespecies.org:taxname:134630	hispida					1927	13c80f42-5a0e-4a36-b0eb-81bdfcd67b1c	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-1336694400000	-1336694400000	-1336694400000	1927	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida	1.0	2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida (Kroyer, 1844)	['NO_DEPTH']	68.0	98987	-0.77	31.12					2015-09-17 15:01:42	present		1000.0	Canada	1936-01	Giltay L.B. (Dr.)	unknown	urn:catalog:RBINS:IG:12147	container type: vial; preservation method: alcohol	unknown	specimen													
HumanObservation	6_68-5-1_Eurycyde hispida	Pycnogonida		cusson_arcticbenthos	Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada (1955 to 1977)	23	63.66722	-68.43417	1968-07-23	Ascorhynchidae	Wacasey et al 1979 Zoobenthos data from Upper Frobisher bay 1967-1973_68-5-1	Eurycyde		Université du Québec à Chicoutimi	http://www.seadatanet.org/urnurl/SDN:EDMO::4871	Animalia	En	http://creativecommons.org/licenses/by/4.0/legalcode		45.0	45.0	7	cusson_arcticbenthos_6_68-5-1_Eurycyde hispida	Pantopoda	Arthropoda	Cusson et al	Eurycyde hispida	(Krøyer 1844)	urn:lsid:marinespecies.org:taxname:134630	hispida			event		1968	14ce6ce3-b5c6-4b7c-9cff-c28cfbbbfc5d	8dbd0669-92d1-41ef-a5db-527bc6aa1ec9	['7dfb2d90-9317-434d-8d4e-64adf324579a']	45.0	-45532800000	-45532800000	-45532800000	1968	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida		2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	32.0	484	-0.44	31.62					2021-06-08	present			Canada								Cusson M. Archambault P. and Aitken A. 2007. Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada. Marine Ecology Progress Series 331:291-304|Wacasey et al 1979 Zoobenthos data from Upper Frobisher bay 196	CA	NA	NA	Wacasey JW Atkinson EG Glasspoole L (1979) Zoobenthos data from upper Frobisher Bay 19671973. Can Data Rep Fish Aquat Sci No. 164	"63 40' 2"" N"	"68 26' 3"" W"						
HumanObservation	6_69-5c_Eurycyde hispida	Pycnogonida		cusson_arcticbenthos	Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada (1955 to 1977)	23	63.65	-68.41917	1969-08-23	Ascorhynchidae	Wacasey et al 1979 Zoobenthos data from Upper Frobisher bay 1967-1973_69-5c	Eurycyde		Université du Québec à Chicoutimi	http://www.seadatanet.org/urnurl/SDN:EDMO::4871	Animalia	En	http://creativecommons.org/licenses/by/4.0/legalcode		31.0	31.0	8	cusson_arcticbenthos_6_69-5c_Eurycyde hispida	Pantopoda	Arthropoda	Cusson et al	Eurycyde hispida	(Krøyer 1844)	urn:lsid:marinespecies.org:taxname:134630	hispida			event		1969	1db5c256-f490-41f2-9027-5a14d82b4ed3	8dbd0669-92d1-41ef-a5db-527bc6aa1ec9	['7dfb2d90-9317-434d-8d4e-64adf324579a']	31.0	-11318400000	-11318400000	-11318400000	1969	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida		2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	14.0	760	-0.44	31.62					2021-06-08	present			Canada								Cusson M. Archambault P. and Aitken A. 2007. Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada. Marine Ecology Progress Series 331:291-304|Wacasey et al 1979 Zoobenthos data from Upper Frobisher bay 196	CA	NA	NA	Wacasey JW Atkinson EG Glasspoole L (1979) Zoobenthos data from upper Frobisher Bay 19671973. Can Data Rep Fish Aquat Sci No. 164	"63 39' 0"" N"	"68 25' 9"" W"						
HumanObservation	1_th490_Eurycyde hispida	Pycnogonida		cusson_arcticbenthos	Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada (1955 to 1977)	8	58.0	-88.0	1965-09-08	Ascorhynchidae	Aitkinson & Wacasey 1989 Benthic invertebrates collected from Hudson Bay Canada 1953-1965_th490	Eurycyde		Université du Québec à Chicoutimi	http://www.seadatanet.org/urnurl/SDN:EDMO::4871	Animalia	En	http://creativecommons.org/licenses/by/4.0/legalcode		144.0	144.0	9	cusson_arcticbenthos_1_th490_Eurycyde hispida	Pantopoda	Arthropoda	Cusson et al	Eurycyde hispida	(Krøyer 1844)	urn:lsid:marinespecies.org:taxname:134630	hispida			event		1965	20023924-3c6b-475e-8e9f-7f3a3b50e45f	8dbd0669-92d1-41ef-a5db-527bc6aa1ec9	['7dfb2d90-9317-434d-8d4e-64adf324579a']	144.0	-136166400000	-136166400000	-136166400000	1965	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida		2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	125.0	134184	1.17	31.73					2021-06-08	present			Canada								Cusson M. Archambault P. and Aitken A. 2007. Biodiversity of benthic assemblages on the Arctic continental shelf: historical data from Canada. Marine Ecology Progress Series 331:291-304|Aitkinson & Wacasey 1989 Benthic invertebrates collected from Hu	CA	NA	NA	Atkinson E.G. and J.W. Wacasey. 1989. Benthic invertebrates collected from Hudson Bay Canada 1953 to 1965. Can. Data Rep. Fish. Aquat. Sci.: 744. iv + 121 p.	"58 00' 0"" N"	"88 00' 0"" W"						
PreservedSpecimen	75324.290654	Pycnogonida	Invertebrate Zoology: Crustacea			24	67.75	-79.1500015259	1927-08-24T12:00:00Z	Ascorhynchidae		Eurycyde	3.0	USNM		Animalia			Foxe Basin	69.0	69.0	8		Pantopoda	Arthropoda		Eurycyde hispida	(Kroyer)	urn:lsid:marinespecies.org:taxname:134630						1927	2cb493bc-335a-48a8-86b0-fa56f975b9c7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	69.0	-1336694400000	-1336694400000	-1336694400000	1927	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida		2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	37.0	33138	-0.67	30.91									Canada		Giltay, L.			Alcohol (Ethanol)			National Museum of Natural History, Smithsonian Institution				R. Bartlett			Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=3;	Northwest Territories	Arctic Ocean		
PreservedSpecimen	6589	Pycnogonida	MuseumCollection	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	8	58.0	-88.0	1965-09-08	Ascorhynchidae	SAB 65 TH-490 VVG-50	Eurycyde	1	IML	https://edmo.seadatanet.org/report/4160	Animalia	en	http://creativecommons.org/licenses/by/4.0/legalcode		149.0	145.0	9	DFO_MLI_MuseumCollection_6589	Pantopoda	Arthropoda	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	Eurycyde hispida	(Kröyer, 1844)	urn:lsid:marinespecies.org:taxname:134630	hispida	083_00801	phylum	PhysicalObject	Eurycyde hispida	1965	354073ba-ecc9-49f6-bc82-c0615422ca4c	1febfcdd-3e1b-46db-b73d-1bbe81ce22a6	['7dfb2d90-9317-434d-8d4e-64adf324579a']	147.0	-136166400000	-136166400000	-136166400000	1965	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida	1.0	2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	125.0	134184	1.17	31.73																													
HumanObservation	45	Pycnogonida	Can Data Rep Fish Aquat Sci No. 164	DFO_ABS_Zoobenthos_R164	DFO Zoobenthos data from upper Frobisher Bay, 1967 to 1973	10	63.667	-68.405	1967-12-10	Ascorhynchidae	5a-10-12-1967	Eurycyde	10	Arctic Biological Station	DFO-ABS	Animalia		http://creativecommons.org/licenses/by/4.0/legalcode	Frobisher Bay	37.0	37.0	12	DFO_ABS_Zoobenthos_R164_45	Pantopoda	Arthropoda	Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans	Eurycyde hispida	(Kroyer, 1844)	urn:lsid:marinespecies.org:taxname:134630	hispida					1967	35436e14-e9a4-4567-a4da-720a7862faca	a56cc5fc-9973-438d-a793-cdfd860bfef7	['7dfb2d90-9317-434d-8d4e-64adf324579a']	37.0	-65059200000	-65059200000	-65059200000	1967	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde hispida		2	1065	1274	1302	1358	379601	379608	379788	134573	134630	134630	Eurycyde hispida	[]	2.0	460	-0.44	31.62					2021-06-03	present	Pettersen grab sampler		Canada										NA						SampleSize=Numbers per square metre; VESSEL: MV Calanus and from surface of ice in winter; VerbatimNAME=Eurycyde hispida; Biomass (g/m2)=0.0113			marineregions.org MRGID	23370
