basisOfRecord	catalogNumber	class	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	institutionCode	bibliographicCitation	coordinateUncertaintyInMeters	footprintWKT	geodeticDatum	organismQuantity	organismQuantityType	recordNumber	scientificNameAuthorship	taxonRank	continent	country	lifeStage	locationID	otherCatalogNumbers	preparations	sex	typeStatus	individualCount
HumanObservation	17738	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	1	-32.0	13.0	1978-12-01T00:00:00+00:00	Beam trawl_1978121_CP / CPH-13_NA	00:00:00+00:00	Pallenopsidae	CP / CPH-13	EPSG:4326	Bathypallenopsis	STOCK Jan	Animalia	en	Ride Walvis	3550.0	3550.0	2022-01-18 09:29:51	12	Ifremer_bio_dba_17738	present	Pantopoda	Arthropoda	SIBUET Myriam	Beam trawl	Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:134737	oscitans	1978	20fe754e-165f-453f-997a-964afc036ed1	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3550.0	281318400000.0	281318400000.0	281318400000.0	1978.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Pallenopsis oscitans	[]	3673	446598	18.32	35.53																			
HumanObservation	37232	Pycnogonida	SOMBASE Pycnogonids				-35.4500007629	23.4899997711				Pallenopsidae			Bathypallenopsis		Animalia									Pantopoda	Arthropoda			Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:134737			306366bf-b0fd-416d-aefc-19d725f84335	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris		2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Pallenopsis oscitans	['NO_DEPTH']	1798	149036	21.47	35.43	BAS																		
PreservedSpecimen	MIIC-04859	Pycnogonida	MIIC				-45.2943	146.11	2009-01-11 00:00			Pallenopsidae	TT200801-J2-392-003		Bathypallenopsis	Karen Gowlett-Holmes	Animalia			2693.0	2693.0	2023-07-11T05:57:21		urn:csiro:MIIC:MIIC-04859	present	Pantopoda	Arthropoda	Karen Gowlett-Holmes		Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:239916			3161115f-d013-4b4e-9715-6a10b33cab1d	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2693.0	1231632000000.0	1231632000000.0	1231632000000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Bathypallenopsis longirostris (Wilson, 1881)	[]	2690	173387	12.69	34.99	CSIRO	CSIRO Marine Invertebrate Image Collection (MIIC)	200	POINT (146.11000 -45.29430)	EPSG:4326	1	individuals	TT200801-J2-392-003-001	(Wilson, 1881)	species									
HumanObservation	Deepsea_Pycnogonida_8995	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146			37.35	-25.48	1970/1972			Pallenopsidae			Bathypallenopsis		Animalia		“Jean Charcot”, St.206		2090.0	2016-03-24 10:26:12		Deepsea_Pycnogonida_8995	present	Pantopoda	Arthropoda			Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:134737			398546d9-fc31-4daf-bbd0-85974afd3172	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2090.0	0.0	47260800000.0	94608000000.0	1971.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Pallenopsis (Bathypallenopsis) oscitans	[]	2077	39499	19.33	36.29	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247							Hoek, 1881										
PreservedSpecimen	MIIC-04862	Pycnogonida	MIIC				-45.2948	146.114	2009-01-11 00:00			Pallenopsidae	TT200801-J2-392-006		Bathypallenopsis	Karen Gowlett-Holmes	Animalia			2423.0	2423.0	2023-07-11T05:57:21		urn:csiro:MIIC:MIIC-04862	present	Pantopoda	Arthropoda	Karen Gowlett-Holmes		Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:239916			39a36862-8682-4b3b-b45b-c6d13299cfc8	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2423.0	1231632000000.0	1231632000000.0	1231632000000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Bathypallenopsis longirostris (Wilson, 1881)	[]	2690	173313	12.69	34.99	CSIRO	CSIRO Marine Invertebrate Image Collection (MIIC)	200	POINT (146.11400 -45.29480)	EPSG:4326	1	individuals	TT200801-J2-392-006-004	(Wilson, 1881)	species									
PreservedSpecimen	INV.93668	Pycnogonida	urn:catalog:RBINS:Pycnogonida	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection		47.2742601317	-59.8278807476	1917			Pallenopsidae	0/Cabot Strait		Bathypallenopsis		Animalia		Cabot Strait			2017-10-16 14:42:29		http://collections.naturalsciences.be/specimen/752815	present	Pantopoda	Arthropoda			Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:134735	longirostris	1917	48abe161-7bd6-4ecd-9f05-a552260a13d4	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-1672531200000.0	-1656806400000.0	-1641081600000.0	1917.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Pallenopsis longirostris Wilson, 1881	['NO_DEPTH']	454	24054	7.32	30.27	RBINS-Scientific Heritage		85000.0						Wilson, 1881		Cabot Strait, Détroit de Cabot	Canada	undefined	http://www.geonames.org/5913028	urn:catalog:RBINS:IG:0	container type: tray; preservation method: dry	undefined	specimen	
PreservedSpecimen	MIIC-04863	Pycnogonida	MIIC				-45.2948	146.114	2009-01-11 00:00			Pallenopsidae	TT200801-J2-392-006		Bathypallenopsis	Karen Gowlett-Holmes	Animalia			2423.0	2423.0	2023-07-11T05:57:21		urn:csiro:MIIC:MIIC-04863	present	Pantopoda	Arthropoda	Karen Gowlett-Holmes		Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:239916			516cca60-e249-46e5-ae11-a12cf6af4dce	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2423.0	1231632000000.0	1231632000000.0	1231632000000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Bathypallenopsis longirostris (Wilson, 1881)	[]	2690	173313	12.69	34.99	CSIRO	CSIRO Marine Invertebrate Image Collection (MIIC)	200	POINT (146.11400 -45.29480)	EPSG:4326	1	individuals	TT200801-J2-392-006-004	(Wilson, 1881)	species									
HumanObservation	18271	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	Bigood	1	47.0	-8.0	1984-03-01T00:00:00+00:00	Beam trawl_198431_CP / CPH-38_NA	00:00:00+00:00	Pallenopsidae	CP / CPH-38	EPSG:4326	Bathypallenopsis	STOCK Jan	Animalia	en	Golfe de Gascogne	2100.0	2100.0	2022-01-18 09:29:51	3	Ifremer_bio_dba_18271	present	Pantopoda	Arthropoda	KHRIPOUNOFF Alexis	Beam trawl	Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:134735	longirostris	1984	5ff57779-6826-4d57-af37-ed9f96620e56	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2100.0	446947200000.0	446947200000.0	446947200000.0	1984.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Pallenopsis longirostris	[]	4442	261836	14.83	35.65																			
PreservedSpecimen	J61984	Pycnogonida	co119				-45.2944	146.11	2009-06-11			Pallenopsidae			Bathypallenopsis		Animalia		Tasman Fracture Zone	2693.0	2693.0	2017-02-09T10:28:41		J61984	present	Pantopoda	Arthropoda			Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:239916	longirostris		64657c68-afd9-41eb-a361-3c005d4125c4	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	2693.0	1244678400000.0	1244678400000.0	1244678400000.0	2009.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris		2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Bathypallenopsis longirostris	[]	2690	173397	12.69	34.99	NMV		1000	POINT (146.11000 -45.29440)		1	individuals			species									1
PreservedSpecimen	MIIC-04861	Pycnogonida	MIIC				-45.2948	146.114	2009-01-11 00:00			Pallenopsidae	TT200801-J2-392-006		Bathypallenopsis	Karen Gowlett-Holmes	Animalia			2423.0	2423.0	2023-07-11T05:57:21		urn:csiro:MIIC:MIIC-04861	present	Pantopoda	Arthropoda	Karen Gowlett-Holmes		Bathypallenopsis longirostris	urn:lsid:marinespecies.org:taxname:239916			69033fea-4257-4a5b-af59-96e91f58c797	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2423.0	1231632000000.0	1231632000000.0	1231632000000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis longirostris	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239916	239916	Bathypallenopsis longirostris (Wilson, 1881)	[]	2690	173313	12.69	34.99	CSIRO	CSIRO Marine Invertebrate Image Collection (MIIC)	200	POINT (146.11400 -45.29480)	EPSG:4326	1	individuals	TT200801-J2-392-006-004	(Wilson, 1881)	species									
