associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	coordinateUncertaintyInMeters	footprintWKT	modified	occurrenceID	occurrenceStatus	sex	specificEpithet	taxonRank	minimumDepthInMeters
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228609.180772	Invertebrate Zoology: Crustacea	Philippines	28	9.07361030579	123.150001526	observedindividualcount=2;	1979-04-28T12:00:00Z	Child, C. Allan	2.0	USNM	juvenile	Negros Island, Port Siyt, Just S Ofzamboanguita	1.5	4	Alcohol (Ethanol)	C. Child	Callipallene novaezealandiae	(Thomson)	urn:lsid:marinespecies.org:taxname:240099	Negros Oriental	North Pacific Ocean	1979	0af3cfca-0f02-4bf9-bbd8-bda1c0e1813c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	294105600000	294105600000	294105600000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	[]	-8	23	28.45	32.6										
	PreservedSpecimen		P.44168	co113			-38.72999	148.26166		1994-08-26			AM		Bass Strait, east of Seal Islands					Callipallene novaezealandiae		urn:lsid:marinespecies.org:taxname:240099				32a3386a-7d36-4b84-880b-c11221df7978	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		777859200000	777859200000	777859200000	1994	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	['NO_DEPTH']	85	93613	16.48	35.59	0.009	1000	POINT (148.26166 -38.72999)	2017-03-02T16:15:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44168	present	Female	novaezealandiae	species	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228608.180771	Invertebrate Zoology: Crustacea	Philippines	27	9.43332958221	123.391670227	observedindividualcount=1;	1979-04-27T12:00:00Z	Child, C. Allan	1.0	USNM		Cebu Island, Sumilon Island, SE Shore	2.0	4	Alcohol (Ethanol)	C. Child	Callipallene novaezealandiae	(Thomson)	urn:lsid:marinespecies.org:taxname:240099	Cebu	North Pacific Ocean	1979	34b8a06a-c652-4c73-93d3-bc2331ef14f3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	294019200000	294019200000	294019200000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	[]	72	57	28.47	32.83							male			1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228610.180773	Invertebrate Zoology: Crustacea	Philippines	23	9.08300018311	123.266998291	observedindividualcount=1;	1978-06-23T12:00:00Z	Child, C. Allan	1.0	USNM		Negros Island, Apo Island, W Side	1.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Callipallene novaezealandiae	(Thomson)	urn:lsid:marinespecies.org:taxname:240099	Negros Oriental	North Pacific Ocean	1978	44ae2d4b-b2e6-4fbf-a3e0-169c4b98fe4c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.55	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	[]	-33	120	28.4	32.66							female			0.1
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195381.150647	Invertebrate Zoology: Crustacea	Palau	2	7.30944013596	134.509719849	observedindividualcount=1;	1974-07-02T12:00:00Z	Child, C. Allan	1.0	USNM	juvenile	Koror Island, SE End, Reef Inside Cove Next To Cave	0.1	7	Alcohol (Ethanol)		Callipallene novaezealandiae	(Thomson)	urn:lsid:marinespecies.org:taxname:240099		North Pacific Ocean	1974	507d3135-9d5e-425a-bf6c-d01399040917	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.1	141955200000	141955200000	141955200000	1974	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	[]	4	632	29.22	33.82							female			0.1
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195384.150650	Invertebrate Zoology: Crustacea	Palau	30	7.19305992126	134.383331299	observedindividualcount=9;	1974-06-30T12:00:00Z	Child, C. Allan	9.0	USNM	;; juvenile	Unnamed Islet Between Amoi Island And Eil Malk Island	2.0	6	Alcohol (Ethanol)	C. Child	Callipallene novaezealandiae	(Thomson)	urn:lsid:marinespecies.org:taxname:240099		North Pacific Ocean	1974	6b3d7591-7890-4e07-9d96-49c5cb444f09	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	141782400000	141782400000	141782400000	1974	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	[]	-2	333	29.22	33.82							male; female;;			2.0
	PreservedSpecimen		P.43397	co113	Australia		-10.9	133.033		1982-10-14			AM		south side of New Year Island					Callipallene novaezealandiae		urn:lsid:marinespecies.org:taxname:240099				8dd402e9-bb2b-41ad-813f-c329d45421fb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		403401600000	403401600000	403401600000	1982	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	['NO_DEPTH']	5	712	28.1	34.29	0.0896	10000	POINT (133.03300 -10.90000)	2017-03-02T16:13:56	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43397	present	Female	novaezealandiae	species	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228605.180768	Invertebrate Zoology: Crustacea	Philippines	15	9.2277803421	123.483329773	observedindividualcount=4;	1979-05-15T12:00:00Z	Child, C. Allan	4.0	USNM	; ovigerous; juvenile	Siquijor Island, NW Shore, Near Point W Of Stream		5	Alcohol (Ethanol)	C. Child	Callipallene novaezealandiae	(Thomson)	urn:lsid:marinespecies.org:taxname:240099	Negros Oriental	North Pacific Ocean	1979	acab1482-3738-4e73-b4c0-cd6a8b863f44	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		295574400000	295574400000	295574400000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	['NO_DEPTH']	68	742	28.42	32.78							male; female;;			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	189283.145056	Invertebrate Zoology: Crustacea	Marshall Islands	22	11.4847202301	162.390274048	observedindividualcount=1;	1969-09-22T12:00:00Z	Child, C. Allan	1.0	USNM		Ralik Chain, Enewetak Atoll, Chiniero Island, Alvin, Lge. Coral Knoll Just To W	5.0	9	Alcohol (Ethanol)	C. Child	Callipallene novaezealandiae	(Thomson)	urn:lsid:marinespecies.org:taxname:240099		North Pacific Ocean	1969	b934071e-1445-4780-87fa-e774c5d89a19	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	4.0	-8726400000	-8726400000	-8726400000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	[]	6	543	28.54	34.36							female			3.0
	PreservedSpecimen		P.77582	co113			-19.94249	117.88999		1983-10-26			AM		North West Shelf					Callipallene novaezealandiae		urn:lsid:marinespecies.org:taxname:240099				bbaaea29-ae60-4d8f-b717-5c25a33eef23	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		435974400000	435974400000	435974400000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene novaezealandiae	2	1065	1274	1302	1358	379601	379609	1564	134581	240099	240099	Callipallene novaezealandiae	['NO_DEPTH']	43	53206	26.78	34.64	0.0896	10000	POINT (117.88999 -19.94249)	2017-03-02T12:58:24	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77582	present	Male	novaezealandiae	species	
