basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	eventID	habitat	identificationRemarks	identificationVerificationStatus	occurrenceRemarks	verbatimIdentification
PreservedSpecimen	2007-4625	Pycnogonida	IU	NC	30	-22.959999	167.550003	1985-09-30T01:00Z	Phoxichilidiidae	MUSORSTOM 4/DW222	POINT  (167.550003 -22.959999)	Phoxichilidium	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Sud de la Grande-Terre	2015-06-19T21:23Z	9	440004216	Pantopoda	Arthropoda	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4625	Phoxichilidium tuberculatum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240311	tuberculatum	SPECIES	HOLOTYPE	Pacific Ocean	1985	1094ef0a-0e99-47b9-82f2-d1253adb9fe3	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	496886400000.0	496886400000.0	496886400000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum Stock, J.H., 1991	['NO_DEPTH']	516	22135	24.52	35.26															
Occurrence	21708	Pycnogonida	NewCaledonia			-20.5699996948242	166.889999389648		Phoxichilidiidae			Phoxichilidium				IRD-MNHN	Animalia		Biocal, DW8	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21708:0xFA27900001000300	Pantopoda	Arthropoda			Phoxichilidium tuberculatum		urn:lsid:marinespecies.org:taxname:240311						1768cb92-5264-40f1-952d-ccceb93b7042	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum	[]	564	23785	25.89	35.04	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	435.0	435.0	present	435.0	Biota	1.0						
Occurrence	21710	Pycnogonida	NewCaledonia			-22.9599990844727	167.550003051758		Phoxichilidiidae			Phoxichilidium				IRD-MNHN	Animalia		Musorstom 4, DW222	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21710:0xBCF98F0001000200	Pantopoda	Arthropoda			Phoxichilidium tuberculatum		urn:lsid:marinespecies.org:taxname:240311						5f3c1a11-c410-4701-8f51-f0b86a4b0981	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum	[]	516	22135	24.52	35.26	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	440.0	440.0	present	440.0	Biota	1.0						
PreservedSpecimen	2011-5718	Pycnogonida	IU	NC	30	-22.959999	167.550003	1985-09-30T01:00Z	Phoxichilidiidae	MUSORSTOM 4/DW222	POINT  (167.550003 -22.959999)	Phoxichilidium	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Sud de la Grande-Terre	2015-06-19T21:23Z	9	442597129	Pantopoda	Arthropoda	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-5718	Phoxichilidium tuberculatum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240311	tuberculatum	SPECIES	PARATYPE	Pacific Ocean	1985	690e7c19-8e51-4a9e-bc65-75de0d6b31f3	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	496886400000.0	496886400000.0	496886400000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum Stock, J.H., 1991	['NO_DEPTH']	516	22135	24.52	35.26															
Occurrence		Pycnogonida	NewCaledonia			-24.9200000762939	168.360000610352		Phoxichilidiidae			Phoxichilidium				IRD-MNHN	Animalia		Norfolk, Mt. Eponge (Biocal, DW66)	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia::0xA807900001000800	Pantopoda	Arthropoda			Phoxichilidium tuberculatum		urn:lsid:marinespecies.org:taxname:240311						7249fa1f-122c-49b1-b62d-4fefd83945cb	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum	[]	495	253016	23.7	35.46			https://marineinfo.org/id/dataset/3128	515.0	505.0	present	510.0	Biota	1.0						
Occurrence	162	Pycnogonida	NewCaledonia			-24.9200000762939	168.360000610352		Phoxichilidiidae			Phoxichilidium				IRD-MNHN	Animalia		Biocal, DW66	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:162:0xE508900001000600	Pantopoda	Arthropoda			Phoxichilidium tuberculatum		urn:lsid:marinespecies.org:taxname:240311						80a545ed-02a5-4061-bb89-6cb8b96c8777	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum	[]	495	253016	23.7	35.46	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	515.0	505.0	present	510.0	Biota	1.0						
PreservedSpecimen	sm_id_2171	Pycnogonida	WoRMS type localities		30	-22.96	167.55	1985-09-30	Phoxichilidiidae			Phoxichilidium				WoRMS Editorial Board	Animalia		Pacific Ocean	2007-06-20 15:52:33	9	WoRMS Editorial Board:WoRMS type localities:sm_id_2171	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=2171	Phoxichilidium tuberculatum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240311	tuberculatum		holotype		1985	ab4a409d-a48e-40fc-8731-08f3d17f263c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	496886400000.0	496886400000.0	496886400000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum	[]	516	22135	24.52	35.26	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Phoxichilidium tuberculatum</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240311		https://marineinfo.org/id/dataset/5184		440.0	present	440.0	Biota	1.0						
PreservedSpecimen	19254	Pycnogonida	SeamountsOnline			-24.92	168.36	1985-09-03	Phoxichilidiidae	Station DW 66		Phoxichilidium		NA		SCSD	Animalia		Sponge Seamount			SeamountsOnline_urn:lsid:marinespecies.org:taxname:240311_19254	Pantopoda	Arthropoda		Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Phoxichilidium tuberculatum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240311						b64c8079-7c51-40f8-bb79-9986044dce52	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	494553600000.0	494553600000.0	494553600000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum	[]	495	253016	23.7	35.46				515.0	505.0	present	510.0	Biota	1.0	SCSD_SeamountsOnline_Sponge_Seamount_534290	benthic/near bottom	WoRMS Match Type: exact	Validated	NA | NA	Phoxichilidium tuberculatum
Occurrence	21709	Pycnogonida	NewCaledonia			-22.8799991607666	167.279998779297		Phoxichilidiidae			Phoxichilidium				IRD-MNHN	Animalia		Biocal, DW46	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21709:0x0423900001000100	Pantopoda	Arthropoda			Phoxichilidium tuberculatum		urn:lsid:marinespecies.org:taxname:240311						b834f413-8313-41a2-a03d-a1be8840deca	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum	[]	545	21825	24.35	35.27	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	610.0	570.0	present	590.0	Biota	1.0						
PreservedSpecimen	2007-4626	Pycnogonida	IU	NC	30	-22.959999	167.550003	1985-09-30T01:00Z	Phoxichilidiidae	MUSORSTOM 4/DW222	POINT  (167.550003 -22.959999)	Phoxichilidium	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Sud de la Grande-Terre	2015-06-19T21:23Z	9	440016257	Pantopoda	Arthropoda	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4626	Phoxichilidium tuberculatum	Stock, 1991	urn:lsid:marinespecies.org:taxname:240311	tuberculatum	SPECIES	PARATYPE	Pacific Ocean	1985	f7d5ad1a-c86c-4e9b-b6e1-4e8923f53ee2	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	496886400000.0	496886400000.0	496886400000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Phoxichilidoidea	Phoxichilidium tuberculatum	2	1065	1274	1302	1358	379601	379610	14469	134594	240311	240311	Phoxichilidium tuberculatum Stock, J.H., 1991	['NO_DEPTH']	516	22135	24.52	35.26															
