basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	locality	fieldNumber	occurrenceRemarks	startDayOfYear	waterBody	date_start	date_mid	date_end	date_year	bibliographicCitation	endDayOfYear	individualCount	taxonRemarks	countryCode	eventID	identifiedByID	institutionID	organismQuantity	organismQuantityType	taxonRank	type	verbatimEventDate	superdomain	superdomainid
PreservedSpecimen	70121	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	27	-71.525833	171.409667	27/02/2004	Ammotheidae	LINESTRING (171.409667 -71.525833, 171.405667 -71.530667)	Ammothea	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/182	385	382.0	8/04/2022	2	6056f7c8-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Sled, epibenthic	Ammothea carolinensis	Leach, 1814	urn:lsid:marinespecies.org:taxname:172906	carolinensis	2004	0082e716-65d9-4b32-b7de-e9e348c45e24	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	383.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	380	28102	-1.63	34.05																								
PreservedSpecimen	35526	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	1/07/2009	9	-73.1245	174.3205	9/02/2008	Ammotheidae	LINESTRING (174.3205 -73.1245, 174.303 -73.133)	Ammothea	WGS84	GPS	Arango, Claudia	NIWA Invertebrate Collection	Animalia	en	TAN0802/17	321		8/04/2022	2	5f6d3a20-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Subsample(s), DNA subsample = 1; Specimen(s), Ethanol - no formalin = 1	IPY CAML	Trawl, Fish, Bottom	Ammothea carolinensis	Leach, 1814	urn:lsid:marinespecies.org:taxname:172906	carolinensis	2008	04edbb76-28cf-4af1-a5ef-edb6091ee83b	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	321.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	321	143612	-1.54	34.14	site C1, shelf,  eastern Ross Sea																							
HumanObservation	34707	Pycnogonida	SOMBASE Pycnogonids							-54.1916999817	-36.5833015442		Ammotheidae		Ammothea				BAS	Animalia			273	88.0					Pantopoda	Arthropoda				Ammothea carolinensis		urn:lsid:marinespecies.org:taxname:172906			090be55e-7602-4935-9de3-39083d3a5734	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	180.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	2	-99	1.82	33.77																								
HumanObservation	38725	Pycnogonida	SOMBASE Pycnogonids							-62.1960983276	-58.9606018066		Ammotheidae		Ammothea				BAS	Animalia			40	40.0					Pantopoda	Arthropoda				Ammothea carolinensis		urn:lsid:marinespecies.org:taxname:172906			09933035-8abd-4094-a7ec-18050839aa6e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-11	-314	-0.47	34.04																								
HumanObservation	38418	Pycnogonida	SOMBASE Pycnogonids							-66.5516967773	93.0		Ammotheidae		Ammothea				BAS	Animalia			20	10.0					Pantopoda	Arthropoda				Ammothea carolinensis		urn:lsid:marinespecies.org:taxname:172906			0a112c2f-271f-42df-abff-978b58b57d2f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	293	286	-1.56	33.71																								
HumanObservation	IPY TAN0802/26 Ammothea carolinensis	Pycnogonida	International Polar Year-CAML New Zealand		10				11	-74.58166667	170.2498333	2008-02-11T17:31	Ammotheidae	LINESTRING (170.2498333333 -74.5816666667, 170.293 -74.5805)	Ammothea	WGS84			National Institute of Water and Atomspheric Reseach (NZ)	Animalia			285	285.0	2012-08-21	2	259	present	Pantopoda	Arthropoda			GearType=Trawl, fish, bottom	Ammothea carolinensis	Leach, 1814	urn:lsid:marinespecies.org:taxname:172906	carolinensis	2008	0b06242e-187f-4b48-bc46-033a54830e0c	49d1b62c-124a-4854-b878-b83de130eb23	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	285.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	291	106685	-1.55	34.21	Site C1, shelf, western Ross Sea	TAN0802/26	GearType=Trawl, fish, bottom	042	Southern Ocean	1202688000000.0	1202688000000.0	1202688000000.0	2008.0															
HumanObservation	21904	Pycnogonida	SOMBASE Pycnogonids							-71.3833007812	171.600006104		Ammotheidae		Ammothea				BAS	Animalia			515	515.0					Pantopoda	Arthropoda				Ammothea carolinensis		urn:lsid:marinespecies.org:taxname:172906			0b193364-fa64-4e80-86fc-6279e9919899	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	515.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	536	40224	-1.63	34.12																								
HumanObservation	TAN0402/11 Ammothea carolinensis	Pycnogonida	MBIS BioRoss		30			2005-06-20	5	-71.712	171.810667	2004-02-05T04:32/2004-02-05T04:39+12	Ammotheidae	LINESTRING (171.810667 -71.712, 171.8185 -71.718333)	Ammothea	WGS84		Johanna Nielsen	NIWA	Animalia	en		532	530.0	2013-11-03	2	19	present	Pantopoda	Arthropoda			Bottom trawl	Ammothea carolinensis	Leach, 1814	urn:lsid:marinespecies.org:taxname:172906	carolinensis	2004	0b257a80-a043-42f8-b272-6caa5c27e856	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	531.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	532	27885	-1.63	34.09	Ross 3	TAN0402/11	GearType= Bottom trawl	36	Southern Ocean	1075939200000.0	1075939200000.0	1075939200000.0	2004.0	Ammothea carolinensis (MBIS BioRoss 19)	36	1	Ammothea carolinensis											
PreservedSpecimen	JR17003a_329.14	Pycnogonida			286				6	-63.8083	-58.0679	2018-03-06	Ammotheidae	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	Ammothea	EPSG:4326		Jamie Maxwell	BAS	Animalia	en		870	844.0		3	JR17003a_329.14	Present	Pantopoda	Arthropoda	Whole animal in 96% ethanol		Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	Ammothea carolinensis	Leach, 1814	urn:lsid:marinespecies.org:taxname:172906	carolinensis	2018	0b972ef3-0a0e-4f57-847a-b9a06edfd350	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	844	3550	-1.41	33.39		JR17003a_46				1520294400000.0	1520294400000.0	1520294400000.0	2018.0					AQ	JR17003a	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	species	PhysicalObject	6/3/2018	Biota	1.0
PreservedSpecimen	50225	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	1/07/2009	9	-73.1245	174.3205	9/02/2008	Ammotheidae	LINESTRING (174.3205 -73.1245, 174.303 -73.133)	Ammothea	WGS84	GPS	Arango, Claudia	NIWA Invertebrate Collection	Animalia	en	TAN0802/17	321		8/04/2022	2	5c795736-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Subsample(s), DNA subsample = 1; Specimen(s), Ethanol - no formalin = 1	IPY CAML	Trawl, Fish, Bottom	Ammothea carolinensis	Leach, 1814	urn:lsid:marinespecies.org:taxname:172906	carolinensis	2008	0cc018ee-83bd-4fba-8c84-54b34de045e8	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	321.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea carolinensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172906	172906	Ammothea carolinensis	[]	321	143612	-1.54	34.14	site C1, shelf,  eastern Ross Sea																							
