basisOfRecord	catalogNumber	class	collectionCode	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	genus	habitat	identificationRemarks	identificationVerificationStatus	identifiedBy	individualCount	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	references	scientificName	scientificNameID	verbatimIdentification	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	datasetName	day	eventTime	footprintSRS	language	modified	month	recordedBy	samplingProtocol	specificEpithet	year	continent	footprintWKT	scientificNameAuthorship
PreservedSpecimen	24253	Pycnogonida	SeamountsOnline	35.05	-12.92	1987-10-12	SCSD_SeamountsOnline_Ampere_Seamount_537846	Phoxichilidiidae	Station DE98	Anoplodactylus	benthic/near bottom	WoRMS Match Type: phonetic	Not validated	Jan H. Stock	3	SCSD	Animalia	Ampere Seamount	325.0	300.0	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24253	NA | NA	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715	Anoplodactylus arnaudi Stock, 1978	21fed908-d5aa-448a-a947-0f565fbc17db	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	312.5	560995200000	560995200000	560995200000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudi	[]	471.0	376396	19.58	36.54																
HumanObservation	38679	Pycnogonida	bio_dba	47.0	-7.0	1973-10-01T00:00:00+00:00	Boillot sledge large_1973101_DR-Boilg-398_NA	Phoxichilidiidae	DR-Boilg-398	Anoplodactylus				STOCK Jan			Animalia	Golfe de Gascogne	330.0	330.0	Ifremer_bio_dba_38679		present	Pantopoda	Arthropoda		Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715		36ce5c8c-e36f-4297-bd9f-4272928fa377	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	330.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudae	[]	4370.0	197295	14.76	35.63	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	00:00:00+00:00	EPSG:4326	en	2022-01-18 09:29:51	10	CABIOCH Louis	Boillot sledge large	arnaudae	1973			
HumanObservation	31748	Pycnogonida	bio_dba	47.0	-7.0	1973-10-01T00:00:00+00:00	Boillot sledge large_1973101_DR-Boilg-397_NA	Phoxichilidiidae	DR-Boilg-397	Anoplodactylus				STOCK Jan			Animalia	Golfe de Gascogne	511.0	511.0	Ifremer_bio_dba_31748		present	Pantopoda	Arthropoda		Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715		3b57d63e-5d2f-46ac-9415-533480d9186b	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	511.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudae	[]	4370.0	197295	14.76	35.63	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	00:00:00+00:00	EPSG:4326	en	2022-01-18 09:29:51	10	CABIOCH Louis	Boillot sledge large	arnaudae	1973			
PreservedSpecimen	24252	Pycnogonida	SeamountsOnline	36.69	-14.28	1987-10-04	SCSD_SeamountsOnline_Josephine_Seamount_537807	Phoxichilidiidae	Station DW38	Anoplodactylus	benthic/near bottom	WoRMS Match Type: phonetic	Not validated	Jan H. Stock	4	SCSD	Animalia	Josephine Seamount	245.0	235.0	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24252	NA | NA	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715	Anoplodactylus arnaudi Stock, 1978	56594f0a-7c2a-4bac-9d48-b048a2957cd7	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	240.0	560304000000	560304000000	560304000000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudi	[]	238.6	436207	18.93	36.38																
Occurrence	099710043001010	Pycnogonida	IMRMarbunnBenthos	62.510667	5.6015	2012-10-02T15:27:00+00:00/2012-10-02T15:32:00+00:00	Cruise: 58GS-2012110 Sample: 43	Phoxichilidiidae	catchId: 10	Anoplodactylus						IMR	Animalia	MAREANO Reference Station: 997	272.77	271.62	099710043001010		present	Pantopoda	Arthropoda		Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715		56f839ef-ae41-490c-9efb-9e1bbed387e9	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	272.195	1349136000000	1349136000000	1349136000000	2012	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudae	[]	276.6	8419	9.38	33.34		https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	2	15:27:00+00:00/15:32:00+00:00			2024-05-23 10:35:05	10		Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0		2012	Norwegian Sea	LINESTRING(5.6015 62.510667,5.597667 62.509833)	Stock, 1978
PreservedSpecimen	24254	Pycnogonida	SeamountsOnline	42.87	-11.84	1987-10-20	SCSD_SeamountsOnline_Galicia_Bank_537856	Phoxichilidiidae	Station DW116	Anoplodactylus	benthic/near bottom	WoRMS Match Type: phonetic	Not validated	Jan H. Stock	3	SCSD	Animalia	Galicia Bank	1000.0	985.0	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24254	NA | NA	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715	Anoplodactylus arnaudi Stock, 1978	6703e253-5def-4e77-830e-7ac228c0397e	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	992.5	561686400000	561686400000	561686400000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudi	[]	1089.2	207091	16.03	35.83																
HumanObservation	25685	Pycnogonida	bio_dba	36.0	-8.0	1984-06-01T00:00:00+00:00	Beam trawl_198461_CP / CPH-160_NA	Phoxichilidiidae	CP / CPH-160	Anoplodactylus				STOCK Jan			Animalia	Detroit de Gibraltar	1362.0	1362.0	Ifremer_bio_dba_25685		present	Pantopoda	Arthropoda		Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715		795dcd45-546a-4561-99dc-0e984642834e	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1362.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudae	[]	1521.4	107160	19.63	36.33		https://marineinfo.org/id/dataset/490	Bigood	1	00:00:00+00:00	EPSG:4326	en	2022-01-18 09:29:51	6	BOUCHET Philippe	Beam trawl	arnaudae	1984			
HumanObservation	25755	Pycnogonida	bio_dba	36.0	-7.0	1984-06-01T00:00:00+00:00	Beam trawl_198461_CP / CPH-109_NA	Phoxichilidiidae	CP / CPH-109	Anoplodactylus				STOCK Jan			Animalia	Detroit de Gibraltar	1182.0	1182.0	Ifremer_bio_dba_25755		present	Pantopoda	Arthropoda		Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715		9365d57d-1c21-41c4-8984-b68512781ccc	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1182.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudae	['DEPTH_EXCEEDS_BATH']	812.4	81646	19.55	36.16		https://marineinfo.org/id/dataset/490	Bigood	1	00:00:00+00:00	EPSG:4326	en	2022-01-18 09:29:51	6	BOUCHET Philippe	Beam trawl	arnaudae	1984			
HumanObservation	16547	Pycnogonida	bio_dba	57.0	-11.0	1976-07-01T00:00:00+00:00	Sanders epibenthic sledge_197671_DS/E-4_NA	Phoxichilidiidae	DS/E-4	Anoplodactylus				STOCK Jan			Animalia	Golfe de Gascogne	619.0	619.0	Ifremer_bio_dba_16547		present	Pantopoda	Arthropoda		Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715		9f85c585-2dad-4795-ba5c-aa269b08399d	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	619.0	205027200000	205027200000	205027200000	1976	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudae	[]	2376.8	168158	11.76	35.41	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	00:00:00+00:00	EPSG:4326	en	2022-01-18 09:29:51	7	LAUBIER Lucien	Sanders epibenthic sledge	arnaudae	1976			
PreservedSpecimen	24251	Pycnogonida	SeamountsOnline	36.47	-11.61	1987-09-22	SCSD_SeamountsOnline_Gorringe_Ridge_537788	Phoxichilidiidae	Station DW08	Anoplodactylus	benthic/near bottom	WoRMS Match Type: phonetic	Not validated	Jan H. Stock	1	SCSD	Animalia	Gorringe Ridge	485.0	470.0	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134715_24251	NA | NA	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Anoplodactylus arnaudae	urn:lsid:marinespecies.org:taxname:134715	Anoplodactylus arnaudi Stock, 1978	9fa2146c-06de-4bfa-977e-2f5b3b07b74c	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	477.5	559267200000	559267200000	559267200000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus arnaudae	1	2	1065	1274	1302	1358	379601	379610	14469	134592	134715	134715	Anoplodactylus arnaudi	[]	500.6	240726	18.97	36.33																
