associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	datasetID	modified	occurrenceID	occurrenceStatus	superdomain	superdomainid	stateProvince	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154789.118184	Invertebrate Zoology: Crustacea	2	45.8829994202	-125.116996765	observedindividualcount=3;	1963-09-02T12:00:00Z	Child, C. Allan	2.0	USNM	Off Oregon, SW Of Columbia River Mouth	1646	1554	9	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506	male	North Pacific Ocean	1963	0e420d5c-8ffe-4a67-99b5-d850435e86c9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1600.0	-199843200000.0	-199843200000.0	-199843200000.0	1963.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	[]	1576	85133	12.51	30.48									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80849.273575	Invertebrate Zoology: Crustacea	1	34.1500015259	137.917007446	observedindividualcount=1;	1906-09-01T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Honshu Island, Kururi, From Kobe To  Yokohama	927	927	9	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506	male	North Pacific Ocean	1906	11d11692-97e9-4fbd-8f76-4295358ac447	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	927.0	-1998691200000.0	-1998691200000.0	-1998691200000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	['DEPTH_EXCEEDS_BATH']	790	56020	20.97	34.24	Japan								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80847.273573	Invertebrate Zoology: Crustacea	26	35.0783309937	139.638885498	observedindividualcount=2;	1906-10-26T12:00:00Z	Hedgpeth, J. W.	2.0	USNM	Honshu Island, Joga Shima, Light	161	161	10	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506	female	North Pacific Ocean	1906	1c772fcf-9ec2-41f5-9d77-073c49ca8e31	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	161.0	-1993939200000.0	-1993939200000.0	-1993939200000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	[]	127	5618	20.06	33.58	Japan								
	Occurrence	Bamber R.N (2004). Zootaxa 458: 1-12.	50687	NewCaledonia		22.2000007629395	121.080001831055					IRD-MNHN	Taiwan 2003, CD227	1260	1232			Ascorhynchus japonicum		urn:lsid:marinespecies.org:taxname:239506				283ccf78-7d75-44b9-b679-e68067be2e90	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1246.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicus	[]	1232	18950	27.16	33.47	Taiwan	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:50687:0xFF85170001000500	present	Biota	1.0		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80845.273571	Invertebrate Zoology: Crustacea	26	46.733001709	144.033004761	observedindividualcount=2;	1906-09-26T12:00:00Z	Child, C. Allan	2.0	USNM	Kuril Islands, Sakhalin Island, Off Saghalin Island	933	933	9	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506		North Pacific Ocean	1906	35f45a3c-153e-4cc9-a14e-a579c730d083	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	933.0	-1996531200000.0	-1996531200000.0	-1996531200000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	[]	1465	39834	6.19	31.85	Russia								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80850.273576	Invertebrate Zoology: Crustacea	30	44.0830001831	145.5	observedindividualcount=4;	1906-09-30T12:00:00Z	Hedgpeth, J. W.	4.0	USNM	Hokkaido Island, Yezo Strait	549	549	9	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506	male; female	North Pacific Ocean	1906	40e3f4d2-bef2-4952-acb1-ca5c72b9cd0a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	549.0	-1996185600000.0	-1996185600000.0	-1996185600000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	[]	567	14630	7.91	32.1	Japan							Hokkaido	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80852.273578	Invertebrate Zoology: Crustacea	20	34.0830001831	137.983001709	observedindividualcount=4;	1906-10-20T12:00:00Z	Hedgpeth, J. W.	4.0	USNM	Honshu Island, Suruga Bay, Omai Saki Light	1211	1211	10	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506	male; female	North Pacific Ocean	1906	52d4274f-bc74-4186-a901-140809710bb3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1211.0	-1994457600000.0	-1994457600000.0	-1994457600000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	[]	1366	60635	21.05	34.26	Japan								; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80848.273574	Invertebrate Zoology: Crustacea	19	34.25	138.0	observedindividualcount=3;	1906-10-19T12:00:00Z	Hedgpeth, J. W.	2.0	USNM	Honshu Island, Suruga Bay, Omai Saki Light, Off Of Omai Saki Light	924	869	10	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506	male; female	North Pacific Ocean	1906	57b19239-768d-4841-9e13-5e98c572b8d6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	896.5	-1994544000000.0	-1994544000000.0	-1994544000000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	[]	949	42746	20.89	34.21	Japan								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154797.118192	Invertebrate Zoology: Crustacea	29	45.9169998169	-125.150001526	observedindividualcount=18;	1964-05-29T12:00:00Z	Child, C. Allan	18.0	USNM	Off Oregon, SW Of Columbia River Mouth	1554	1554	5	Alcohol (Ethanol)	Ascorhynchus japonicum	Ives	urn:lsid:marinespecies.org:taxname:239506	male; female	North Pacific Ocean	1964	67188752-39f8-445a-b138-84910eef6975	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1554.0	-176515200000.0	-176515200000.0	-176515200000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicum	[]	1495	87475	12.48	30.49									
	Occurrence	Bamber R.N (2004). Zootaxa 458: 1-12.	50688	NewCaledonia		22.3099994659424	121.069999694824					IRD-MNHN	Taiwan 2003, CD226	1212	1171			Ascorhynchus japonicum		urn:lsid:marinespecies.org:taxname:239506				80d5d532-8687-4750-a1e2-dac9b4fc3e2f	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1191.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus japonicum	2	1065	1274	1302	1358	379601	379608	379788	134571	239506	239506	Ascorhynchus japonicus	[]	1176	17318	27.08	33.44	Taiwan	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:50688:0x5025900001000500	present	Biota	1.0		
