basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	vernacularName	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	eventID	maximumDepthInMeters	minimumDepthInMeters	organismQuantity	organismQuantityType	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid	individualCount
PreservedSpecimen	P.42961	Pycnogonida	co113	0.0896	10000	Australia	-33.8	151.283	Ascorhynchidae	POINT (151.28300 -33.80000)	Ascorhynchus	AM	Animalia	off Manly	2017-03-02T15:58:11	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42961	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034	Female	longicollis	species	Pycnogonid	030b0879-c318-4114-8265-8573891b5ee1	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	['NO_DEPTH', 'ON_LAND']	1	-628	20.37	35.53														
HumanObservation		Pycnogonida	PPBES-Benthic		200	Australia	-38.23343	144.77169	Ascorhynchidae	POINT (144.77169 -38.23343)	Ascorhynchus	CSIRO	Animalia	southeastern section	2020-11-10T14:33:20	PPBES-968-PPB-416-2	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034			species		04471031-e82a-4e98-a55b-d1afe0d1fbf7	acd6f1b1-2e9b-48a6-b022-cee41b28f3b1	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	[]	3	3746	15.76	35.69	1971-10-13	PPBES-968	8.0	8.0	1	individuals	8.0	56160000000.0	56160000000.0	56160000000.0	1971.0	Biota	1.0	
PreservedSpecimen	J12930	Pycnogonida	co119		1000	Australia	-38.2717	144.688	Ascorhynchidae	POINT (144.68800 -38.27170)	Ascorhynchus	NMV	Animalia	Port Phillip Bay, southwestern region	2017-02-10T11:39:35	J12930	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034	Unknown	longicollis	species	Pycnogonid	0f373d9d-40c4-4712-9d86-a2cf6e8d9ddd	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	['NO_DEPTH']	1	1033	15.77	35.69	1971-02-17				1	individuals		35596800000.0	35596800000.0	35596800000.0	1971.0			1
HumanObservation		Pycnogonida	PPBES-Benthic		200	Australia	-38.19513	144.74498	Ascorhynchidae	POINT (144.74498 -38.19513)	Ascorhynchus	CSIRO	Animalia	southwestern region	2020-11-10T14:33:19	PPBES-960-PPB-416-2	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034			species		10f5c5eb-a841-487a-8bfe-1b65b0aeceae	acd6f1b1-2e9b-48a6-b022-cee41b28f3b1	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	[]	6	2902	15.76	35.69	1971-02-16	PPBES-960	10.0	10.0	1	individuals	10.0	35510400000.0	35510400000.0	35510400000.0	1971.0	Biota	1.0	
PreservedSpecimen	J12934	Pycnogonida	co119		1000	Australia	-38.195	144.745	Ascorhynchidae	POINT (144.74500 -38.19500)	Ascorhynchus	NMV	Animalia	Port Phillip Bay, southwestern region	2017-02-10T11:39:36	J12934	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034	Unknown	longicollis	species	Pycnogonid	1ae1b625-ae34-467f-847f-c3870b419d42	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	['NO_DEPTH']	6	2898	15.76	35.69	1971-02-16				1	individuals		35510400000.0	35510400000.0	35510400000.0	1971.0			1
HumanObservation		Pycnogonida	PPBES-Benthic		200	Australia	-38.23343	144.71498	Ascorhynchidae	POINT (144.71498 -38.23343)	Ascorhynchus	CSIRO	Animalia	southeastern section	2020-11-10T14:33:20	PPBES-967-PPB-416-5	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034			species		2dc8ec90-2b70-46b0-ae44-55d53dc6f53e	acd6f1b1-2e9b-48a6-b022-cee41b28f3b1	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	[]	1	1582	15.76	35.69	1971-02-16	PPBES-967	5.0	5.0	2	individuals	5.0	35510400000.0	35510400000.0	35510400000.0	1971.0	Biota	1.0	
PreservedSpecimen	J12931	Pycnogonida	co119		1000	Australia	-38.2717	144.802	Ascorhynchidae	POINT (144.80200 -38.27170)	Ascorhynchus	NMV	Animalia	Port Phillip Bay, southwestern region	2017-02-10T11:39:35	J12931	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034	Unknown	longicollis	species	Pycnogonid	38edaf01-c8e8-4849-9b1b-aba96b420107	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	['NO_DEPTH']	5	2326	15.77	35.69	1973-01-23				1	individuals		96595200000.0	96595200000.0	96595200000.0	1973.0			1
PreservedSpecimen	J12933	Pycnogonida	co119		1000	Australia	-38.2717	144.745	Ascorhynchidae	POINT (144.74500 -38.27170)	Ascorhynchus	NMV	Animalia	Port Phillip Bay, southwestern region	2017-02-10T11:39:36	J12933	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034	Unknown	longicollis	species	Pycnogonid	3dfcc37b-ae87-4e48-96fe-5f784dca314d	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	['NO_DEPTH']	2	1459	15.77	35.69	1971-10-13				1	individuals		56160000000.0	56160000000.0	56160000000.0	1971.0			1
PreservedSpecimen	J51554	Pycnogonida	co119		1000	Australia	-38.328	145.18	Ascorhynchidae	POINT (145.18000 -38.32800)	Ascorhynchus	NMV	Animalia	Central Bass Strait	2017-02-09T11:00:51	J51554	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034	Unknown	longicollis	species	Pycnogonid	4636da9e-b939-4c06-8ac6-780c2bb2d33b	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	['NO_DEPTH', 'ON_LAND']	-23	-1420	15.71	35.71	1999-05-11				1	individuals		926380800000.0	926380800000.0	926380800000.0	1999.0			1
PreservedSpecimen	J12935	Pycnogonida	co119		1000	Australia	-38.2717	144.802	Ascorhynchidae	POINT (144.80200 -38.27170)	Ascorhynchus	NMV	Animalia	Port Phillip Bay, southwestern region	2017-02-10T11:39:36	J12935	present	Arthropoda	Ascorhynchus longicollis	urn:lsid:marinespecies.org:taxname:240034	Unknown	longicollis	species	Pycnogonid	46cc369e-0bbe-4eb1-92a3-fe6e1eb48c40	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus longicollis	2	1065	1274	1302	1358	379601	379608	379788	134571	240034	240034	Ascorhynchus longicollis	['NO_DEPTH']	5	2326	15.77	35.69	1973-01-23				2	individuals		96595200000.0	96595200000.0	96595200000.0	1973.0			2
