associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	county	datasetName	endDayOfYear	license	modified	occurrenceID	occurrenceStatus	specificEpithet	startDayOfYear	taxonRank	vernacularName	superdomain	superdomainid	datasetID	references	typeStatus	lifeStage	language
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228566.180727	Invertebrate Zoology: Crustacea	Philippines	8	9.93889045715	123.366668701	observedindividualcount=2;	1979-05-08T12:00:00Z	Child, C. Allan	2.0	USNM	Cebu Island, Tongo Point, Moalboal Barrio Beach	2.0	1.0	5	Alcohol (Ethanol)	C. Child	Ammothella indica	Stock	urn:lsid:marinespecies.org:taxname:239955	male; female	Cebu	North Pacific Ocean	1979	2395cbd6-fc66-49d7-8afb-5984411e1f46	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	294969600000	294969600000	294969600000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella indica	2	1065	1274	1302	1358	379601	379608	1562	134570	239955	239955	Ammothella indica	[]	-3	491	28.59	32.77																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228569.180730	Invertebrate Zoology: Crustacea	Philippines	23	9.08333015442	123.275001526	observedindividualcount=3;	1978-06-23T12:00:00Z	Child, C. Allan	3.0	USNM	Negros Island, Apo Island, E Side	1.0	1.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Ammothella indica	Stock	urn:lsid:marinespecies.org:taxname:239955	male; female	Negros Oriental	North Pacific Ocean	1978	5e38307e-797d-4b0d-916d-8b3c6c930c6f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.0	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella indica	2	1065	1274	1302	1358	379601	379608	1562	134570	239955	239955	Ammothella indica	[]	125	182	28.4	32.66																			
	HumanObservation	Association for the Research of Littoral Organisms in Osaka Bay (1993) Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys carried out in the years 1986-1990. Shizenshi-Kenkyu, Occasional Papers from the Osaka Museum of Natural History, 2(9), 129-141. https://omnh.repo.nii.ac.jp/records/423	110242	rocky_macrobiota	Japan	22	34.3315	135.1535		1986-06-22			OKKJP	Fuke, Nagasaki			6			Ammothella indica	Stock, 1954	urn:lsid:marinespecies.org:taxname:239955		Oosaka		1986	6be0e39d-8b37-4951-8e22-d4721b03eac6	b1a2d0ab-9b94-4a59-9371-432738a3cc36	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']		519782400000	519782400000	519782400000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella indica	2	1065	1274	1302	1358	379601	379608	1562	134570	239955	239955	Ammothella indica	['NO_DEPTH']	-14	13	19.81	33.09	100	Sennan-gun, Misaki-cho	Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys	173	https://creativecommons.org/licenses/by/4.0/legalcode	2024-07-18T15:52:43.516129836+09:00	OKKJP:rocky_macrobiota:110242	Present	indica	173	species	クダトゲイソウミグモ	Biota	1.0					
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothella indica</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239955	sm_id_687	WoRMS type localities		28	-5.95	105.95		1922-07-28			WoRMS Editorial Board	Sunda Strait		30.0	7			Ammothella indica	Stock, 1954	urn:lsid:marinespecies.org:taxname:239955				1922	7c5e74d8-fda9-45b6-80d4-d3e29e21b3c1	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	30.0	-1496793600000	-1496793600000	-1496793600000	1922	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella indica	2	1065	1274	1302	1358	379601	379608	1562	134570	239955	239955	Ammothella indica	[]	31	4341	29.05	31.3						2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_687	present	indica				Biota	1.0	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=687	holotype		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228568.180729	Invertebrate Zoology: Crustacea	Philippines	28	9.07361030579	123.150001526	observedindividualcount=4;	1979-04-28T12:00:00Z	Child, C. Allan	4.0	USNM	Negros Island, Port Siyt, Just S Of Zamboanguita	1.5		4	Alcohol (Ethanol)	C. Child	Ammothella indica	Stock	urn:lsid:marinespecies.org:taxname:239955	female;;	Negros Oriental	North Pacific Ocean	1979	8ea79a38-9ac9-447f-a78a-4279a7829045	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	294105600000	294105600000	294105600000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella indica	2	1065	1274	1302	1358	379601	379608	1562	134570	239955	239955	Ammothella indica	[]	-8	23	28.45	32.6																		; juvenile	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228567.180728	Invertebrate Zoology: Crustacea	Philippines	26	9.05167007446	123.98500061	observedindividualcount=1;	1979-04-26T12:00:00Z	Child, C. Allan	1.0	USNM	Negros Island, Maloh			4	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Ammothella indica	Stock	urn:lsid:marinespecies.org:taxname:239955		Negros Oriental	North Pacific Ocean	1979	97abadf9-7ed0-49ca-96eb-68587562a2f2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		293932800000	293932800000	293932800000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella indica	2	1065	1274	1302	1358	379601	379608	1562	134570	239955	239955	Ammothella indica	['NO_DEPTH']	1615	32757	28.49	32.76																		juvenile	
	PreservedSpecimen		3332	Ar	Japan	22	34.318901	135.149		1986-06-22			OMNH				6		Michio OTANI	Ammothella indica	Stock, 1954	urn:lsid:marinespecies.org:taxname:239955		Osaka		1986	c4c80ccc-cdb3-42fa-86c8-4456eb73f3ba	1518e369-0e28-4734-b85e-bc1c1ed4f00d	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']		519782400000	519782400000	519782400000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella indica	2	1065	1274	1302	1358	379601	379608	1562	134570	239955	239955	Ammothella indica	['NO_DEPTH', 'ON_LAND']	-2	-440	19.81	33.09		Sennan-gun, Misakicho	Marine Invertebrata specimen database of Osaka Museum of Natutal History		ccbync	2008-01-18	urn:catalog:OMNH:Ar:3332	Present	indica		species		Biota	1.0					en
