basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identificationRemarks	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceRemarks	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	datasetName	individualCount	locality	modified	startDayOfYear	waterBody
HumanObservation	34779	SOMBASE Pycnogonids	-66.75	62.0499992371	BAS	219.0	219.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	00c223db-9278-4d46-9367-372fa366e44d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	219.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	259	46308	-1.62	34.08																																								
PreservedSpecimen	JR15005_0265_01c		-61.5359	-47.1336	BAS	791.0	772.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	02754576-5efb-4e44-b595-e8c006cf1b7f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	781.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	730	108189	-1.13	33.73	266	AQ	3	2016-03-03	JR15005	JR15005_15	LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	EPSG:4326	papillae on ocular tubercle, 9-12 femoral glands	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_0265_01c	Eggs present	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Bouvier, 1911	Male	proceroides	species	PhysicalObject	3/3/2016	2016	1456963200000.0	1456963200000.0	1456963200000.0	2016.0	Biota	1.0						
HumanObservation	Stn 181 Nymphon proceroides	Discovery Reports	-64.3333	-63.0167	NIWA	335.0	160.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	04ecc97f-0f49-4681-af0b-ca864c33dc97	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	247.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	['DEPTH_EXCEEDS_BATH']	187	629	-0.42	33.56	1000		12	1927-03-12	10	Stn 181	POINT (-63.0167 -64.3333)	WGS84					en	3	5316	Large dredge, heavy pattern, 1.2m in length	present				Large dredge, heavy pattern, 1.2m in length	Bouvier, 1913		proceroides				1927	-1350950400000.0	-1350950400000.0	-1350950400000.0	1927.0			Discovery Expedition Biological Reports	12	Scollaert Channel, Palmer Archipelago	2019-03-15	71	Southern Ocean
HumanObservation	39839	SOMBASE Pycnogonids	-62.0234985352	-60.4805984497	BAS	1019.0	1019.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	07411ccd-6473-4ced-9760-4b93f270e795	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1019.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	1066	47075	-0.34	33.71																																								
PreservedSpecimen	PS118_0119_02		-63.8366	-55.5772	BAS	412.0	405.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	0a94734d-8d7e-4c4d-a939-90c5fc1e838c	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	408.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	367	29421	-1.54	33.29	443	AQ	14	2019-03-14	PS118	PS118_12_10	LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	EPSG:4326		Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	PS118_0119_02		Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	Bouvier, 1911		proceroides	species	PhysicalObject	14/03/2019	2019	1552521600000.0	1552521600000.0	1552521600000.0	2019.0	Biota	1.0						
HumanObservation	39840	SOMBASE Pycnogonids	-62.7633018494	-60.5950012207	BAS	335.0	335.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	0f19d8fd-1ad9-4377-9769-0bdedf14594f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	335.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	337	9580	-0.41	33.93																																								
PreservedSpecimen	JR230_09_0564_2		-66.186	-70.525	BAS	502.05	502.05	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	15023b92-361c-4820-af3b-8172e437c22b	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	502.05	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	485	117913	-0.74	33.46	1000	AQ	6	2009-12-06	JR230	JR230_BASWAP4-AGT-11a		EPSG:4326		Claudia Arango	https://orcid.org/0000-0003-1098-830X	https://ror.org/01rhff309	en	12	JR230_09_0564_2		Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	Bouvier, 1911		proceroides	species	PhysicalObject	6/12/2009	2009	1260057600000.0	1260057600000.0	1260057600000.0	2009.0	Biota	1.0						
HumanObservation	Stn 182 Nymphon proceroides	Discovery Reports	-64.35	-62.9667	NIWA	500.0	278.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	1819d1f4-a079-459c-b839-80aa05e9a761	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	389.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	['DEPTH_EXCEEDS_BATH']	339	942	-0.43	33.6	1000		14	1927-03-14	282	Stn 182	POINT (-62.9667 -64.35)	WGS84					en	3	5317	Large otter trawl, large dredge, and net with 4mm mesh attached to back of trawl	present				Large otter trawl, large dredge, and net with 4mm mesh attached to back of trawl	Bouvier, 1913		proceroides				1927	-1350777600000.0	-1350777600000.0	-1350777600000.0	1927.0			Discovery Expedition Biological Reports	8	Scollaert Channel, Palmer Archipelago	2019-03-15	73	Southern Ocean
HumanObservation	38242	SOMBASE Pycnogonids	-67.7699966431	33.3065986633	BAS	800.0	800.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	18f9e91c-fdd4-4da6-829b-e1560ce3cf4e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	800.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	758	99959	-1.63	33.85																																								
HumanObservation	23216	SOMBASE Pycnogonids	-62.4500007629	-57.9665985107	BAS	1116.0	809.0	Nymphon proceroides	urn:lsid:marinespecies.org:taxname:173500	1b2c3d93-f9f1-4932-981b-92578c0ee86a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	962.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon proceroides	2	1065	1274	1302	1358	379601	379609	1566	134591	173500	173500	Nymphon proceroides	[]	1860	32192	-0.68	33.99																																								
