basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	vernacularName	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	countryCode	datasetID	datasetName	eventDate	eventID	eventRemarks	identifiedBy	institutionID	locationID	locationRemarks	minimumDepthInMeters	organismID	parentNameUsageID	recordNumber	recordedBy	samplingProtocol	scientificNameAuthorship	stateProvince	taxonID	taxonomicStatus	waterBody	depth	date_start	date_mid	date_end	date_year	maximumDepthInMeters	organismQuantity	organismQuantityType	superdomain	superdomainid	individualCount
PreservedSpecimen	P.42936	Pycnogonida	co113	0.0896	10000	Australia	-33.2	137.916	Nymphonidae	POINT (137.91600 -33.20000)	Nymphon	AM	Animalia	Spencer Gulf, Port Pirie, 9 km north-west of 5th Creek	2017-03-02T15:58:07	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42936	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013	Male	molleri	species	Pycnogonid	04800d7c-41f6-4457-a7ea-4ee051153f17	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['NO_DEPTH', 'ON_LAND']	-4.0	-1001	18.23	40.05																																			
PreservedSpecimen	S12191	Pycnogonida	OGL			Australia	-43.0610008239746	147.947998046875	Nymphonidae		Nymphon	OGL	Animalia			OGL_MSC_NortheasternUniversity_S12191	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013		molleri	Species		0ca57e24-8197-4d6b-9a79-39fc954f0374	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['DEPTH_EXCEEDS_BATH']	-183.0	36	14.26	35.27	BOLD ID: TAS38	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Oceania	AU	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2007-01-26	CE01499	Contact Person: Arango, Claudia; Collection Event Notes: Collector name listed as C. ARANGO	Claudia Arango	8c116cac-9394-4c4e-be14-06184bdc62bd	CL01379	Tasman Peninsula	20.0	S12191	134591	TAS38	Claudia Arango	ND	Clark, 1963	Tasmania	T02486	accepted	Waterfall Bay	20.0	1169769600000.0	1169769600000.0	1169769600000.0	2007.0						
PreservedSpecimen	P.44729	Pycnogonida	co113		10000		-19.08318	118.84235	Nymphonidae	POINT (118.84235 -19.08318)	Nymphon	AM	Animalia	North West Shelf	2017-03-02T15:49:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44729	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013	Female	molleri	species	Pycnogonid	1f0a228b-bc83-4663-b8d5-26aa60e97812	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['NO_DEPTH']	86.0	61786	27.27	34.92							1983-10-30																			436320000000.0	436320000000.0	436320000000.0	1983.0						
PreservedSpecimen	P.78473	Pycnogonida	co113	0.009	1000	Australia	-33.55	151.233	Nymphonidae	POINT (151.23300 -33.55000)	Nymphon	AM	Animalia	Hawkesbury River, 200 m south-east of Croppy Point	2017-03-02T13:00:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78473	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013		molleri	species	Pycnogonid	72caf1e3-d0bf-4673-837a-45965334cfaf	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['NO_DEPTH', 'ON_LAND']	-21.0	-9461	20.29	35.53							1984-02-09																			445132800000.0	445132800000.0	445132800000.0	1984.0						
PreservedSpecimen	G.5173	Pycnogonida	co113	0.0896	10000	Australia	-33.85	151.266	Nymphonidae	POINT (151.26600 -33.85000)	Nymphon	AM	Animalia	Port Jackson	2017-03-02T13:14:45	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.5173	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013	Female	molleri	species	Pycnogonid	7cd42d94-9a9d-496c-ae5d-809533b2431c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['NO_DEPTH', 'ON_LAND']	-2.0	-1884	20.41	35.54																																			
PreservedSpecimen	P.43127	Pycnogonida	co113		10000	Australia	-27.39233	153.54933	Nymphonidae	POINT (153.54933 -27.39233)	Nymphon	AM	Animalia	west side of Flat Rock, North Stradbroke Island	2017-03-02T16:19:14	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43127	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013		molleri	species	Pycnogonid	9c7df886-162d-4a07-a9a5-8e452d65433e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['NO_DEPTH']	32.79	261	23.45	35.4							1993-06-01																			738892800000.0	738892800000.0	738892800000.0	1993.0						
PreservedSpecimen	P.71954	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	Nymphonidae	POINT (145.46600 -14.66600)	Nymphon	AM	Animalia	reef off North Point, Lizard Island	2017-03-02T12:36:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71954	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013		molleri	species	Pycnogonid	a84f538f-82a0-46ce-9a39-a32fd46fcee8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91							1982-01-13																			379728000000.0	379728000000.0	379728000000.0	1982.0						
PreservedSpecimen	P.77974	Pycnogonida	co113	0.009	1000	Australia	-30.316	153.155	Nymphonidae	POINT (153.15500 -30.31600)	Nymphon	AM	Animalia	Solitary Islands, 100 m north of Korffs (Pig) Islet	2017-03-02T12:59:32	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77974	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013		molleri	species	Pycnogonid	b0d30dfb-51d5-48f2-b592-9fb9cefcf47f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	['NO_DEPTH']	2.0	59	22.48	35.46							1992-06-26																			709516800000.0	709516800000.0	709516800000.0	1992.0						
HumanObservation	F74F8DBC-36BA-41E9-8F8E-0371A44A50EA	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.69264	145.46831	Nymphonidae	POINT (145.46831 -14.69264)	Nymphon	AIMS	Animalia		2018-07-13T09:32:37	F74F8DBC-36BA-41E9-8F8E-0371A44A50EA	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013			species		b7256ddb-000b-409d-b6ad-0a8c14e10a04	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	[]	6.84	190	26.45	34.93							2009-02-27							10.0						Clark, 1963					10.0	1235692800000.0	1235692800000.0	1235692800000.0	2009.0	10.0	1	individuals	Biota	1.0	
PreservedSpecimen	J53209	Pycnogonida	co119		1000	Australia	-38.28	144.63	Nymphonidae	POINT (144.63000 -38.28000)	Nymphon	NMV	Animalia	Port Phillip Heads	2017-02-09T12:09:03	J53209	present	Arthropoda	Nymphon molleri	urn:lsid:marinespecies.org:taxname:240013	Male	molleri	species	Pycnogonid	c1ca5c2d-e016-4eb1-b6d6-10d7b55821a6	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon molleri	2	1065	1274	1302	1358	379601	379609	1566	134591	240013	240013	Nymphon molleri	[]	1.0	725	15.79	35.68														24.0											24.0					24.0	1	individuals			1
