basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	month	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	taxonRank	verbatimLocality	waterBody
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21577	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-20.9799995422363	166.979995727539	IRD-MNHN	Biogeocal, DW313	1640.0	1600.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21577:0xD530900001000300	present	Ascorhynchus pilipes	urn:lsid:marinespecies.org:taxname:239804	0a22ea35-9b4b-4640-9a77-1a0a72408b78	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1620.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pilipes	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239804	239804	Ascorhynchus pilipes	[]	1573	6522	25.79	35.06																							
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus pilipes</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239804	sm_id_1716	WoRMS type localities		https://marineinfo.org/id/dataset/5184	-20.98	166.98	WoRMS Editorial Board	Pacific Ocean	1600.0	1640.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1716	present	Ascorhynchus pilipes	urn:lsid:marinespecies.org:taxname:239804	3993ffb2-f9ad-4803-ae54-9aa1c4159eee	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1620.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pilipes	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239804	239804	Ascorhynchus pilipes	['MIN_DEPTH_EXCEEDS_MAX']	1573	6521	25.79	35.06	2	1987-05-02	5	http://www.marinespecies.org/aphia.php?p=specdetails&id=1716	Stock, 1991	pilipes	holotype	1987	546912000000.0	546912000000.0	546912000000.0	1987.0											
PreservedSpecimen		2007-4633	IU			-20.982834	166.988327	MNHN	Bassin des Loyauté			2015-10-17T16:15Z	440016259		Ascorhynchus pilipes	urn:lsid:marinespecies.org:taxname:239804	8e49d1c0-afb1-417d-bb8d-5754f3744c45	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus pilipes		2	1065	1274	1302	1358	379601	379608	379788	134571	239804	239804	Ascorhynchus pilipes Stock, J.H., 1991	['NO_DEPTH']	1596	6149	25.79	35.06	2	1987-05-02T02:00Z	5	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4633	Stock, 1991	pilipes	HOLOTYPE	1987	546912000000.0	546912000000.0	546912000000.0	1987.0	NC	BIOGEOCAL/DW313	POINT  (166.988327 -20.982834)	WGS84	Stock	1	CC_BY_4_0	Lozouet P. coll.	SPECIES	SW Lifou	Pacific Ocean
