basisOfRecord	catalogNumber	decimalLatitude	decimalLongitude	locality	scientificName	scientificNameID	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	collectionCode	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificNameAuthorship	sex	waterBody	year	depth	date_start	date_mid	date_end	date_year	occurrenceID	occurrenceStatus	ownerInstitutionCode	references
HumanObservation	122648	-9.39999961853	46.5	Aldabra Islands	Anoplodactylus squalidus	urn:lsid:marinespecies.org:taxname:379292	Accepted	14234472-53a7-4ad0-9a32-3f4a236f7a5b	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	240138	240138	Anoplodactylus rimulus	['NO_DEPTH', 'ON_LAND']	-5	-1275	27.11	35.08																												
PreservedSpecimen	234237.185976	-9.41699981689	46.516998291	Aldabra Atoll, Cinq Cases, Grand Terre	Anoplodactylus squalidus	urn:lsid:marinespecies.org:taxname:379292	Paratype	4f1ef19c-ad9b-46af-9848-4098fc995fc7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus		2	1065	1274	1302	1358	379601	379610	14469	134592	240138	240138	Anoplodactylus rimulus	['ON_LAND']	-3	-635	27.1	35.07	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea	Seychelles	3	observedindividualcount=1;	1983-04-03T12:00:00Z	Bowman, Thomas E.	1.0	USNM	6.0	6.0	4	Alcohol (Ethanol)	B. Kensley	Child	female	Indian Ocean	1983	6.0	418176000000.0	418176000000.0	418176000000.0	1983.0				
PreservedSpecimen	234236.185975	-9.41699981689	46.516998291	Aldabra Atoll, Cinq Cases, Grand Terre	Anoplodactylus squalidus	urn:lsid:marinespecies.org:taxname:379292	Holotype	6c027e54-4fbd-4b1e-838b-24f431708fc5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus		2	1065	1274	1302	1358	379601	379610	14469	134592	240138	240138	Anoplodactylus rimulus	['ON_LAND']	-3	-635	27.1	35.07	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Invertebrate Zoology: Crustacea	Seychelles	3	observedindividualcount=1;	1983-04-03T12:00:00Z	Bowman, Thomas E.	1.0	USNM	6.0	6.0	4	Alcohol (Ethanol)	B. Kensley	Child	female	Indian Ocean	1983	6.0	418176000000.0	418176000000.0	418176000000.0	1983.0				
HumanObservation	122648	-9.4	46.5	Aldabra Islands	Anoplodactylus squalidus	urn:lsid:marinespecies.org:taxname:379292		c1d78219-2cc1-4329-8071-f48cbacf91cf	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus		2	1065	1274	1302	1358	379601	379610	14469	134592	240138	240138	Anoplodactylus rimulus	['NO_DEPTH', 'ON_LAND']	-6	-1275	27.11	35.08							1988			CMLRE											567993600000.0	583718400000.0	599529600000.0	1988.0	11528	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar
