associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	lifeStage	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	195376.150642	Invertebrate Zoology: Crustacea	27	13.3569402695	144.638885498	observedindividualcount=1;	1974-06-27T12:00:00Z	Child, C. Allan	1.0	USNM	Guam, Anae Island, Just E Of Deep Channel	11	11.0	6	Alcohol (Ethanol)	C. Child	Anoplodactylus chamorrus	Child	urn:lsid:marinespecies.org:taxname:239744	male	Holotype	North Pacific Ocean	1974	10c66718-15ef-459a-b8ae-d2016d2c261f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	11.0	141523200000	141523200000	141523200000	1974	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus chamorrus	2	1065	1274	1302	1358	379601	379610	14469	134592	239744	239744	Anoplodactylus chamorrus	[]	5	137	28.94	34.35			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228583.180745	Invertebrate Zoology: Crustacea	27	9.43332958221	123.391670227	observedindividualcount=2;	1979-04-27T12:00:00Z	Child, C. Allan	2.0	USNM	Cebu Island, Sumilon Island, SE Shore	2	1.0	4	Alcohol (Ethanol)	C. Child	Anoplodactylus chamorrus	Child	urn:lsid:marinespecies.org:taxname:239744	male;;		North Pacific Ocean	1979	10e4dcf9-9ee4-4d4b-9225-9bb9d650257d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	294019200000	294019200000	294019200000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus chamorrus	2	1065	1274	1302	1358	379601	379610	14469	134592	239744	239744	Anoplodactylus chamorrus	[]	72	57	28.47	32.83	Philippines	; juvenile	Cebu
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228580.180742	Invertebrate Zoology: Crustacea	2	8.74666976929	123.211669922	observedindividualcount=1;	1979-05-02T12:00:00Z	Child, C. Allan	1.0	USNM	Mindanao Island, Aliguay Island, SW Shore	2	2.0	5	Alcohol (Ethanol)	C. Child	Anoplodactylus chamorrus	Child	urn:lsid:marinespecies.org:taxname:239744	female		North Pacific Ocean	1979	1d512058-d03f-4974-a33b-8b7a013a4081	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	294451200000	294451200000	294451200000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus chamorrus	2	1065	1274	1302	1358	379601	379610	14469	134592	239744	239744	Anoplodactylus chamorrus	[]	138	670	28.35	32.57	Philippines		Zamboanga del Norte
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228582.180744	Invertebrate Zoology: Crustacea	15	9.2277803421	123.483329773	observedindividualcount=1;	1979-05-15T12:00:00Z	Child, C. Allan	1.0	USNM	Siquijor Island, NW Shore, Near Point W Of Stream	1		5	Alcohol (Ethanol)	C. Child	Anoplodactylus chamorrus	Child	urn:lsid:marinespecies.org:taxname:239744	female		North Pacific Ocean	1979	3d2c1b86-8513-48e1-b086-27e0832c1b0e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.0	295574400000	295574400000	295574400000	1979	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus chamorrus	2	1065	1274	1302	1358	379601	379610	14469	134592	239744	239744	Anoplodactylus chamorrus	[]	68	742	28.42	32.78	Philippines		Negros Oriental
