basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	eventDate	footprintWKT	geodeticDatum	georeferenceSources	identifiedBy	language	locality	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	year	fieldNumber	individualCount	occurrenceRemarks	startDayOfYear	waterBody	date_start	date_mid	date_end	date_year	sex
HumanObservation	37113	SOMBASE Pycnogonids	-57.0999984741	-26.75	BAS	318	318	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	372971b0-bab6-427d-9c22-cd0e7519e33a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	318	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	299	850	-0.73	33.63																																		
HumanObservation	22939	SOMBASE Pycnogonids	-56.7565994263	-26.9066009521	BAS	749	731	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	378ce301-5e94-4af7-917b-91ca2f989a4c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	740	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	755	14383	-0.65	33.64																																		
PreservedSpecimen	48788	NIWA	-68.5521667	-178.372	NIWA Invertebrate Collection	3212	3204	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	41784a6c-c1e7-4ca2-aebe-6f736fd62eba	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	3208	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	3321	143120	-1.57	33.98	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2009-06	1	1/03/2008	LINESTRING (-178.372 -68.5521667, -178.3531667 -68.5606667)	WGS84	GPS	Arango, Claudia	en	Site C30, Abyssal site near Scott Seamount	TAN0802/188	8/04/2022	3	5d358834-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), Ethanol - no formalin = 1	IPY CAML	Sled, Hyperbenthic	Hoek, 1881	compactum	2008										
HumanObservation	34954	SOMBASE Pycnogonids	-46.7666015625	177.716598511	BAS	2011	2011	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	4891d60a-e4cc-4b78-b7cc-cd330d96c026	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2011	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	2802	146834	10.51	34.3																																		
HumanObservation	IPY TAN0802/188 Nymphon compactum	International Polar Year-CAML New Zealand	-68.55216667	-178.372	National Institute of Water and Atomspheric Reseach (NZ)	3212	3204	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	4ad9e113-54fd-471c-81dc-cab8afb47709	49d1b62c-124a-4854-b878-b83de130eb23	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	3208	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	3321	143120	-1.57	33.98		10				1	2008-03-01T14:15	LINESTRING (-178.372 -68.5521666667, -178.3531666667 -68.5606666667)	WGS84				Site C30, Abyssal site near Scott Seamount		2012-08-21	3	1871	present			GearType=Hyperbenthic Sled	Hoek, 1881	compactum	2008	TAN0802/188	1	GearType=Hyperbenthic Sled	061	Southern Ocean	1204329600000.0	1204329600000.0	1204329600000.0	2008.0	
HumanObservation	34133	SOMBASE Pycnogonids	-37.0915985107	178.348297119	BAS	2262	2250	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	62cf3723-9d46-4947-b4a4-f3b49ad56ce3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2256	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	2250	50678	18.07	35.56																																		
HumanObservation	37112	SOMBASE Pycnogonids	-57.1500015259	-26.6665992737	BAS	1837	1687	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	80dbe6db-5470-4619-9d89-38e67a730349	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1762	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	['DEPTH_EXCEEDS_BATH']	787	4415	-0.74	33.63																																		
PreservedSpecimen	7447	NIWA	-37.0916667	178.3483333	NIWA Invertebrate Collection	2250	2250	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	a3a61020-c4e8-4c4b-bc2c-24da4a855909	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	2250	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	2244	50672	18.07	35.56	Oceania	500	New Zealand	NIWA Invertebrate Collection		15	15/06/1980	POINT (178.3483333 -37.0916667)	WGS84			en	north of East Cape	P969	8/04/2022	6	5d54a124-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 1	NZOI	Sled, epibenthic	Hoek, 1881	compactum	1980										female
HumanObservation	34347	SOMBASE Pycnogonids	-62.1680984497	-41.3333015442	BAS	3246	3246	Nymphon compactum	urn:lsid:marinespecies.org:taxname:173396	b32c2228-b711-4af3-a308-609f15320be7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3246	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon compactum	2	1065	1274	1302	1358	379601	379609	1566	134591	173396	173396	Nymphon compactum	[]	3410	229067	-1.4	33.84																																		
