associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetID	minimumDepthInMeters	modified	occurrenceID	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234690.186414	Invertebrate Zoology: Crustacea	New Zealand	8	-51.0079994202	162.016998291	observedindividualcount=1;	1965-02-08T12:00:00Z	Child, C. Allan	1.0	USNM	Macquarie Ridge	2	Alcohol (Ethanol)	University of Southern California	Nymphon punctum	Child	urn:lsid:marinespecies.org:taxname:240351	female	Holotype	South Pacific Ocean	1965	56e89531-080b-48e8-bbbd-e643bd02686e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-154483200000	-154483200000	-154483200000	1965	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon punctum	2	1065	1274	1302	1358	379601	379609	1566	134591	240351	240351	Nymphon punctum	['NO_DEPTH']	293	271037	8.33	34.28						
	humanobservation	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	479	OC - Pycnogonida		11	-62.15293	-58.44576		1985-05-11	Bamber Roger		University of Lodz	Admiralty Bay	5		Sicinski Jacek	Nymphon punctum	Child, 1995	urn:lsid:marinespecies.org:taxname:240351				1985	f23b1c82-b320-477a-9a8e-64819dc4470b	f1e773cb-e896-45b0-8a1e-faded8facb33	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	484617600000	484617600000	484617600000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon punctum	2	1065	1274	1302	1358	379601	379609	1566	134591	240351	240351	Nymphon punctum	[]	241	928	-0.5	34.04	Antarctica	IMIS:dasid:1649	240.0	2008-05-05	urn:catalog:University of Lodz:OC - Pycnogonida:479_0022	240.0
