associatedSequences	basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	countryCode	datasetID	datasetName	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	family	genus	identifiedBy	institutionCode	institutionID	kingdom	locationID	locationRemarks	minimumDepthInMeters	occurrenceID	occurrenceStatus	order	organismID	parentNameUsageID	phylum	recordNumber	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	stateProvince	taxonID	taxonRank	taxonomicStatus	waterBody	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	footprintWKT	locality	modified	sex
BOLD ID: TAS50	PreservedSpecimen	S12208	Pycnogonida	OGL	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Oceania	Australia	AU	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	-43.0610008239746	147.947998046875	2007-01-26	CE01499	Contact Person: Arango, Claudia; Collection Event Notes: Collector name listed as C. ARANGO	Callipallenidae	Parapallene	Claudia Arango	OGL	8c116cac-9394-4c4e-be14-06184bdc62bd	Animalia	CL01379	Tasman Peninsula	20.0	OGL_MSC_NortheasternUniversity_S12208	present	Pantopoda	S12208	236293	Arthropoda	TAS50	Claudia Arango	ND	Parapallene famelica	Flynn, 1929	urn:lsid:marinespecies.org:taxname:239472	famelica	Tasmania	T02200	Species	accepted	Waterfall Bay	65e38bcb-4fa4-46c4-8d0e-092eb9cbe7a9	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	20.0	1169769600000.0	1169769600000.0	1169769600000.0	2007.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Parapallene famelica	2	1065	1274	1302	1358	379601	379609	1564	236293	239472	239472	Parapallene famelica	['DEPTH_EXCEEDS_BATH']	-183.0	36	14.26	35.27					
	PreservedSpecimen	P.9342	Pycnogonida	co113			Australia				-20.333	148.9				Callipallenidae	Parapallene		AM		Animalia				urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.9342	present	Pantopoda			Arthropoda				Parapallene famelica		urn:lsid:marinespecies.org:taxname:239472	famelica			species			9db2442d-3a2e-4b2e-a7ec-90ed34f2164a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']						False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Parapallene famelica	2	1065	1274	1302	1358	379601	379609	1564	236293	239472	239472	Parapallene famelica	['NO_DEPTH']	44.1	2632	24.95	35.48	10000	POINT (148.90000 -20.33300)	Whitsunday Passage	2017-03-02T10:23:35	Female
