basisOfRecord	catalogNumber	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	occurrenceID	occurrenceStatus	ownerInstitutionCode	references	scientificName	scientificNameID	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	typeStatus	superdomain	superdomainid	bibliographicCitation	datasetID	day	modified	month	scientificNameAuthorship	specificEpithet	year
HumanObservation	93615	7.883333	98.4	2000	CMLRE	Phuket Island	11509	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar	Eurycyde flagella	urn:lsid:marinespecies.org:taxname:239885	7cc93ea0-2ada-4834-908b-890baac2119a	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	946684800000.0	962409600000.0	978220800000.0	2000.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde flagella	2	1065	1274	1302	1358	379601	379608	379788	134573	239885	239885	Eurycyde flagella	['NO_DEPTH', 'ON_LAND']	-6	-1066	29.33	32.08												
HumanObservation	93615	7.88333320618	98.4000015259		NCL	Phuket Island					Eurycyde flagella	urn:lsid:marinespecies.org:taxname:239885	8184c044-de75-4ff8-a576-44092fd2aaf3	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde flagella	2	1065	1274	1302	1358	379601	379608	379788	134573	239885	239885	Eurycyde flagella	['NO_DEPTH', 'ON_LAND']	-6	-1066	29.33	32.08	INDOBIS-DATASET1	Accepted	Biota	1.0								
PreservedSpecimen	sm_id_1891	7.88	98.4	1998-10-08	WoRMS Editorial Board	Andaman Sea	WoRMS Editorial Board:WoRMS type localities:sm_id_1891	present		http://www.marinespecies.org/aphia.php?p=specdetails&id=1891	Eurycyde flagella	urn:lsid:marinespecies.org:taxname:239885	b62bcd78-a3eb-48d6-92ef-b7ac0ad50d8b	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	907804800000.0	907804800000.0	907804800000.0	1998.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde flagella	2	1065	1274	1302	1358	379601	379608	379788	134573	239885	239885	Eurycyde flagella	['NO_DEPTH', 'ON_LAND']	-6	-758	29.33	32.08	WoRMS type localities	holotype	Biota	1.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Eurycyde flagella</i> Nakamura & Chullasorn, 2000. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239885	https://marineinfo.org/id/dataset/5184	8	2007-06-20 15:52:33	10	Nakamura & Chullasorn, 2000	flagella	1998
