basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	locality	references	typeStatus	date_start	date_mid	date_end	date_year	superdomain	superdomainid
PreservedSpecimen	8073	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	17	-35.8166667	174.5	17/05/1992	Pycnogonidae	Aubrey Island	POINT (174.5 -35.8166667)	Pycnogonum	WGS84	NIWA Invertebrate Collection	Animalia	en	Z8673	0.0	0.0	8/04/2022	5	6030e218-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 15	O'Shea, Steve	Pycnogonum (Nulloviger) anovigerum	Clark, 1956	urn:lsid:marinespecies.org:taxname:266434	mixed	anovigerum	1992	1b2c9ea5-58f5-4293-8046-43f39ee90bf1	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.0	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) anovigerum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239493	239493	Pycnogonum anovigerum	['DEPTH_EXCEEDS_BATH']	-82	32	17.59	35.52											
PreservedSpecimen	sm_id_2208	Pycnogonida	WoRMS type localities					14	-43.88	173.04	1952-05-14	Pycnogonidae			Pycnogonum		WoRMS Editorial Board	Animalia					2007-06-20 15:52:33	5	WoRMS Editorial Board:WoRMS type localities:sm_id_2208	present	Pantopoda	Arthropoda			Pycnogonum (Nulloviger) anovigerum	Clark, 1956	urn:lsid:marinespecies.org:taxname:239493		anovigerum	1952	ed8ff11f-fa4b-48b3-bd16-f7f7db21cce6	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) anovigerum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239493	239493	Pycnogonum (Nulloviger) anovigerum	['NO_DEPTH']	8	779	12.46	34.41	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pycnogonum (Nulloviger) anovigerum</i> Clark, 1956. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239493	https://marineinfo.org/id/dataset/5184	Pacific Ocean	http://www.marinespecies.org/aphia.php?p=specdetails&id=2208	holotype	-556502400000.0	-556502400000.0	-556502400000.0	1952.0	Biota	1.0
HumanObservation	34181	Pycnogonida	SOMBASE Pycnogonids						-35.8166007996	174.5		Pycnogonidae			Pycnogonum		BAS	Animalia			5.0	0.0					Pantopoda	Arthropoda			Pycnogonum (Nulloviger) anovigerum		urn:lsid:marinespecies.org:taxname:266434				f120b5db-2342-432f-84a4-21fa688668d7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.5	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) anovigerum	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239493	239493	Pycnogonum anovigerum	[]	-16	39	17.59	35.52											
