basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dynamicProperties	individualCount	institutionCode	preparations	scientificNameAuthorship	sex	stateProvince	waterBody
HumanObservation	22790	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	-1.0	119.0	1980-10-01T00:00:00+00:00	Okean bucket_1980101_Okean-261_NA	00:00:00+00:00	Ammotheidae	Okean-261	EPSG:4326	Hemichela	STOCK Jan	Animalia	en	Nord du detroit de macassar	60	60	2022-01-18 09:29:51	10	Ifremer_bio_dba_22790	present	Pantopoda	Arthropoda	LAUNAY J.	Okean bucket	Hemichela micrasterias	urn:lsid:marinespecies.org:taxname:239780	micrasterias	1980	6de0f831-083c-4231-8fe4-526ead90d302	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	60	339206400000	339206400000	339206400000	1980	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Hemichela micrasterias	1.0	2	1065	1274	1302	1358	379601	379608	1562	236269	239780	239780	Hemichela micrasterias	[]	2063	42282	29.39	32.76											
PreservedSpecimen	228574.180736	Pycnogonida	Invertebrate Zoology: Crustacea				7	11.3880596161	123.83972168	1978-06-07T12:00:00Z			Ammotheidae			Hemichela	Child, C. Allan	Animalia		Bantayan Island, NE Of Bantayan Island	84	84		6			Pantopoda	Arthropoda			Hemichela micrasterias	urn:lsid:marinespecies.org:taxname:239780		1978	759c3762-bfe2-4192-ad04-81a7730cef34	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	84	266025600000	266025600000	266025600000	1978	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Hemichela micrasterias		2	1065	1274	1302	1358	379601	379608	1562	236269	239780	239780	Hemichela micrasterias	[]	72	7156	28.54	32.4	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Philippines	observedindividualcount=1;	1.0	USNM	Alcohol (Ethanol)	Stock	male	Cebu	North Pacific Ocean
