basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year	country
HumanObservation	34257	SOMBASE Pycnogonids	-37.8330001831	77.5667037964	BAS	100.0	0.0	Achelia quadridentata	urn:lsid:marinespecies.org:taxname:240305	00671789-8d5f-4a9f-95f4-8f19a50241f7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia quadridentata	2	1065	1274	1302	1358	379601	379608	1562	134568	240305	240305	Achelia quadridentata	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-411	-2390	15.18	35.11																				
HumanObservation	34258	SOMBASE Pycnogonids	-38.7000007629	75.1829986572	BAS	100.0	0.0	Achelia quadridentata	urn:lsid:marinespecies.org:taxname:240305	276482ea-83bc-45ca-a8d0-2bf9f9258887	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia quadridentata	2	1065	1274	1302	1358	379601	379608	1562	134568	240305	240305	Achelia quadridentata	[]	3880	201436	14.86	35.1																				
HumanObservation	37245	SOMBASE Pycnogonids	-35.4500007629	23.4899997711	BAS			Achelia quadridentata	urn:lsid:marinespecies.org:taxname:240305	65dd113f-dad4-46b2-91c4-83493beef3b5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia quadridentata	2	1065	1274	1302	1358	379601	379608	1562	134568	240305	240305	Achelia quadridentata	['NO_DEPTH']	1798	149036	21.47	35.43																				
PreservedSpecimen	152790.116175	Invertebrate Zoology: Crustacea	-37.8333282471	77.5666732788	USNM			Achelia quadridentata	urn:lsid:marinespecies.org:taxname:240305	6953d39f-8a0d-4399-a2ea-32b352166b0d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia quadridentata	2	1065	1274	1302	1358	379601	379608	1562	134568	240305	240305	Achelia quadridentata	['NO_DEPTH', 'ON_LAND']	-411	-2399	15.18	35.11	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	11	observedindividualcount=3;	1971-02-11T12:00:00Z	Arnaud, F.	3.0	Amsterdam Island, N Coast	2	Alcohol (Ethanol)	J. Beurois	(Hodgson)	male; female	Indian Ocean	1971	35078400000.0	35078400000.0	35078400000.0	1971.0	
PreservedSpecimen	191246.147042	Invertebrate Zoology: Crustacea	-19.3829994202	12.6999998093	USNM			Achelia quadridentata	urn:lsid:marinespecies.org:taxname:240305	b609f099-aec4-4c80-bca9-fecea0ae1b77	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia quadridentata	2	1065	1274	1302	1358	379601	379608	1562	134568	240305	240305	Achelia quadridentata	['NO_DEPTH']	14	491	16.3	35.62	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	20	observedindividualcount=1;	1979-07-20T12:00:00Z	Child, C. Allan	1.0	Mowe Point	7	Alcohol (Ethanol)	B. Kensley	(Hodgson)	male	South Atlantic Ocean	1979	301276800000.0	301276800000.0	301276800000.0	1979.0	Namibia
