associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234707.286942	Invertebrate Zoology: Crustacea	Antarctica	13	-70.5419998169	171.141998291	observedindividualcount=1;	1968-02-13T12:00:00Z	Child, C. Allan	1.0	USNM	Victoria Land, Cape Adare, North Of	2	Alcohol (Ethanol)	University of Southern California	Pallenopsis lateralia	Child	urn:lsid:marinespecies.org:taxname:239890	male	Holotype	Antarctic Ocean	1968	2a61e6ff-40c3-4e11-a768-843c7c9b03a6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-59443200000.0	-59443200000.0	-59443200000.0	1968.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis lateralia	2	1065	1274	1302	1358	379601	379609	236317	134593	239890	239890	Pallenopsis (pallenopsis) lateralia	['NO_DEPTH']	2427	89518	-1.69	34.11			
	HumanObservation		24354	SOMBASE Pycnogonids			-70.9000015259	171.916595459					BAS					Pallenopsis lateralia		urn:lsid:marinespecies.org:taxname:239890					2aa24ce5-e2c6-46fc-bd75-b3084d119cd5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis lateralia	2	1065	1274	1302	1358	379601	379609	236317	134593	239890	239890	Pallenopsis lateralia	[]	2297	73823	-1.66	34.14	2273.0	2273.0	2273.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234708.286943	Invertebrate Zoology: Crustacea	Antarctica	13	-70.5419998169	171.141998291	observedindividualcount=10;	1968-02-13T12:00:00Z	Child, C. Allan	10.0	USNM	Victoria Land, Cape Adare, North Of	2	Alcohol (Ethanol)	University of Southern California	Pallenopsis lateralia	Child	urn:lsid:marinespecies.org:taxname:239890	male; female	Paratype	Antarctic Ocean	1968	3983dd12-808b-41f5-bc35-d980d5fd1014	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-59443200000.0	-59443200000.0	-59443200000.0	1968.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis lateralia	2	1065	1274	1302	1358	379601	379609	236317	134593	239890	239890	Pallenopsis (pallenopsis) lateralia	['NO_DEPTH']	2427	89518	-1.69	34.11			
	HumanObservation		24355	SOMBASE Pycnogonids			-70.5500030518	171.116592407					BAS					Pallenopsis lateralia		urn:lsid:marinespecies.org:taxname:239890					741cf33d-6edf-43c6-ae13-31df15e664e9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis lateralia	2	1065	1274	1302	1358	379601	379609	236317	134593	239890	239890	Pallenopsis lateralia	[]	2446	88346	-1.69	34.11	2421.0	2421.0	2421.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234706.286941	Invertebrate Zoology: Crustacea	Antarctica	13	-70.9169998169	171.992004395	observedindividualcount=4;	1967-01-13T12:00:00Z	Child, C. Allan	4.0	USNM	Victoria Land, Cape Adare	1	Alcohol (Ethanol)	University of Southern California	Pallenopsis lateralia	Child	urn:lsid:marinespecies.org:taxname:239890	male; female	Paratype	Antarctic Ocean	1967	f46b0091-dfe1-4cb9-b91e-bf0f342ba349	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-93657600000.0	-93657600000.0	-93657600000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis lateralia	2	1065	1274	1302	1358	379601	379609	236317	134593	239890	239890	Pallenopsis (pallenopsis) lateralia	['NO_DEPTH']	2312	74860	-1.66	34.15			
