basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificNameAuthorship	sex	stateProvince	waterBody	year	depth	date_start	date_mid	date_end	date_year
HumanObservation	37244	SOMBASE Pycnogonids	-35.4500007629	23.4899997711	BAS	Boehmia tuberosa	urn:lsid:marinespecies.org:taxname:240312	40e9afe7-d85c-4b8d-a851-f02e8da63785	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Boehmia	Boehmia tuberosa	2	1065	1274	1302	1358	379601	379608	379788	236261	240312	240312	Boehmia tuberosa	['NO_DEPTH']	1798	149036	21.47	35.43																						
PreservedSpecimen	216759.170684	Invertebrate Zoology: Crustacea	-32.2533302307	29.1633300781	USNM	Boehmia tuberosa	urn:lsid:marinespecies.org:taxname:240312	825e0b8d-b38d-49c2-b725-4ac54e9610c3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Boehmia	Boehmia tuberosa	2	1065	1274	1302	1358	379601	379608	379788	236261	240312	240312	Boehmia tuberosa	['DEPTH_EXCEEDS_BATH']	470	18705	23.25	35.34	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	South Africa	25	observedindividualcount=1;	1979-06-25T12:00:00Z	Child, C. Allan	1.0	580.0	540.0	6	Alcohol (Ethanol)	Mobius	male	Transkei	Indian Ocean	1979	560.0	299116800000.0	299116800000.0	299116800000.0	1979.0
