basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	eventID	habitat	identificationRemarks	identificationVerificationStatus	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	occurrenceStatus	verbatimIdentification	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid	datasetID	bibliographicCitation	country
PreservedSpecimen	2007-4598	Pycnogonida	IU	NC	-24.91415	168.366577	Ammotheidae	BIOCAL/DW66	POINT  (168.366577 -24.91415)	Cilunculus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Mont sous-marin Éponge	2015-06-19T21:23Z	440016452	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4598	Cilunculus achelioides	Stock, 1991	urn:lsid:marinespecies.org:taxname:239583	achelioides	SPECIES	PARATYPE	Pacific Ocean	123729dd-fca1-42e5-b6d7-4e05b54db0ef	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus achelioides	2	1065	1274	1302	1358	379601	379608	1562	134572	239583	239583	Cilunculus achelioides Stock, J.H., 1991	['NO_DEPTH']	537	252613	23.73	35.45																				
PreservedSpecimen	17443	Pycnogonida	SeamountsOnline		-24.92	168.36	Ammotheidae	Station DW 66		Cilunculus		NA		SCSD	Animalia		Sponge Seamount		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239583_17443	Pantopoda	Arthropoda		Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Cilunculus achelioides	Stock, 1991	urn:lsid:marinespecies.org:taxname:239583					1840200b-ee29-4702-a59e-886815a5bf3d	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus achelioides	2	1065	1274	1302	1358	379601	379608	1562	134572	239583	239583	Cilunculus achelioides	[]	495	253016	23.7	35.46	1985-09-03	SCSD_SeamountsOnline_Sponge_Seamount_534290	benthic/near bottom	WoRMS Match Type: exact	Validated	515.0	505.0	NA | NA	present	Cilunculus achelioides	510.0	494553600000.0	494553600000.0	494553600000.0	1985.0	Biota	1.0			
Occurrence		Pycnogonida	NewCaledonia		-24.9200000762939	168.360000610352	Ammotheidae			Cilunculus				IRD-MNHN	Animalia		Norfolk, Mt. Eponge (Biocal, DW66)	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0xD569170001000500	Pantopoda	Arthropoda			Cilunculus achelioides		urn:lsid:marinespecies.org:taxname:239583					4cddbe63-75f6-49a8-a890-fb3e30cf4be3	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus achelioides	2	1065	1274	1302	1358	379601	379608	1562	134572	239583	239583	Cilunculus achelioides	[]	495	253016	23.7	35.46						515.0	505.0		present		510.0					Biota	1.0	https://marineinfo.org/id/dataset/3128		
PreservedSpecimen	2007-4597	Pycnogonida	IU	NC	-24.91415	168.366577	Ammotheidae	BIOCAL/DW66	POINT  (168.366577 -24.91415)	Cilunculus	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	Mont sous-marin Éponge	2015-06-19T21:23Z	440004205	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4597	Cilunculus achelioides	Stock, 1991	urn:lsid:marinespecies.org:taxname:239583	achelioides	SPECIES	HOLOTYPE	Pacific Ocean	6e5c6708-fd69-47ea-872b-b5704f1b1762	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus achelioides	2	1065	1274	1302	1358	379601	379608	1562	134572	239583	239583	Cilunculus achelioides Stock, J.H., 1991	['NO_DEPTH']	537	252613	23.73	35.45																				
Occurrence	148	Pycnogonida	NewCaledonia		-24.9200000762939	168.360000610352	Ammotheidae			Cilunculus				IRD-MNHN	Animalia		Biocal, DW66	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:148:0xAEE36D0001000400	Pantopoda	Arthropoda			Cilunculus achelioides		urn:lsid:marinespecies.org:taxname:239583					7a9f4f39-a0c1-445e-919d-8a0a805dbbc1	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus achelioides	2	1065	1274	1302	1358	379601	379608	1562	134572	239583	239583	Cilunculus achelioides	[]	495	253016	23.7	35.46						515.0	505.0		present		510.0					Biota	1.0	https://marineinfo.org/id/dataset/3128	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie
