associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	stateProvince	typeStatus
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228100.180318	Invertebrate Zoology: Crustacea	Belize	4	16.8016700745	-88.0800018311	observedindividualcount=1;	1980-04-04T12:00:00Z	Child, C. Allan	1.0	USNM	Carrie Bow Cay	2.0	4	Alcohol (Ethanol)	G. Hendler	Rhynchothorax architectus	Child	urn:lsid:marinespecies.org:taxname:240164	North Atlantic Ocean	1980	0caba7c4-57e2-490f-8b45-320086ea210d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	323654400000.0	323654400000.0	323654400000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax architectus	2	1065	1274	1302	1358	379601	379612	22618	134596	240164	240164	Rhynchothorax architectus	[]	12	135	28.13	35.55			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	170650.127536	Invertebrate Zoology: Crustacea	Panama		29.283000946	-112.483001709	observedindividualcount=1;		Child, C. Allan	1.0	USNM	Panama Bay, Fort Amador, Culebra Island			Alcohol (Ethanol)		Rhynchothorax architectus	Child	urn:lsid:marinespecies.org:taxname:240164	North Pacific Ocean		58d1fa2e-5497-4638-b55a-5c97990fde09	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax architectus	2	1065	1274	1302	1358	379601	379612	22618	134596	240164	240164	Rhynchothorax architectus	['NO_DEPTH']	20	2218	23.13	35.27	female	Canal Zone	Holotype
