basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	coordinateUncertaintyInMeters	countryCode	eventID	fieldNumber	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	organismQuantity	organismQuantityType	preparations	samplingProtocol	taxonRank	type	verbatimEventDate	footprintWKT	lifeStage	identificationRemarks	eventRemarks
HumanObservation	39688	SOMBASE Pycnogonids	-62.7527999878	-60.5516014099	BAS	429.0	429.0	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	3fb60314-3b68-4c4f-873a-431ccc275db4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	429.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	373	7086	-0.42	33.93																																								
PreservedSpecimen	sm_id_665	WoRMS type localities	-62.73	-60.45	WoRMS Editorial Board		50.0	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	48b5fee1-6092-4809-ac35-d8cf54187b31	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	134	1408	-0.42	33.94	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea hesperidensis</i> Munilla, 2000. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172920	https://marineinfo.org/id/dataset/5184	15	1994-02-15	South Atlantic	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_665	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=665	Munilla, 2000	hesperidensis	holotype	1994	761270400000.0	761270400000.0	761270400000.0	1994.0	Biota	1.0																				
PreservedSpecimen	JR230_09_0769		-67.692	-69.992	BAS	472.02	472.02	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	4c8b1abb-b1a5-4e1a-8896-ff549fd2f70f	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	472.02	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	484	26771	-0.93	32.87			9	2009-12-09			12	JR230_09_0769	Present		Munilla, 2000	hesperidensis		2009	1260316800000.0	1260316800000.0	1260316800000.0	2009.0	Biota	1.0	1000	AQ	JR230	JR230_BASWAP5-AGT-19c	EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	https://ror.org/01rhff309	en	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	species	PhysicalObject	9/12/2009				
PreservedSpecimen	JR17003a_0332-5		-63.8083	-58.0679	BAS	870.0	844.0	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	5eb445d2-9b26-4f3d-932c-70d4a79fc8ca	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	844	3550	-1.41	33.39			6	2018-03-06			3	JR17003a_0332-5	Present		Munilla, 2000	hesperidensis		2018	1520294400000.0	1520294400000.0	1520294400000.0	2018.0	Biota	1.0	286	AQ	JR17003a	JR17003a_046	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	species	PhysicalObject	6/3/2018	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)			
PreservedSpecimen	JR230_09_0743_1		-67.719	-70.058	BAS	463.95	463.95	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	803a58ff-aa46-4499-9b76-2cbb0675ace8	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	463.95	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	534	27709	-0.93	32.89			9	2009-12-09			12	JR230_09_0743_1	Present		Munilla, 2000	hesperidensis		2009	1260316800000.0	1260316800000.0	1260316800000.0	2009.0	Biota	1.0	1000	AQ	JR230	JR230_BASWAP5-AGT-19b	EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	https://ror.org/01rhff309	en	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	species	PhysicalObject	9/12/2009		Juvenile		
HumanObservation	39609	SOMBASE Pycnogonids	-62.6674995422	-60.5558013916	BAS	30.0	30.0	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	8d855c24-62af-4a91-b2eb-770f4315d791	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	110	2277	-0.41	33.94																																								
PreservedSpecimen	JR17003a_0332-10		-63.8083	-58.0679	BAS	870.0	844.0	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	922760c2-79b1-4cf3-a8c9-b5af843e1914	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	844	3550	-1.41	33.39			6	2018-03-06			3	JR17003a_0332-10	Present		Munilla, 2000	hesperidensis		2018	1520294400000.0	1520294400000.0	1520294400000.0	2018.0	Biota	1.0	286	AQ	JR17003a	JR17003a_046	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	species	PhysicalObject	6/3/2018	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)		claw longer than description	
PreservedSpecimen	ICEBERGS 2017_2		-62.2057	-58.7349	NHMUK	118.0		Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	bb4d479c-7d2a-4ee5-849f-c56f9c0873b6	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	118.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-54	-39	-0.5	34.04			26	2017-11-26			11	ICEBERGS 2017_2	Present		Munilla, 2000	hesperidensis		2017	1511654400000.0	1511654400000.0	1511654400000.0	2017.0	Biota	1.0	45	AQ	JR17001-icebergs	ICEBERGS 2017_48	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	urn:lsid:biocol.org:col:34665	en	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17001.pdf	species	PhysicalObject	26/11/2017	LINESTRING (-58.73427 -62.20543, -58.7355 -62.206)			minimum depth was not recorded
HumanObservation	39608	SOMBASE Pycnogonids	-62.7233009338	-60.4430007935	BAS	50.0	50.0	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	bd6fae2e-1801-449c-a541-8af277324af6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	50.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	101	665	-0.42	33.94																																								
PreservedSpecimen	JR230_09_0092		-67.986	-68.639	BAS	521.11	521.11	Ammothea hesperidensis	urn:lsid:marinespecies.org:taxname:172920	cfd09faa-8f39-4e89-8288-10ab73bfc530	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	521.11	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea hesperidensis	2	1065	1274	1302	1358	379601	379608	1562	134569	172920	172920	Ammothea hesperidensis	[]	453	11956	-0.98	32.56			3	2009-12-03			12	JR230_09_0092	Present		Munilla, 2000	hesperidensis		2009	1259798400000.0	1259798400000.0	1259798400000.0	2009.0	Biota	1.0	1000	AQ	JR230	JR230_BASWAP1-AGT-3C	EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	https://ror.org/01rhff309	en	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	species	PhysicalObject	3/12/2009				
