basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	associatedReferences	country	identifiedBy	preparations	sex	stateProvince	waterBody	sst	sss
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Hedgpethia dampieri</i> (Child, 1975). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239480	sm_id_990	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	5	-31.08	116.92	1964-02-05	Colossendeidae	Hedgpethia	WoRMS Editorial Board	Animalia	Indian Ocean	122	113	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_990	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=990	Hedgpethia dampieri	(Child, 1975)	urn:lsid:marinespecies.org:taxname:239480	dampieri	holotype	1964	101a719f-d909-4c74-a9f2-99a7472a5a31	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	117.5	-186364800000	-186364800000	-186364800000	1964	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia dampieri	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	239480	239480	Hedgpethia dampieri	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-287	-133333									
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149237.112753	Pycnogonida	Invertebrate Zoology: Crustacea		15	-32.9583282471	114.800003052	1972-03-15T12:00:00Z	Colossendeidae	Hedgpethia	USNM	Animalia	NW Of Banbury	139	122		3			Pantopoda	Arthropoda		Hedgpethia dampieri	Child	urn:lsid:marinespecies.org:taxname:379511		Paratype	1972	b0ceb7a5-307c-41bb-a357-eceadafa69d0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	130.5	69465600000	69465600000	69465600000	1972	False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Hedgpethiinae	Hedgpethia dampieri		2	1065	1274	1302	1358	379601	379607	22617	379614	134587	239480	239480	Rhopalorhynchus dampieri	[]	123	66336	National Museum of Natural History, Smithsonian Institution	Australia	Child, C. Allan	Alcohol (Ethanol)	female	Western Australia	Indian Ocean	20.92	35.5
