associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	222679.176646	Invertebrate Zoology: Crustacea	South Africa	26	-34.0830001831	18.6329994202	observedindividualcount=1;	1968-02-26T12:00:00Z	Arnaud, F.	1.0	USNM	False Bay	17.0	17.0	2	Alcohol (Ethanol)	Boehmia chelata	(Bohm)	urn:lsid:marinespecies.org:taxname:239749	male	Western Cape	South Atlantic Ocean	1968	5465508d-8b9f-411f-9453-61fc414760c0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0	-58320000000.0	-58320000000.0	-58320000000.0	1968.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Boehmia	Boehmia chelata	2	1065	1274	1302	1358	379601	379608	379788	236261	239749	239749	Boehmia chelata	[]	2	1073	16.53	35.08
	HumanObservation		37243	SOMBASE Pycnogonids			-35.4500007629	23.4899997711					BAS						Boehmia chelata		urn:lsid:marinespecies.org:taxname:239749					caea5770-66c2-4aea-83e1-9c9f4fc5248a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Boehmia	Boehmia chelata	2	1065	1274	1302	1358	379601	379608	379788	236261	239749	239749	Boehmia chelata	['NO_DEPTH']	1798	149036	21.47	35.43
