basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	higherClassification	higherGeography	identificationQualifier	institutionCode	institutionID	kingdom	language	license	locality	locationID	minimumDepthInMeters	modified	month	nomenclaturalCode	occurrenceID	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	coordinateUncertaintyInMeters	datasetID	footprintWKT	maximumDepthInMeters	occurrenceStatus	references	scientificNameID	typeStatus	associatedReferences	dynamicProperties	identifiedBy	individualCount	sex	waterBody
PreservedSpecimen	237240	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	24	37.6143333333	-123.4808333333	2003-09-24	Pallenopsidae	094209	Bathypallenopsis	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Pallenopsidae	North America, United States	nr.	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	California Continental slope, W of Farallon Islands, San Francisco Deep Ocean Disposal Site	06f7df1f-2598-11ed-aace-005056be1b7a	2821	2023-07-24 09:16:29	9	ICZN	urn:catalog:CAS:IZ:237240	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	J.A. Blake	Bathypallenopsis comosa	(Stock, 1975)	comosa	267	California	species	Physical Object	24 Sep 2003	37° 36.86' N	123° 28.85' W	2003	3f4722d5-e129-463e-9737-121808657a6b	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	2821.0	1064361600000	1064361600000	1064361600000	2003	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis comosa	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239593	239593	Bathypallenopsis comosa	[]	2937	37134	12.65	32.97															
PreservedSpecimen	sm_id_2137	Pycnogonida	WoRMS type localities				5	6.85	-79.465	1967-05-05	Pallenopsidae		Bathypallenopsis				WoRMS Editorial Board		Animalia			Gulf of Panama		3193	2007-06-20 15:52:33	5		WoRMS Editorial Board:WoRMS type localities:sm_id_2137	Pantopoda	Arthropoda			Bathypallenopsis comosa	(Stock, 1975)	comosa								1967	c1be6304-8aa0-42f4-945b-7556b1e2b66a	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3196.5	-83980800000	-83980800000	-83980800000	1967	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis comosa	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239593	239593	Bathypallenopsis comosa	[]	3286	90464	27.15	31.52	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Bathypallenopsis comosa</i> (Stock, 1975). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239593	3722.2	https://marineinfo.org/id/dataset/5184	POLYGON ((-79.45 6.88, -79.45 6.82, -79.48 6.82, -79.48 6.88, -79.45 6.88))	3200.0	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2137	urn:lsid:marinespecies.org:taxname:239593	holotype						
PreservedSpecimen	149224.112740	Pycnogonida	Invertebrate Zoology: Crustacea			Panama	5	6.882999897	-79.4499969482	1967-05-05T12:00:00Z	Pallenopsidae		Bathypallenopsis				USNM		Animalia			SE Of Punta Mala		3193		5			Pantopoda	Arthropoda	Alcohol (Ethanol)		Bathypallenopsis comosa	Stock									1967	f18bd127-362f-46a1-b11d-a9122ee33d33	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3196.5	-83980800000	-83980800000	-83980800000	1967	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis comosa		2	1065	1274	1302	1358	379601	379609	236317	236477	239593	239593	Pallenopsis comosa	[]	3342	88838	27.15	31.52	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010				3200.0			urn:lsid:marinespecies.org:taxname:848870	Holotype	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Stock, Jan H.	1.0	male	North Pacific Ocean
