basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	subgenus	typeStatus	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	lifeStage	month	preparations	sex	waterBody	year	date_start	date_mid	date_end	date_year
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pycnogonum (Nulloviger) africanum</i> Calman, 1938. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239419	sm_id_1339	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-6.17	39.33	Pycnogonidae	Pycnogonum	WoRMS Editorial Board	Animalia	Indian Ocean	194	183	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1339	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1339	Pycnogonum (Nulloviger) africanum	Calman, 1938	urn:lsid:marinespecies.org:taxname:239419	africanum	Pycnogonum (Nulloviger)	holotype	7277ba54-a647-4b20-a2cb-4f78902df265	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	188.5	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger) africanum	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239419	239419	Pycnogonum (Nulloviger) africanum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-32	-7735	27.44	34.44																	
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180269.136219	Pycnogonida	Invertebrate Zoology: Crustacea		-7.117000103	39.6500015259	Pycnogonidae	Pycnogonum	USNM	Animalia	Off Zanzibar Island	240	240				Pantopoda	Arthropoda		Pycnogonum (Nulloviger) africanum	Calman	urn:lsid:marinespecies.org:taxname:239419		Pycnogonum (Nulloviger)		7395b7a3-10c4-42bb-a225-1feef768e1fd	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	240.0	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger) africanum		2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239419	239419	Pycnogonum (nulloviger) africanum	[]	303	11788	27.52	33.06	National Museum of Natural History, Smithsonian Institution	Tanzania	1	observedindividualcount=2;	1974-11-01T12:00:00Z	Child, C. Allan	2.0	ovigerous	11	Alcohol (Ethanol)	female	Indian Ocean	1974	152496000000.0	152496000000.0	152496000000.0	1974.0
