basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	preparations	sex	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Cilunculus spinicristus</i> Child, 1987. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240120	sm_id_1848	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	3	-49.67	178.88	1966-01-03	Ammotheidae	Cilunculus	WoRMS Editorial Board	Animalia	Pacific Ocean	540	476	2007-06-20 15:52:33	1	WoRMS Editorial Board:WoRMS type localities:sm_id_1848	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1848	Cilunculus spinicristus	Child, 1987	urn:lsid:marinespecies.org:taxname:240120	spinicristus	holotype	1966	67f0f50c-6843-4f69-a702-40a2c03676b8	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	508	-126057600000	-126057600000	-126057600000	1966	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus spinicristus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	240120	240120	Cilunculus spinicristus	['DEPTH_EXCEEDS_BATH']	112	4759	7.77	34.19								
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233605.185513	Pycnogonida	Invertebrate Zoology: Crustacea		3	-49.6669998169	178.882995605	1966-01-03T12:00:00Z	Ammotheidae	Cilunculus	USNM	Animalia	N Of Antipodes Islands	540	476		1			Pantopoda	Arthropoda		Cilunculus spinicristus	Child	urn:lsid:marinespecies.org:taxname:240120		Holotype	1966	81bcbe0a-bc16-496d-9f20-2fcfc0587c6e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	508	-126057600000	-126057600000	-126057600000	1966	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus spinicristus		2	1065	1274	1302	1358	379601	379608	1562	134572	240120	240120	Cilunculus spinicrista	['DEPTH_EXCEEDS_BATH']	112	4803	7.77	34.19	National Museum of Natural History, Smithsonian Institution	New Zealand	observedindividualcount=1;	Child, C. Allan	1.0	Alcohol (Ethanol)	male	South Pacific Ocean
