basisOfRecord	class	continent	country	countryCode	datasetName	decimalLatitude	decimalLongitude	eventDate	eventID	family	genus	geodeticDatum	identifiedBy	kingdom	language	occurrenceID	occurrenceStatus	order	phylum	recordedBy	scientificName	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	catalogNumber	collectionCode	dynamicProperties	individualCount	institutionCode	maximumDepthInMeters	minimumDepthInMeters	preparations	scientificNameAuthorship	depth	coordinateUncertaintyInMeters	datasetID	dateIdentified	fieldNumber	lifeStage	modified	month	otherCatalogNumbers	sex	typeStatus	year	superdomain	superdomainid	day	locality	occurrenceRemarks
HumanObservation	Pycnogonida	South America	Venezuela	VE	biodiversidad-larestinga	10.983568	-64.157809	2012	BMLR_VT_TGECAM_CM_E2	Ascorhynchidae	Ascorhynchus	WGS84	Claudina Mata	Animalia	en	BMLR_VT_TGECAM_CM_E2_SP3	present	Pantopoda	Arthropoda	Claudina Mata	Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621	castelli	species	Caribbean Sea	29ecd25a-2998-446b-81d5-25401fda0fa9	a4f4931f-7036-47db-9a59-a89fac1501af	['8385435b-bcf5-4bec-b827-8b480163d479']	1325376000000.0	1341100800000.0	1356912000000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli	['NO_DEPTH']	-2.0	585	26.2	36.11																												
PreservedSpecimen	Pycnogonida		France			43.6283302307	7.27917003632			Ascorhynchidae	Ascorhynchus		Arnaud, F.	Animalia				Pantopoda	Arthropoda	Marine Dendoume	Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621			North Atlantic Ocean	33472d96-aa6b-4207-ab2c-d0c7ec84b85f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli	[]	908.0	5523	18.48	38.11	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	138344.102268	Invertebrate Zoology: Crustacea	observedindividualcount=1;	1.0	USNM	187.0	187.0	Alcohol (Ethanol)	(Dohrn)	187.0																
HumanObservation	Pycnogonida	South America	Venezuela	VE	biodiversidad-larestinga	10.979226	-64.165138	2012	BMLR_VT_TGECAM_CM_E1	Ascorhynchidae	Ascorhynchus	WGS84	Claudina Mata	Animalia	en	BMLR_VT_TGECAM_CM_E1_SP5	present	Pantopoda	Arthropoda	Claudina Mata	Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621	castelli	species	Caribbean Sea	621a9467-a780-423c-b636-74eef33f3446	a4f4931f-7036-47db-9a59-a89fac1501af	['8385435b-bcf5-4bec-b827-8b480163d479']	1325376000000.0	1341100800000.0	1356912000000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli	['NO_DEPTH']	-2.0	0	26.2	36.11																												
PreservedSpecimen	Pycnogonida		France		Royal Belgian Institute of Natural Sciences marine Chelicerata collection	42.4861816328	3.1388854997	1929-04		Ascorhynchidae	Ascorhynchus		Giltay L.B. (Dr.)	Animalia		http://collections.naturalsciences.be/specimen/534523	present	Pantopoda	Arthropoda	Leloup Eugéne	Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621	castelli			76c01e1f-86d9-4154-9e0a-76f11199f180	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1286064000000.0	-1284854400000.0	-1283558400000.0	1929.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli (Dohrn, 1881)	['NO_DEPTH']	16.4	432	16.95	37.67			INV.69019	urn:catalog:RBINS:Pycnogonida			RBINS-Scientific Heritage			container type: tray; preservation method: dry	(Dohrn, 1881)		2000.0	be_rbins_invertebrates_cheliceratamarine	1929-01	9187/Banyuls Grotte de Troque	unknown	2017-10-16 14:47:34	4	urn:catalog:RBINS:IG:9187	unknown	specimen	1929	Biota	1.0			
PreservedSpecimen	Pycnogonida		France		Royal Belgian Institute of Natural Sciences marine Chelicerata collection	42.4861816328	3.1388854997	1929-04		Ascorhynchidae	Ascorhynchus		Giltay L.B. (Dr.)	Animalia		http://collections.naturalsciences.be/specimen/534522	present	Pantopoda	Arthropoda	Leloup Eugéne	Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621	castelli			a0da06ee-7862-4a39-b4a1-a10bf3ae0384	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1286064000000.0	-1284854400000.0	-1283558400000.0	1929.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli (Dohrn, 1881)	['NO_DEPTH']	16.4	432	16.95	37.67			INV.69056	urn:catalog:RBINS:Pycnogonida			RBINS-Scientific Heritage			container type: vial; preservation method: alcohol	(Dohrn, 1881)		2000.0	be_rbins_invertebrates_cheliceratamarine	1929-01	9187/Banyuls Grotte de Troque	unknown	2015-09-17 14:55:32	4	urn:catalog:RBINS:IG:9187	unknown	specimen	1929	Biota	1.0			
PreservedSpecimen	Pycnogonida		Netherlands Antilles			12.3505601883	-70.0791702271	1939-04-10T12:00:00Z		Ascorhynchidae	Ascorhynchus		Child, C. Allan	Animalia				Pantopoda	Arthropoda		Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621			North Atlantic Ocean	d6c054d1-ba9e-488e-9d7c-dd7e262d3553	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-969753600000.0	-969753600000.0	-969753600000.0	1939.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli	[]	40.0	16484	27.08	36.12	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	153835.117240	Invertebrate Zoology: Crustacea	observedindividualcount=1;	1.0	USNM	44.0	44.0	Alcohol (Ethanol)	(Dohrn)	44.0							4		female		1939			10	Aruba	
PreservedSpecimen	Pycnogonida		United States			32.5149993896	-79.7149963379	1983-10-03T12:00:00Z		Ascorhynchidae	Ascorhynchus		South Carolina Mar Res BLM/ MMS	Animalia				Pantopoda	Arthropoda	South Carolina Marine Resources For  BLM/ MMS	Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621			North Atlantic Ocean	df5a7dd7-e5a2-4973-bc1d-78704ff83b09	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	433987200000.0	433987200000.0	433987200000.0	1983.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli	[]	16.0	24675	22.71	35.85	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	224079.177163	Invertebrate Zoology: Crustacea	observedindividualcount=1;	1.0	USNM	19.0	19.0	Alcohol (Ethanol)	(Dohrn)	19.0				830298			10				1983			3	Off South Carolina	
Occurrence	Pycnogonida					45.958523973682	-1.731034726156			Ascorhynchidae	Ascorhynchus			Animalia		urn:catalog:VLIZ:Tisbe:410522	present	Pantopoda	Arthropoda		Ascorhynchus castelli	urn:lsid:marinespecies.org:taxname:134621	castelli			ef6a786f-b9f9-4cf3-8ecd-c0653a930e8c	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus castelli	2	1065	1274	1302	1358	379601	379608	379788	134571	134621	134621	Ascorhynchus castelli	['NO_DEPTH']	43.0	26013	15.15	34.01		Giltay, L. (1929). Quelques Pycnogonides des environs de Banyuls (France) [On some pycnogonids from Banyuls (France)]. <i>Ann. Bull. Soc. Entomol. Belg. 69</i>: 172-176	410522	Tisbe			VLIZ				(Dohrn, 1881)		965359.0	https://marineinfo.org/id/dataset/82				2005-10-03 12:19:12						Biota	1.0		French Exclusive Economic Zone	AphiaID: 134621
