associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	coordinateUncertaintyInMeters	footprintWKT	modified	occurrenceID	occurrenceStatus	specificEpithet	taxonRank	lifeStage	stateProvince	datasetID	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234383.186131	Invertebrate Zoology: Crustacea	Seychelles	29	-4.66699981689	55.3670005798	observedindividualcount=2;	1984-04-29T12:00:00Z	Bowman, Thomas E.	2.0	USNM	Mahe, S Of Reef Crest Hotel	1.0	0.5	4	Alcohol (Ethanol)	B. Kensley	Anoplodactylus pycnosoma	(Helfer)	urn:lsid:marinespecies.org:taxname:240414	male; female	Indian Ocean	1984	1635b215-6202-49e0-b7f3-f6951956cf2b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.75	452044800000.0	452044800000.0	452044800000.0	1984.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	[]	17	87	28.06	35.25													
	PreservedSpecimen		P.36553	co113	Australia		-37.10333	149.92832		1985-03-26			AM	Twofold Bay, Munganno Point						Anoplodactylus pycnosoma		urn:lsid:marinespecies.org:taxname:240414	Male			1c9d6c48-2bd3-423c-97f5-a9c442f1c3fc	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		480643200000.0	480643200000.0	480643200000.0	1985.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	['NO_DEPTH', 'ON_LAND']	-12	-10	18.0	35.56	0.009	1000	POINT (149.92832 -37.10333)	2017-03-02T17:18:22	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.36553	present	pycnosoma	species					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	216868.170797	Invertebrate Zoology: Crustacea	Japan		33.8533287048	135.148330688	observedindividualcount=1;	1981-02-28T12:00:00Z	Nakamura, K.	1.0	USNM	Honshu Island, Gobo	5.0	5.0	2	Alcohol (Ethanol)	Habe	Anoplodactylus pycnosoma	(Helfer)	urn:lsid:marinespecies.org:taxname:240414	female	North Pacific Ocean	1981	201a3502-cc3d-4c08-95dc-a239df4c6dbe	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0	352166400000.0	352166400000.0	352166400000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	[]	9	303	21.27	33.45									juvenile	Wakayama			
	HumanObservation		34036	SOMBASE Pycnogonids			-37.7999992371	174.899993896					BAS		10.0	0.0				Anoplodactylus pycnosoma		urn:lsid:marinespecies.org:taxname:240414				2275a1d5-d619-4dab-9fe8-a5036869d2e3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	[]	40	389	16.77	35.19													
	PreservedSpecimen		P.36558	co113	Australia		-37.10333	149.92832		1985-12-19			AM	Twofold Bay, Munganno Point						Anoplodactylus pycnosoma		urn:lsid:marinespecies.org:taxname:240414	Female			250505d2-ee53-4f52-bcf1-82cbaed92337	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		503798400000.0	503798400000.0	503798400000.0	1985.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	['NO_DEPTH', 'ON_LAND']	-12	-10	18.0	35.56	0.009	1000	POINT (149.92832 -37.10333)	2017-03-02T17:18:22	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.36558	present	pycnosoma	species					
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228595.180757	Invertebrate Zoology: Crustacea	Philippines	5	9.41666984558	123.237503052	observedindividualcount=1;	1978-06-05T12:00:00Z	Child, C. Allan	1.0	USNM	Negros Island, Ayuquitan Viejo, N Of Dumaguete City	3.0	3.0	6	Alcohol (Ethanol)	N. Calumpong	Anoplodactylus pycnosoma	(Helfer)	urn:lsid:marinespecies.org:taxname:240414	female	North Pacific Ocean	1978	2853973d-fec1-483d-b4af-b9b0583ff937	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3.0	265852800000.0	265852800000.0	265852800000.0	1978.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	['ON_LAND']	-14	-464	28.5	32.73										Negros Oriental			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	216867.170796	Invertebrate Zoology: Crustacea	Japan		33.8533287048	135.148330688	observedindividualcount=2;	1981-02-28T12:00:00Z	Nakamura, K.	2.0	USNM	Honshu Island, Gobo	1.5	1.5	2	Alcohol (Ethanol)	Habe	Anoplodactylus pycnosoma	(Helfer)	urn:lsid:marinespecies.org:taxname:240414	male; female	North Pacific Ocean	1981	2da8f8d8-0080-4bda-be32-6f0990b9dd08	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	352166400000.0	352166400000.0	352166400000.0	1981.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	[]	9	303	21.27	33.45										Wakayama			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234388.186136	Invertebrate Zoology: Crustacea	Seychelles	1	-4.66699981689	55.5	observedindividualcount=1;	1984-05-01T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Mahe, Anse A La Mouche	4.5	2.5	5	Alcohol (Ethanol)	B. Kensley	Anoplodactylus pycnosoma	(Helfer)	urn:lsid:marinespecies.org:taxname:240414	male	Indian Ocean	1984	32cb9857-2eb3-4fb3-9a8e-eecb1deda1f4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3.5	452217600000.0	452217600000.0	452217600000.0	1984.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-55	-60	28.05	35.25													
	Occurrence	Bamber RN (2000). Musorstom 21(184): 611-625.	44501	NewCaledonia	Nouvelle Caledonie		-20.8299999237061	165.330001831055					IRD-MNHN	Touho	7.0	5.0				Anoplodactylus pycnosoma		urn:lsid:marinespecies.org:taxname:240414				354c166d-a1dd-4779-be15-c7e86e8b8e45	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	6.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	[]	2	7193	25.95	35.0				2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:44501:0x3412900001000B00	present					https://marineinfo.org/id/dataset/3128	Biota	1.0
	PreservedSpecimen		P.42782	co113	Australia		-32.02499	115.45833		1991-01-08			AM	Rottnest Island, Radar Reef						Anoplodactylus pycnosoma		urn:lsid:marinespecies.org:taxname:240414	Male			3fa27df1-52f1-4976-9af7-5334a22a6863	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		663292800000.0	663292800000.0	663292800000.0	1991.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pycnosoma	2	1065	1274	1302	1358	379601	379610	14469	134592	240414	240414	Anoplodactylus pycnosoma	['NO_DEPTH', 'ON_LAND']	-12	-26	20.89	35.53		10000	POINT (115.45833 -32.02499)	2017-03-02T15:57:38	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42782	present	pycnosoma	species					
