associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	footprintWKT	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	122419.87479	Invertebrate Zoology: Crustacea	Mozambique	17	-24.0669994354	36.25	observedindividualcount=1;	1964-08-17T12:00:00Z	Stock, Jan H.	1.0	USNM	Mozambique Channel	1610	1610	8	Alcohol (Ethanol)	Nymphon primacoxa	Stock	urn:lsid:marinespecies.org:taxname:240204	female	Paratype	Indian Ocean	1964	dcaac5fe-d375-44c8-b8ae-45a72b1dc613	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1610	-169603200000	-169603200000	-169603200000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon primacoxa	2	1065	1274	1302	1358	379601	379609	1566	134591	240204	240204	Nymphon primacoxa	[]	1742	73969	25.83	35.07										
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon primacoxa</i> Stock, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240204	sm_id_2055	WoRMS type localities		17	-24.095	36.215		1964-08-17			WoRMS Editorial Board	Mozambique Channel	1600	1628	8		Nymphon primacoxa	Stock, 1968	urn:lsid:marinespecies.org:taxname:240204		holotype		1964	e3c91b72-82b0-4c1b-9cf0-1de405d871fd	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1614	-169603200000	-169603200000	-169603200000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon primacoxa	2	1065	1274	1302	1358	379601	379609	1566	134591	240204	240204	Nymphon primacoxa	['MIN_DEPTH_EXCEEDS_MAX']	1640	71595	25.82	35.07	4508.53	https://marineinfo.org/id/dataset/5184	POLYGON ((36.25 -24.07, 36.25 -24.12, 36.18 -24.12, 36.18 -24.07, 36.25 -24.07))	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2055	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2055	primacoxa	Biota	1.0
