basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	J13033	Pycnogonida	co119	1000	Australia	-38.27	145.3	1974-04-25	Callipallenidae	POINT (145.30000 -38.27000)	Parapallene	1	NMV	Animalia	Crawfish Rock, Western Port Bay	2017-02-10T11:39:57	J13033	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	021f33f5-8b6c-4ff6-9bcb-2c1e2ae544da	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	136080000000.0	136080000000.0	136080000000.0	1974.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	1	1335	15.7	35.71
PreservedSpecimen	J13027	Pycnogonida	co119	1000	Australia	-38.1	144.88	1975-07-26	Callipallenidae	POINT (144.88000 -38.10000)	Parapallene	1	NMV	Animalia	Popes Eye, Port Phillip Bay	2017-02-10T11:39:54	J13027	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	18908aa4-9c3e-4339-b672-bce1e0b3bceb	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	175564800000.0	175564800000.0	175564800000.0	1975.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	19	14843	15.77	35.69
PreservedSpecimen	J13032	Pycnogonida	co119	1000	Australia	-38.27	145.3	1975-08-31	Callipallenidae	POINT (145.30000 -38.27000)	Parapallene	1	NMV	Animalia	Crawfish Rock, Western Port	2017-02-10T11:39:56	J13032	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	2ed1e49f-fa06-43be-851d-e1ce6217ff99	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	178675200000.0	178675200000.0	178675200000.0	1975.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	1	1335	15.7	35.71
PreservedSpecimen	J13043	Pycnogonida	co119	1000	Australia	-38.95	146.72	1981-01-28	Callipallenidae	POINT (146.72000 -38.95000)	Parapallene	1	NMV	Animalia	Cliffy Island, Wilsons Promontory	2017-02-10T11:39:59	J13043	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	3012fea1-41f5-42e3-9a91-3d1e737bf295	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	349488000000.0	349488000000.0	349488000000.0	1981.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	38	1089	15.57	35.73
PreservedSpecimen	J13029	Pycnogonida	co119	1000	Australia	-38.27	145.3	1974-06-15	Callipallenidae	POINT (145.30000 -38.27000)	Parapallene	2	NMV	Animalia	Crawfish Rock, Western Port	2017-02-10T11:39:55	J13029	present	2	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	34615567-6603-48b0-aa89-9f8501434060	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	140486400000.0	140486400000.0	140486400000.0	1974.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	1	1335	15.7	35.71
PreservedSpecimen	J13035	Pycnogonida	co119	1000	Australia	-38.28	144.62	1972-12-10	Callipallenidae	POINT (144.62000 -38.28000)	Parapallene	1	NMV	Animalia	Port Phillip Heads	2017-02-10T11:39:57	J13035	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	34751c36-85c8-4aa6-8dcf-4ca0ade7df34	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	92793600000.0	92793600000.0	92793600000.0	1972.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	-2	243	15.79	35.68
PreservedSpecimen	J13040	Pycnogonida	co119	1000	Australia	-38.33	144.72	1976-02-08	Callipallenidae	POINT (144.72000 -38.33000)	Parapallene		NMV	Animalia	Portsea Hole, Port Phillip Bay	2017-02-10T11:39:58	J13040	present			Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400		avida	species	351bdf9b-182d-4578-a987-86c6738b4421	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	192585600000.0	192585600000.0	192585600000.0	1976.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH', 'ON_LAND']	-20	-1073	15.77	35.69
PreservedSpecimen	J13031	Pycnogonida	co119	1000	Australia	-38.27	145.3	1974-06-15	Callipallenidae	POINT (145.30000 -38.27000)	Parapallene	1	NMV	Animalia	Crawfish Rock, Western Port	2017-02-10T11:39:56	J13031	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	402830b4-d013-40e5-bd35-ae2230b89ddb	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	140486400000.0	140486400000.0	140486400000.0	1974.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	1	1335	15.7	35.71
PreservedSpecimen	J13044	Pycnogonida	co119	1000	Australia	-37.57	149.92		Callipallenidae	POINT (149.92000 -37.57000)	Parapallene	1	NMV	Animalia	Gabo Island, south side	2017-02-10T11:39:59	J13044	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	4271b61b-b728-41bc-97a8-21f003fd9df1	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	20	217	17.5	35.56
PreservedSpecimen	J13038	Pycnogonida	co119	1000	Australia	-38.28	144.62	1984-11-09	Callipallenidae	POINT (144.62000 -38.28000)	Parapallene	1	NMV	Animalia	Off Port Phillip heads	2017-02-10T11:39:58	J13038	present	1	individuals	Arthropoda	Parapallene avida	urn:lsid:marinespecies.org:taxname:240400	Unknown	avida	species	55a372f2-f6fd-4be8-936d-e6cf0ac0e0a7	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	468806400000.0	468806400000.0	468806400000.0	1984.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Parapallene avida	2	1065	1274	1302	1358	379601	379609	1564	236293	240400	240400	Parapallene avida	['NO_DEPTH']	-2	243	15.79	35.68
