basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	23188	SOMBASE Pycnogonids	-54.5	158.983306885	BAS	124	112	Nymphon macquariensis	urn:lsid:marinespecies.org:taxname:239410	22a62dd8-4666-4635-995d-398631b19474	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macquariensis	2	1065	1274	1302	1358	379601	379609	1566	134591	239410	239410	Nymphon macquariensis	[]	152	2429	5.23	33.91																					
PreservedSpecimen	234686.186409	Invertebrate Zoology: Crustacea	-54.533000946	158.983001709	USNM	124	112	Nymphon macquariensis	urn:lsid:marinespecies.org:taxname:239410	546d5a70-b69f-4ba6-9446-2e6fedfc0d0a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macquariensis	2	1065	1274	1302	1358	379601	379609	1566	134591	239410	239410	Nymphon macquariensis	[]	557	2928	5.23	33.91	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	15	observedindividualcount=1;	1967-02-15T12:00:00Z	USARP/EL/27/1974/USC	Child, C. Allan	1.0	Macquarie Island, off Island	2	Alcohol (Ethanol)	University of Southern California	Child	female	Holotype	South Pacific Ocean	1967	-90806400000.0	-90806400000.0	-90806400000.0	1967.0
