basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	scientificNameAuthorship	sex	stateProvince	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year	fieldNumber	recordedBy
HumanObservation	22585	SOMBASE Pycnogonids	-54.4000015259	159.016601562	BAS	93	79	Austrodecus serratum	urn:lsid:marinespecies.org:taxname:239690	7a99d32a-6f02-4421-b748-e9fa8c5cf540	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus serratum	2	1065	1274	1302	1358	379600	22616	134579	239690	239690	Austrodecus serratum	[]	692	4033	5.32	33.92																							
PreservedSpecimen	234601.186355	Invertebrate Zoology: Crustacea	-54.4000015259	159.016998291	USNM	93	79	Austrodecus serratum	urn:lsid:marinespecies.org:taxname:239690	a7c64753-deeb-4873-9d73-d34c0849448f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus serratum	2	1065	1274	1302	1358	379600	22616	134579	239690	239690	Austrodecus serratum	[]	1042	4043	5.32	33.92	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Australia	10	observedindividualcount=1;	1965-02-10T12:00:00Z	Bowman, Thomas E.	1.0	Macquarie Island, E Of Island	2	Alcohol (Ethanol)	Child	female	Tasmania	Paratype	South Pacific Ocean	1965	-154310400000.0	-154310400000.0	-154310400000.0	1965.0		
HumanObservation	22584	SOMBASE Pycnogonids	-54.5	158.983306885	BAS	124	112	Austrodecus serratum	urn:lsid:marinespecies.org:taxname:239690	e31d9c81-6825-48bd-bb12-3d5a212e3154	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus serratum	2	1065	1274	1302	1358	379600	22616	134579	239690	239690	Austrodecus serratum	[]	152	2429	5.23	33.91																							
PreservedSpecimen	234600.186354	Invertebrate Zoology: Crustacea	-54.533000946	158.983001709	USNM	124	112	Austrodecus serratum	urn:lsid:marinespecies.org:taxname:239690	e6ef4b80-ccbb-4ccd-b55b-a1ab9a59836a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus serratum	2	1065	1274	1302	1358	379600	22616	134579	239690	239690	Austrodecus serratum	[]	557	2928	5.23	33.91	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		15	observedindividualcount=1;	1967-02-15T12:00:00Z	Bowman, Thomas E.	1.0	Macquarie Island, off Island	2	Alcohol (Ethanol)	Child	male		Holotype	South Pacific Ocean	1967	-90806400000.0	-90806400000.0	-90806400000.0	1967.0	USARP/EL/27/1974/USC	University of Southern California
