basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	day	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	waterBody	year	date_start	date_mid	date_end	date_year	continent	coordinateUncertaintyInMeters	country	datasetName	footprintWKT	geodeticDatum	language	locationID	modified	occurrenceID	occurrenceStatus	samplingProtocol	sex	specificEpithet	lifeStage
HumanObservation	37946	SOMBASE Pycnogonids	-48.1716003418	70.543296814	BAS	30	3	Oropallene dimorpha	urn:lsid:marinespecies.org:taxname:239812	0fd7e4ca-c036-465b-8728-036a45b86aa4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	16.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dimorpha	2	1065	1274	1302	1358	379601	379609	1564	236286	239812	239812	Oropallene dimorpha	[]	153	93913	4.29	33.74																																		
PreservedSpecimen	233610.185514	Invertebrate Zoology: Crustacea	-54.533000946	158.983001709	USNM	124	112	Oropallene dimorpha	urn:lsid:marinespecies.org:taxname:239812	600b9fc5-fd0b-4a78-b9f5-fdcf2165e5e6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dimorpha	2	1065	1274	1302	1358	379601	379609	1564	236286	239812	239812	Oropallene dimorpha	[]	557	2928	5.23	33.91	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	15	observedindividualcount=62;	1967-02-15T12:00:00Z	USARP/EL/27/1974/USC	Child, C. Allan	62.0	Macquarie Island, off Island	2	Alcohol (Ethanol)	University of Southern California	(Hoek)	South Pacific Ocean	1967	-90806400000.0	-90806400000.0	-90806400000.0	1967.0															
HumanObservation	24294	SOMBASE Pycnogonids	-54.5	158.983306885	BAS	124	112	Oropallene dimorpha	urn:lsid:marinespecies.org:taxname:239812	978e59cd-d916-4e1e-a78a-7f99efac668e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dimorpha	2	1065	1274	1302	1358	379601	379609	1564	236286	239812	239812	Oropallene dimorpha	[]	152	2429	5.23	33.91																																		
PreservedSpecimen	7451	NIWA	-39.4383	147.8117	NIWA Invertebrate Collection	49	49	Oropallene dimorpha	urn:lsid:marinespecies.org:taxname:239812	b2148e67-071b-421d-8ff0-0191fd33fda0	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	49.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dimorpha	2	1065	1274	1302	1358	379601	379609	1564	236286	239812	239812	Oropallene dimorpha	[]	48	26507	15.46	35.63			17		17/11/1981					11	Specimen(s), None = 1	NIWA	(Hoek, 1898)		1981					Oceania	500	Commonwealth of Australia	NIWA Invertebrate Collection	POINT (147.8117 -39.4383)	WGS84	en	Q644	8/04/2022	5f4ab360-fa36-11e2-96b3-aa6f927c92a3	present	Grab, Smith-McIntyre	female	dimorpha	
HumanObservation	24293	SOMBASE Pycnogonids	-51.0	162.016601562	BAS	371	333	Oropallene dimorpha	urn:lsid:marinespecies.org:taxname:239812	bb4ec1ed-37c4-4241-a546-35950191e886	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	352.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dimorpha	2	1065	1274	1302	1358	379601	379609	1564	236286	239812	239812	Oropallene dimorpha	[]	466	271015	8.33	34.28																																		
HumanObservation	34149	SOMBASE Pycnogonids	-39.4383010864	147.811599731	BAS	49	49	Oropallene dimorpha	urn:lsid:marinespecies.org:taxname:239812	bc520506-cb2d-49ff-a230-b482b6e9b513	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	49.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dimorpha	2	1065	1274	1302	1358	379601	379609	1564	236286	239812	239812	Oropallene dimorpha	[]	48	26512	15.46	35.63																																		
PreservedSpecimen	233611.185515	Invertebrate Zoology: Crustacea	-54.4000015259	159.016998291	USNM	93	79	Oropallene dimorpha	urn:lsid:marinespecies.org:taxname:239812	e7628693-b67f-46e1-8267-5b49bc4cede6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Oropallene	Oropallene dimorpha	2	1065	1274	1302	1358	379601	379609	1564	236286	239812	239812	Oropallene dimorpha	[]	1042	4043	5.32	33.92	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10	observedindividualcount=2;	1965-02-10T12:00:00Z		Child, C. Allan	2.0	NE Of Macquarie Island	2	Alcohol (Ethanol)		(Hoek)	South Pacific Ocean	1965	-154310400000.0	-154310400000.0	-154310400000.0	1965.0													male		juvenile
