basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	fieldNumber	individualCount	locality	occurrenceRemarks	startDayOfYear	taxonRemarks	waterBody	date_start	date_mid	date_end	date_year	datasetID	references	typeStatus	superdomain	superdomainid
PreservedSpecimen	70230	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	10	-71.755	171.1425	10/02/2004	Ammotheidae	LINESTRING (171.1425 -71.755, 171.152667 -71.758833)	Austroraptus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/39	253.0	251	8/04/2022	2	605800dc-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Sled, epibenthic	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	0c35e56d-25ac-4db4-8c7d-af75b3725a96	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	252.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	247	10512	-1.65	33.88																	
HumanObservation	TAN0402/198 Austroraptus calcaratus	Pycnogonida	MBIS BioRoss		30			2005-06-20	28	-71.617333	170.8935	2004-02-28T03:16+12	Ammotheidae	POINT (170.8935 -71.617333)	Austroraptus	WGS84		Johanna Nielsen	NIWA	Animalia	en		222.0	222	2013-11-03	2	2063	present	Pantopoda	Arthropoda			Van Veen grab	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	0ef18916-ddd6-4170-b838-9dad1a651eef	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	222.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	174	7320	-1.65	33.89	Austroraptus calcaratus (MBIS BioRoss 2063)	TAN0402/198	1	Ross 2	GearType= Van Veen Grab	59	Austroraptus calcaratus	Southern Ocean	1077926400000.0	1077926400000.0	1077926400000.0	2004.0					
PreservedSpecimen	70231	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	28	-71.617333	170.8935	28/02/2004	Ammotheidae	LINESTRING (170.8935 -71.617333, 170.8935 -71.617333)	Austroraptus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/198	222.0	222	8/04/2022	2	60580258-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Grab,  van Veen	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	19607687-e9be-47e5-ad5e-4b70b1ff6f44	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	222.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	174	7320	-1.65	33.89																	
PreservedSpecimen	70226	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	23	-71.647667	170.180167	23/02/2004	Ammotheidae	LINESTRING (170.180167 -71.647667, 170.184667 -71.649167)	Austroraptus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/132	172.0	162	8/04/2022	2	6057f920-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	NIWA; MFish	Sled, epibenthic	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	252d654e-d596-4cae-a94b-05d86b166d68	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	167.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	['DEPTH_EXCEEDS_BATH']	4	1463	-1.69	33.87																	
PreservedSpecimen	70233	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	10	-71.755	171.1425	10/02/2004	Ammotheidae	LINESTRING (171.1425 -71.755, 171.152667 -71.758833)	Austroraptus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/39	253.0	251	8/04/2022	2	6058055a-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	NIWA; MFish	Sled, epibenthic	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	397f9b69-ceeb-40a4-a203-4b47547df9d1	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	252.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	247	10512	-1.65	33.88																	
PreservedSpecimen	70232	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	4	-71.33	170.459333	4/02/2004	Ammotheidae	LINESTRING (170.459333 -71.33, 170.485167 -71.340333)	Austroraptus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/130	126.0	120	8/04/2022	2	605803d4-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	NIWA; MFish	Sled, epibenthic	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	39bccaca-57af-4124-941b-04ae6a4891d6	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	123.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	164	4071	-1.67	34.04																	
PreservedSpecimen	46253	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection		9	-71.801	170.941333	9/02/2004	Ammotheidae	LINESTRING (170.941333 -71.801, 170.959333 -71.7985)	Austroraptus	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/22	180.0	151	8/04/2022	2	5dbcd3e8-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Sled, epibenthic	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	4ef15058-d628-4092-a131-1552c4074db5	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	165.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	['DEPTH_EXCEEDS_BATH']	85	2111	-1.66	33.81																	
PreservedSpecimen	sm_id_850	Pycnogonida	WoRMS type localities						16	-66.75	62.05	1931-02-16	Ammotheidae		Austroraptus				WoRMS Editorial Board	Animalia				219	2007-06-20 15:52:33	2	WoRMS Editorial Board:WoRMS type localities:sm_id_850	present	Pantopoda	Arthropoda				Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	1931	6ba69c92-846c-4151-a4d3-ec3ac2be405f	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	219.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	252	46308	-1.62	34.08	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austroraptus calcaratus</i> Gordon, 1944. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172960			Southern Ocean					-1226793600000.0	-1226793600000.0	-1226793600000.0	1931.0	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=850	holotype	Biota	1.0
HumanObservation	TAN0402/129 Austroraptus calcaratus	Pycnogonida	MBIS BioRoss		30			2005-06-20	19	-71.326833	170.4515	2004-02-19T05:25+12	Ammotheidae	POINT (170.4515 -71.326833)	Austroraptus	WGS84		Johanna Nielsen	NIWA	Animalia	en		120.0	120	2013-11-03	2	2007	present	Pantopoda	Arthropoda			Van Veen grab	Austroraptus calcaratus	Gordon, 1944	urn:lsid:marinespecies.org:taxname:172960	calcaratus	2004	88217bc1-22c8-4e40-a818-6b5446843552	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	120.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	148	3967	-1.67	34.04	Austroraptus calcaratus (MBIS BioRoss 2007)	TAN0402/129	1	Ross 1	GearType= Van Veen Grab	50	Austroraptus calcaratus	Southern Ocean	1077148800000.0	1077148800000.0	1077148800000.0	2004.0					
HumanObservation	22074	Pycnogonida	SOMBASE Pycnogonids							-73.5333023071	171.433303833		Ammotheidae		Austroraptus				BAS	Animalia			538.0	527					Pantopoda	Arthropoda				Austroraptus calcaratus		urn:lsid:marinespecies.org:taxname:172960			8e0f7fd9-4646-4377-b224-8cab65c8af12	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	532.5	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Austroraptus calcaratus	2	1065	1274	1302	1358	379601	379608	1562	172959	172960	172960	Austroraptus calcaratus	[]	534	46521	-1.62	34.11																	
