associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181031.136982	Invertebrate Zoology: Crustacea	11	-36.5433311462	-53.3833312988	observedindividualcount=3;	1971-03-11T12:00:00Z	Child, C. Allan	3.0	USNM	; juvenile	Argentine Basin, Off Rio De La Plata	1011	993	3	Alcohol (Ethanol)	Mimipallene atlantis	Child	urn:lsid:marinespecies.org:taxname:240285	male;;	Paratype	South Atlantic Ocean	1971	21ab2513-88e7-446c-859e-29b87afd7725	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1002	37497600000	37497600000	37497600000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Mimipallene	Mimipallene atlantis	2	1065	1274	1302	1358	379601	379608	379616	236285	240285	240285	Mimipallene atlantis	[]	965	215272	17.29	34.03
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181030.136981	Invertebrate Zoology: Crustacea	12	-36.8899993896	-53.1699981689	observedindividualcount=12;	1971-03-12T12:00:00Z	Child, C. Allan	12.0	USNM	;; juvenile	Argentine Basin, Off Rio De La Plata	2323	2195	3	Alcohol (Ethanol)	Mimipallene atlantis	Child	urn:lsid:marinespecies.org:taxname:240285	male; female;;	Paratype	South Atlantic Ocean	1971	480e1345-4e45-4bbd-abf9-3eb9e08138ab	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2259	37584000000	37584000000	37584000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Mimipallene	Mimipallene atlantis	2	1065	1274	1302	1358	379601	379608	379616	236285	240285	240285	Mimipallene atlantis	[]	2338	257364	18.04	34.82
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181029.136980	Invertebrate Zoology: Crustacea	12	-36.8899993896	-53.1699981689	observedindividualcount=1;	1971-03-12T12:00:00Z	Child, C. Allan	1.0	USNM		Argentine Basin, Off Rio De La Plata	2323	2195	3	Alcohol (Ethanol)	Mimipallene atlantis	Child	urn:lsid:marinespecies.org:taxname:240285	male	Holotype	South Atlantic Ocean	1971	727974f0-ef79-4ded-a008-f52b78ff1e4b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2259	37584000000	37584000000	37584000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Mimipallene	Mimipallene atlantis	2	1065	1274	1302	1358	379601	379608	379616	236285	240285	240285	Mimipallene atlantis	[]	2338	257364	18.04	34.82
