associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234560.186317	Invertebrate Zoology: Crustacea	Ecuador	3	-1.5	-82.3170013428	observedindividualcount=1;	1958-12-03T12:00:00Z	Bowman, Thomas E.	1.0	USNM	W Of Quito	1369	1363	12	Alcohol (Ethanol)	Ascorhynchus comatus	Child	urn:lsid:marinespecies.org:taxname:240021	female	Holotype	South Pacific Ocean	1958	0136131b-5e1d-4552-8b00-f360ececa6b8	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1366	-349660800000	-349660800000	-349660800000	1958	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus comatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240021	240021	Ascorhynchus comatum	[]	1273	139186	23.49	33.7									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234561.186318	Invertebrate Zoology: Crustacea	Ecuador	3	-1.5	-82.3170013428	observedindividualcount=7;	1958-12-03T12:00:00Z	Bowman, Thomas E.	7.0	USNM	W Of Quito	1369	1363	12	Alcohol (Ethanol)	Ascorhynchus comatus	Child	urn:lsid:marinespecies.org:taxname:240021	male; female;;	Paratype	South Pacific Ocean	1958	0a633189-b479-4783-843d-c05a5220ff61	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1366	-349660800000	-349660800000	-349660800000	1958	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus comatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240021	240021	Ascorhynchus comatum	[]	1273	139186	23.49	33.7	;; juvenile								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus comatus</i> Child, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240021	sm_id_1687	WoRMS type localities		3	-1.5	-82.32		1958-12-03			WoRMS Editorial Board	Pacific Ocean	1369	1363	12		Ascorhynchus comatus	Child, 1992	urn:lsid:marinespecies.org:taxname:240021		holotype		1958	4475572e-8c7d-4d53-87fe-eb9d8b0399d2	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1366	-349660800000	-349660800000	-349660800000	1958	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus comatus	2	1065	1274	1302	1358	379601	379608	379788	134571	240021	240021	Ascorhynchus comatus	[]	1273	139514	23.49	33.7		https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1687	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1687	comatus	Biota	1.0
