basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	coordinatePrecision	identifiedBy	occurrenceRemarks	verbatimDepth	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Parapallene parviunguicularis</i> Stock, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239533	sm_id_1295	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	24.08	-81.33	1969-04-29/1969-04-30	Callipallenidae	Parapallene	WoRMS Editorial Board	Animalia	Florida Strait	933	851	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1295	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1295	Parapallene parviunguicularis	Stock, 1986	urn:lsid:marinespecies.org:taxname:239533	parviunguicularis	holotype	254d4202-43cc-40b5-bf50-e3fa5bd41ae6	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	892	-21340800000.0	-21340800000.0	-21254400000.0	1969.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Parapallene parviunguicularis	1	2	1065	1274	1302	1358	379601	379609	1564	236293	239533	239533	Parapallene parviunguicularis	[]	920	60415	27.46	35.97						
HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-036_C4	Pycnogonida	B89PII		23.0369167328	-82.928817749		Callipallenidae	Parapallene	HRI	Animalia	ESE  Gulf of Mexico	933	851				Pantopoda	Arthropoda		Parapallene parviunguicularis	Stock,	urn:lsid:marinespecies.org:taxname:239533			5cc98b62-8976-4589-a9a8-cd7ad7900b1a	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	892					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Parapallene parviunguicularis	1	2	1065	1274	1302	1358	379601	379609	1564	236293	239533	239533	Parapallene parviunguicularis	['DEPTH_EXCEEDS_BATH']	451	2084	27.7	35.97	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	262350.0	Child, C. A.	Database description and disclaimer at: http://gulfbase.org/	851-933	Gulf of Mexico
