basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	eventDate	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	date_start	date_mid	date_end	date_year	superdomain	superdomainid	identifiedBy	day	month	typeStatus	year	associatedReferences	dynamicProperties	preparations	sex
PreservedSpecimen	2008-20540	Pycnogonida	IU	SB	-7.708483	156.41391	Pallenopsidae	SALOMON 2/CP2248	POINT  (156.41391 -7.708483)	Bathypallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	2015-06-19T21:23Z	462403488	Pantopoda	Arthropoda	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20540	Bathypallenopsis guineensis	(Stock, 1975)	urn:lsid:marinespecies.org:taxname:239740	guineensis	SPECIES	Pacific Ocean	3516fd7c-9196-4078-949e-b92260c716fc	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis guineensis	2	1065	1274	1302	1358	379601	379609	236317	236477	239740	239740	Bathypallenopsis guineensis (Stock, 1975)	['NO_DEPTH']	210.0	9928	29.51	34.42																							
HumanObservation	Deepsea_Pycnogonida_8993	Pycnogonida	Deep-sea Fauna of European Seas: Pycnogonida		49.82	-14.67	Pallenopsidae			Bathypallenopsis			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	Animalia		2016-03-24 10:26:12	Deepsea_Pycnogonida_8993	Pantopoda	Arthropoda			Bathypallenopsis guineensis	Stock, 1975	urn:lsid:marinespecies.org:taxname:134733				40e1627a-164b-4508-8eaf-806d640ebe30	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis guineensis	2	1065	1274	1302	1358	379601	379609	236317	236477	239740	239740	Pallenopsis (Bathypallenopsis) guineensis	[]	4344.4	361905	13.76	35.57	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	https://marineinfo.org/id/dataset/5146	1979/1999	Challenger, St. 50910	4341.0	4283.0	present	4312.0	283996800000.0	615254400000.0	946598400000.0	1989.0	Biota	1.0									
PreservedSpecimen	2007-4735	Pycnogonida	IU	SB	-7.708483	156.41391	Pallenopsidae	SALOMON 2/CP2248	POINT  (156.41391 -7.708483)	Bathypallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	2015-06-19T21:23Z	440010703	Pantopoda	Arthropoda	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4735	Bathypallenopsis guineensis	(Stock, 1975)	urn:lsid:marinespecies.org:taxname:239740	guineensis	SPECIES	Pacific Ocean	68ea0865-f7aa-463a-8f55-100713c65834	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis guineensis	2	1065	1274	1302	1358	379601	379609	236317	236477	239740	239740	Bathypallenopsis guineensis (Stock, 1975)	['NO_DEPTH']	210.0	9928	29.51	34.42															Bamber R.								
PreservedSpecimen	2007-4734	Pycnogonida	IU	SB	-7.972	157.574173	Pallenopsidae	SALOMON 2/CP2219	POINT  (157.574173 -7.972)	Bathypallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	2015-06-19T21:23Z	439998673	Pantopoda	Arthropoda	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4734	Bathypallenopsis guineensis	(Stock, 1975)	urn:lsid:marinespecies.org:taxname:239740	guineensis	SPECIES	Pacific Ocean	bec1f439-4e90-4b85-bcf4-338cbae49ef3	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis guineensis	2	1065	1274	1302	1358	379601	379609	236317	236477	239740	239740	Bathypallenopsis guineensis (Stock, 1975)	['NO_DEPTH']	665.0	3298	29.48	34.38				New Georgia											Bamber R.								
PreservedSpecimen	sm_id_1247	Pycnogonida	WoRMS type localities		3.88	-2.55	Pallenopsidae			Bathypallenopsis			WoRMS Editorial Board	Animalia		2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1247	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=1247	Bathypallenopsis guineensis	(Stock, 1975)	urn:lsid:marinespecies.org:taxname:239740	guineensis			cc9c4683-1f71-4f13-9fda-e0f6554453a0	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis guineensis	2	1065	1274	1302	1358	379601	379609	236317	236477	239740	239740	Bathypallenopsis guineensis	[]	2024.0	108220	27.67	34.5	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Bathypallenopsis guineensis</i> (Stock, 1975). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239740	https://marineinfo.org/id/dataset/5184	1964-05-29	Gulf of Guinea	1986.0	1949.0	present	1967.5	-176515200000.0	-176515200000.0	-176515200000.0	1964.0	Biota	1.0		29	5	holotype	1964				
PreservedSpecimen	149225.112741	Pycnogonida	Invertebrate Zoology: Crustacea		3.882999897	-2.54999995232	Pallenopsidae			Bathypallenopsis		1.0	USNM	Animalia				Pantopoda	Arthropoda			Bathypallenopsis guineensis	Stock	urn:lsid:marinespecies.org:taxname:134733			North Atlantic Ocean	d5006598-4698-491f-8f4b-7d8af2c4515e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis guineensis	2	1065	1274	1302	1358	379601	379609	236317	236477	239740	239740	Pallenopsis guineensis	[]	2024.0	107926	27.67	34.5	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		1964-05-29T12:00:00Z	Off Ghana	1986.0	1949.0		1967.5	-176515200000.0	-176515200000.0	-176515200000.0	1964.0			Stock, Jan H.	29	5	Holotype	1964	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Alcohol (Ethanol)	female
