basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	depth	superdomain	superdomainid	coordinatePrecision	coordinateUncertaintyInMeters	eventDate	footprintWKT	sex	specificEpithet	taxonRank	date_start	date_mid	date_end	date_year
HumanObservation	37226	SOMBASE Pycnogonids	-35.4500007629	23.4899997711	BAS	Parapallene nierstraszi	urn:lsid:marinespecies.org:taxname:239790	3fa77af4-c4ef-49e8-b48c-aaf7306639dc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene nierstraszi	2	1065	1274	1302	1358	379601	379609	1564	236293	239790	239790	Parapallene nierstraszi	['NO_DEPTH']	1798	149036	21.47	35.43																							
Occurrence	38237	NewCaledonia	12.1300001144409	121.279998779297	IRD-MNHN	Parapallene nierstraszi	urn:lsid:marinespecies.org:taxname:239790	45daa462-71ca-47a4-964e-c5f209f2e65d	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene nierstraszi	2	1065	1274	1302	1358	379601	379609	1564	236293	239790	239790	Parapallene nierstraszi	[]	117	7974	28.38	32.16	Stock JH (1991). Musorstom 8(151): 213-228.	Philippines	https://marineinfo.org/id/dataset/3128	Musorstom 3, CP121	84.0	73.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:38237:0x117D170001000700	present	78.5	Biota	1.0											
PreservedSpecimen	P.73452	co113	-19.06999	119.01333	AM	Parapallene nierstraszi	urn:lsid:marinespecies.org:taxname:239790	7a0e0c71-d181-4fc7-83d3-81beb8649840	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene nierstraszi	2	1065	1274	1302	1358	379601	379609	1564	236293	239790	239790	Parapallene nierstraszi	['NO_DEPTH']	83	57769	27.25	34.91				North West Shelf			2017-03-02T12:40:58	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73452	present				0.0896	10000	1983-06-30	POINT (119.01333 -19.06999)	Female	nierstraszi	species	425779200000.0	425779200000.0	425779200000.0	1983.0
PreservedSpecimen	P.73429	co113	-19.36749	118.93652	AM	Parapallene nierstraszi	urn:lsid:marinespecies.org:taxname:239790	81a187e9-5ad8-4b10-9098-1d35b0783aae	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene nierstraszi	2	1065	1274	1302	1358	379601	379609	1564	236293	239790	239790	Parapallene nierstraszi	['NO_DEPTH']	56	29431	27.1	34.84				North West Shelf			2017-03-02T12:40:55	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73429	present					10000	1982-12-08	POINT (118.93652 -19.36749)	Male	nierstraszi	species	408153600000.0	408153600000.0	408153600000.0	1982.0
PreservedSpecimen	P.73394	co113	-19.97166	117.82332	AM	Parapallene nierstraszi	urn:lsid:marinespecies.org:taxname:239790	a03e281e-09b1-4ca2-a77a-22d103e4aa66	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Parapallene	Parapallene nierstraszi	2	1065	1274	1302	1358	379601	379609	1564	236293	239790	239790	Parapallene nierstraszi	['NO_DEPTH']	44	55036	26.78	34.74				North West Shelf			2017-03-02T12:40:49	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.73394	present				0.0896	10000	1983-06-25	POINT (117.82332 -19.97166)		nierstraszi	species	425347200000.0	425347200000.0	425347200000.0	1983.0
