basisOfRecord	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	eventID	fieldNumber	footprintWKT	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	organismQuantity	organismQuantityType	scientificName	scientificNameAuthorship	scientificNameID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	catalogNumber	geodeticDatum	identifiedBy	recordNumber	recordedBy	taxonRank	superdomain	superdomainid
HumanObservation	CMAR_WA_2005	500	Australia	-27.05035	113.1005	2005-12-05T07:30:10Z	SS200510:104	SS200510:104	LINE (113.1010  -27.0517, 113.1000  -27.0490)	1	CSIRO, Australia	Survey area	97.0	97.0	2022-08-24T00:42:47	CC-SS200510-104-660994-33012054	Occurrence Type: Catch composition Catch method: Catch	present	1	individuals	Tanystylum zuytdorpi	Arango, 2009	urn:lsid:marinespecies.org:taxname:381084	269539d0-5dfa-40b6-bd8d-25574e446b42	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	97.0	1133740800000	1133740800000	1133740800000	2005	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum zuytdorpi	2	1065	1274	1302	1358	379601	379608	1562	134577	381084	381084	Tanystylum zuytdorpi	[]	95	63316	23.24	35.18									
PreservedSpecimen	MIIC	200		-27.0517	113.101	2005-12-07 00:00		SS200510-104	POINT (113.10100 -27.05170)		CSIRO		97.1	97.1	2023-07-11T05:57:33	urn:csiro:MIIC:MIIC-04775		present	1	individuals	Tanystylum zuytdorpi	Arango, 2009	urn:lsid:marinespecies.org:taxname:381084	e3637964-99b2-43e3-a0a2-aa0ce70962dc	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	97.1	1133913600000	1133913600000	1133913600000	2005	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum zuytdorpi	2	1065	1274	1302	1358	379601	379608	1562	134577	381084	381084	Tanystylum zuytdorpi Arango, 2009	[]	95	63351	23.24	35.18	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04775	EPSG:4326	Karen Gowlett-Holmes	SS200510_104_011	Karen Gowlett-Holmes	species	Biota	1.0
